Core name (unitless),Composite Midpoint Depth (cm),Mean Age (year BP),Min Age (year BP),Max Age (year BP),d2H C24 (per mil),stdev C24 (per mil),n C24 (unitless),d2H C26 (per mil),stdev C26 (per mil),n C26 (unitless),d2H C28 (per mil),stdev C28 (per mil),n C28 (unitless),Mean Age (AD)
10N3SC,0.5,2001,-47,-55,-208.47,2.5,2,-196.4,1.7,2,-187.5,0.2,2,2001
10N3SC,1.375,1983,-25,-41,-201.9,1,2,-196.1,1.2,2,-187,0.5,2,1983
10N3SC,4.625,1875,435,-285,-220.22,1.4,2,-206.9,0.7,2,-195.4,1.6,2,1875
10N3-2A,0.25,1622,388,250,-217.04,1.2,3,-206.2,0.7,3,-196.6,2,3,1622
10N3-2A,0.75,1581,425,295,-215.54,2.9,5,-203.9,2.4,2,-191.3,1.5,5,1581
10N3-2A,1.75,1500,499,383,-212.31,2.9,3,NA,NA,NA,NA,NA,NA,1500
10N3-2A,3.25,1378,618,511,-211.33,3,10,-195.7,2.5,2,-187.1,2,2,1378
10N3-2A,4.25,1296,700,594,-213.48,0.5,2,-192.6,1,3,-185.5,1.5,3,1296
10N3-2A,5.25,1215,785,673,-213.78,0.6,3,-190.1,0.7,3,-180.6,0.4,3,1215
10N3-2A,7.75,1012,1009,866,-206.97,5.1,2,-188.4,1.2,2,-180.7,1.5,2,1012
10N3-2A,9.75,851,1190,1020,-196.07,0,1,-183.4,0,1,-188.8,0,1,851
10N3-2A,11.75,692,1366,1170,-223.18,1.9,3,-186.8,0.6,2,-177.9,4.9,5,692
10N3-2A,12.75,613,1453,1245,-215.17,0,1,-191.5,0.8,2,-184.6,2,2,613
10N3-2A,14.25,496,1582,1356,-215.6,0.6,2,-187.8,0.1,2,-180.2,0.1,2,496
10N3-2A,15.25,419,1665,1430,-213.7,2.3,5,-191.3,1.5,2,-179.9,4.7,2,419
10N3-2A,18.25,192,1913,1647,-211.72,1.4,2,-194.7,1.3,2,-184.7,0.5,2,192
10N3-2A,19.75,81,2034,1753,-215.72,1.4,3,-198.7,1.3,3,-188.2,1.3,3,81
10N3-2A,20.75,9,2113,1823,-207.21,1.6,3,-190.1,0.6,3,-180.3,2,3,9
10N3-2A,22.25,-98,2229,1925,-204.24,5.7,7,-190.6,0.1,2,-183.9,0.6,2,-98
10N3-2A,25.75,-336,2484,2155,-212.58,0.4,2,-181.7,0.7,2,-172.4,0.9,2,-336
