d18O (permil),year (AD),depth (cm),d18O (permil)
-0.12,1799.56,0.25,-1.57
-0.43,1784.68,0.75,-1.64
0.03,1769.8,1.25,-1.66
-0.2,1754.92,1.75,-1.49
0.04,1740.04,2.25,-1.75
-0.08,1725.16,2.75,-1.62
-0.04,1710.28,3.25,-1.89
-0.12,1695.4,3.75,-1.63
-0.34,1680.52,4.25,-1.67
-0.03,1665.64,4.75,-1.44
-0.13,1650.76,5.25,-2.05
-0.41,1635.88,5.75,-1.74
-0.14,1621,6.25,-1.76
-0.15,1606.12,6.75,-1.63
-0.18,1591.24,7.25,-1.81
-0.18,1576.36,7.75,-1.64
-0.1,1561.48,8.25,-1.9
-0.35,1546.6,8.75,-1.52
-0.16,1531.72,9.25,-1.74
-0.29,1516.84,9.75,-1.51
-0.1,1501.96,10.25,-1.74
-0.19,1487.08,10.75,-1.68
-0.11,1472.2,11.25,-1.62
-0.25,1457.32,11.75,-1.82
-0.25,1442.44,12.25,-1.65
-0.24,1427.56,12.75,-1.58
-0.24,1412.68,13.25,-1.61
-0.31,1397.8,13.75,-1.39
-0.17,1382.92,14.25,-2.24
-0.07,1368.04,14.75,-1.61
0.05,1353.16,15.25,-1.46
-0.36,1338.28,15.75,-1.26
-0.32,1323.4,16.25,-1.63
-0.42,1308.52,16.75,-1.42
-0.08,1293.64,17.25,-1.64
-0.43,1278.76,17.75,-1.73
-0.09,1263.88,18.25,-1.57
-0.16,1249,18.75,-1.55
-0.02,1234.12,19.25,-1.55
-0.13,1219.24,19.75,-1.63
-0.23,1204.36,20.25,-1.56
-0.29,1189.48,20.75,-1.7
-0.28,1174.6,21.25,-1.72
-0.7,1159.72,21.75,-1.88
-0.16,1144.84,22.25,-1.49
-0.27,1129.96,22.75,-1.71
0.13,1115.08,23.25,-1.31
-0.23,1100.2,23.75,-1.45
-0.15,1085.32,24.25,-1.58
-0.3,1070.44,24.75,-1.57
-0.06,1057.84,25.25,-1.29
-0.45,1047.52,25.75,-1.34
-0.23,1037.2,26.25,-1.65
-0.22,1026.88,26.75,-1.51
-0.31,1016.56,27.25,-1.55
-0.24,1006.24,27.75,-1.8
-0.4,995.92,28.25,-1.44
0,985.6,28.75,-1.77
-0.25,975.28,29.25,-1.3
NA,964.96,29.75,NA
-0.31,954.64,30.25,-1.8
-0.35,944.32,30.75,-1.45
-0.13,934,31.25,-1.48
-0.1,923.68,31.75,-1.95
NA,913.36,32.25,NA
-0.12,903.04,32.75,-1.56
-0.14,892.72,33.25,-1.28
-0.17,882.4,33.75,-1.44
-0.29,872.08,34.25,-1.96
-0.74,861.76,34.75,-1.64
-0.21,851.44,35.25,-1.43
-0.53,841.12,35.75,-1.68
-0.47,830.8,36.25,-1.73
-0.4,820.48,36.75,-1.32
-0.3,810.16,37.25,-1.59
-0.23,799.84,37.75,-1.7
-0.18,789.52,38.25,-1.61
-0.51,779.2,38.75,-1.55
-0.07,768.88,39.25,-1.5
-0.22,758.56,39.75,-1.67
-0.16,748.24,40.25,-1.74
-0.25,737.92,40.75,-1.68
-0.4,727.6,41.25,-1.63
-0.12,717.28,41.75,-1.82
-0.23,706.96,42.25,-1.91
-0.29,696.64,42.75,-1.77
-0.05,686.32,43.25,-1.8
-0.17,676,43.75,-1.7
-0.37,665.68,44.25,-1.78
-0.25,655.36,44.75,-1.76
-0.24,645.04,45.25,-1.68
-0.28,634.72,45.75,-1.84
-0.12,624.4,46.25,-1.92
-0.01,614.08,46.75,-1.62
-0.28,603.76,47.25,-1.7
-0.25,593.44,47.75,-1.58
-0.14,583.12,48.25,-1.57
-0.04,572.8,48.75,-1.55
-0.01,562.48,49.25,-1.93
-0.11,552.16,49.75,-1.85
-0.4,540.67,50.25,-1.46
-0.19,528.01,50.75,-1.55
-0.19,515.35,51.25,-1.79
-0.19,502.69,51.75,-1.76
-0.28,490.03,52.25,-1.63
-0.09,477.37,52.75,-1.94
-0.41,464.71,53.25,-1.74
-0.25,452.05,53.75,-2.05
-0.1,439.39,54.25,-2.01
-0.44,426.73,54.75,-1.79
-0.16,414.07,55.25,-1.87
-0.19,401.41,55.75,-1.72
-0.17,388.75,56.25,-1.78
-0.19,376.09,56.75,-1.67
-0.3,363.43,57.25,-1.88
-0.23,350.77,57.75,-1.87
-0.68,338.11,58.25,-1.74
-0.24,325.45,58.75,-1.62
-0.18,312.79,59.25,-1.79
-0.29,300.13,59.75,-1.84
-0.3,287.47,60.25,-1.82
-0.56,274.81,60.75,-1.93
-0.28,262.15,61.25,-1.67
-0.2,249.49,61.75,-1.76
-0.25,236.83,62.25,-1.79
-0.54,224.17,62.75,-1.71
-0.34,211.51,63.25,-1.91
-0.35,198.85,63.75,-2.03
-0.25,186.19,64.25,-1.84
-0.18,173.53,64.75,-1.79
-0.19,160.87,65.25,-1.74
-0.35,148.21,65.75,-1.98
-0.25,135.55,66.25,-1.88
-0.25,122.89,66.75,-1.92
-0.27,110.23,67.25,-1.88
-0.26,97.57,67.75,-1.64
-0.41,84.91,68.25,-1.93
-0.36,72.25,68.75,-1.63
-0.3,59.59,69.25,-2.03
-0.38,46.93,69.75,-1.86
-0.05,34.27,70.25,-1.86
-0.3,21.61,70.75,-2.08
-0.28,8.95,71.25,-1.65
-0.29,-3.71,71.75,-1.98
-0.45,-16.37,72.25,-1.77
-0.21,-29.03,72.75,-1.94
-0.38,-41.69,73.25,-1.72
-0.01,-54.35,73.75,-1.87
-0.37,-67.01,74.25,-1.64
NA,-79.67,74.75,NA
-0.24,-91.91,75.25,-1.96
NA,-103.74,75.75,NA
-0.24,-109.65,76,-1.91
NA,-115.57,76.25,NA
-0.19,-127.39,76.75,-1.24
-0.06,-139.22,77.25,-1.75
-0.32,-151.05,77.75,-1.74
-0.1,-162.87,78.25,-1.66
0.07,-174.7,78.75,-2.09
-0.2,-186.53,79.25,-1.41
-0.18,-198.35,79.75,-1.37
-0.3,-210.18,80.25,-1.43
