d18O (permil),year (AD),depth (cm),d18O (permil)
2.01,1930.19,0.5,NA
1.94,1890.57,1.5,NA
2.43,1850.95,2.5,NA
2.36,1811.33,3.5,NA
2.16,1771.71,4.5,NA
2.16,1732.1,5.5,NA
1.93,1692.48,6.5,NA
2.28,1652.86,7.5,NA
1.9,1613.24,8.5,NA
2.18,1573.62,9.5,NA
2.14,1534,10.5,NA
2.19,1497.41,11.5,NA
2.22,1460.82,12.5,NA
2.09,1424.23,13.5,NA
2.03,1387.64,14.5,NA
2.13,1351.05,15.5,NA
2.19,1314.45,16.5,NA
2.12,1277.86,17.5,NA
2.31,1241.27,18.5,NA
1.83,1204.68,19.5,NA
1.71,1168.09,20.5,NA
2.24,1131.5,21.5,NA
2.15,1094.91,22.5,NA
2.21,1058.32,23.5,NA
2.02,1021.73,24.5,NA
2.03,985.14,25.5,NA
2.27,948.55,26.5,NA
2.08,911.95,27.5,NA
2.21,875.36,28.5,NA
2.28,838.77,29.5,NA
2.31,802.18,30.5,NA
2.16,765.59,31.5,NA
1.92,729,32.5,NA
2.23,697.45,33.5,NA
2.13,665.91,34.5,NA
1.93,634.36,35.5,NA
2.09,602.82,36.5,NA
2.03,571.27,37.5,NA
2.19,539.73,38.5,NA
2.49,508.18,39.5,NA
2.14,476.64,40.5,NA
2.24,445.09,41.5,NA
1.93,413.55,42.5,NA
1.88,349.33,44.5,NA
2.03,316.67,45.5,NA
2.09,284,46.5,NA
2.2,251.33,47.5,NA
