temperature (degC),year (AD),depth (cm),temperature (degC) [1-2],year (AD) [1-2],depth (cm) [1-2],d18O (permil) [1-2],Mg_Ca (mmol/mol) [1-2],d18O (permil) [1-2]
29.29,1908.6,15,29.1,1947.4,1,NA,5.21,NA
28.59,1905.6,16,NA,1942.2,3,NA,NA,-2.81
27.94,1896.5,19,28.7,1931.4,7,0.16,5.01,-2.57
28.15,1890.3,21,NA,1920.2,11,NA,NA,-2.5
28.6,1884,23,NA,1917.3,12,NA,NA,-2.94
29.31,1880.8,24,29.3,1908.6,15,-0.04,5.3,-2.9
29.26,1871.1,27,28.6,1905.6,16,0.04,4.98,-2.67
28.9,1861.1,30,27.9,1896.5,19,-0.4,4.7,-2.98
28.32,1857.8,31,28.2,1890.3,21,-0.11,4.79,-2.73
28.87,1847.5,34,28.6,1884,23,-0.19,4.98,-2.91
30.17,1833.4,38,29.3,1880.8,24,-0.16,5.31,-3.02
28.56,1822.6,41,29.3,1871.1,27,0.45,5.29,-2.4
27.85,1815.3,43,28.9,1861.1,30,-0.23,5.12,-3.01
29.47,1788.7,50,28.3,1857.8,31,0.2,4.86,-2.47
28.34,1765,56,NA,1857.8,31,NA,NA,-2.55
29.51,1744.5,61,NA,1857.8,31,NA,NA,-2.51
30.15,1723.3,66,28.9,1847.5,34,-0.03,5.11,-2.8
28.46,1710.3,69,NA,1840.5,36,NA,NA,-3.21
29.01,1701.6,71,30.2,1833.4,38,0.17,5.74,-2.88
28.06,1688.2,74,28.6,1822.6,41,-0.43,4.97,-3.14
29.05,1674.6,77,NA,1822.6,41,NA,NA,-2.87
28.56,1665.4,79,27.9,1815.3,43,NA,4.66,NA
28.79,1641.9,84,NA,1804,46,NA,NA,-3
29.03,1632.4,86,29.5,1788.7,50,-0.24,5.39,-3.14
28.65,1627.6,87,NA,1788.7,50,NA,NA,-2.87
28.68,1617.9,89,28.3,1765,56,-0.28,4.87,-2.95
28.17,1608.1,91,29.5,1744.5,61,-0.09,5.41,-3
28.74,1593.2,94,30.2,1723.3,66,0.02,5.73,-3.02
29.69,1583.1,96,28.5,1710.3,69,-0.28,4.92,-2.97
30.04,1536.6,105,29,1701.6,71,-0.24,5.17,-3.05
30.46,1509.9,110,NA,1701.6,71,NA,NA,-2.42
30.11,1493.6,113,28.1,1688.2,74,-0.23,4.75,-2.84
29.19,1482.6,115,29.1,1674.6,77,-0.08,5.19,-2.89
30.14,1471.5,117,28.6,1665.4,79,-0.28,4.97,-2.99
28.71,1454.7,120,28.8,1641.9,84,0.28,5.07,-2.49
28.22,1426.1,125,29,1632.4,86,0.41,5.18,-2.4
29.29,1391,131,28.7,1627.6,87,NA,5.01,NA
29.39,1330.6,141,28.7,1617.9,89,-0.03,5.02,-2.77
29.62,1228.9,157,28.2,1608.1,91,0.3,4.8,-2.33
29.75,1202.5,161,28.7,1593.2,94,-0.09,5.05,-2.84
28.98,1175.8,165,29.7,1583.1,96,-0.11,5.5,-3.06
29.78,1148.6,169,NA,1567.9,99,NA,NA,-3.04
30.32,1121.1,173,NA,1567.9,99,NA,NA,-2.61
30.5,1100.2,176,30,1536.6,105,0.08,5.67,-2.94
29.89,1079.1,179,30.5,1509.9,110,0.06,5.89,-3.05
28.56,992.5,191,30.1,1493.6,113,0.42,5.71,-2.62
29.06,962.9,195,29.2,1482.6,115,-0.07,5.26,-2.92
29.18,917.8,201,30.1,1471.5,117,0.48,5.73,-2.57
30.09,902.6,203,28.7,1454.7,120,-0.1,5.03,-2.84
29.75,871.9,207,28.2,1426.1,125,-0.39,4.82,-3.04
29.04,840.8,211,29.3,1391,131,-0.14,5.3,-3
29.71,809.4,215,NA,1361.1,136,NA,NA,-2.84
29.25,777.5,219,29.4,1330.6,141,0.06,5.35,-2.83
29.49,721,226,NA,1299.5,146,NA,NA,-2.9
30.12,712.8,227,NA,1286.9,148,NA,NA,-2.72
29.71,679.9,231,NA,1267.8,151,NA,NA,-3.19
29.31,646.6,235,NA,1254.9,153,NA,NA,-2.83
NA,NA,NA,29.6,1228.9,157,0.21,5.46,-2.72
NA,NA,NA,29.8,1202.5,161,0.13,5.53,-2.83
NA,NA,NA,29,1175.8,165,-0.04,5.16,-2.84
NA,NA,NA,29.8,1148.6,169,-0.01,5.54,-2.97
NA,NA,NA,30.3,1121.1,173,0.41,5.82,-2.67
NA,NA,NA,30.5,1100.2,176,0.07,5.91,-3.05
NA,NA,NA,29.9,1079.1,179,0.26,5.6,-2.73
NA,NA,NA,NA,1050.6,183,NA,NA,-2.84
NA,NA,NA,NA,1021.8,187,NA,NA,-2.63
NA,NA,NA,28.6,992.5,191,-0.15,4.97,-2.86
NA,NA,NA,29.1,962.9,195,0.28,5.2,-2.54
NA,NA,NA,NA,955.5,196,NA,NA,-2.58
NA,NA,NA,29.2,917.8,201,0.23,5.25,-2.62
NA,NA,NA,30.1,902.6,203,0.26,5.7,-2.77
