temperature (degC),year (AD),Uk37 (unitless),notes (unitless),d18O (permil) [1-2],temperature (degC) [1-2],year (AD) [1-2],Mg_Ca (mmol/mol) [1-2],depth (cm) [1-2],d18O (permil) [1-2],d18O (permil) [1-3],temperature (degC) [1-3],year (AD) [1-3],Mg_Ca (mmol/mol) [1-3],depth (cm) [1-3],d18O (permil) [1-3]
13.4,1988,0.4862,MINMC06-1,NA,NA,1987.86,NA,0.5,1.3,1.902717453,18.55,1971.76,3.58,0.5,1.11
13.5,1972,0.4895,MINMC06-2,1.920799607,18.21,1969.72,3.46,1,1.2,1.989688895,18.82,1943.53,3.68,1,1.14
13.5,1970,0.4895,MINMC06-1,2.146822335,19.52,1951.58,3.94,1.5,1.15,2.37716869,20.72,1915.29,4.45,1.5,1.13
13.8,1952,0.4994,MINMC06-1,1.918320867,18.34,1933.44,3.5,2,1.17,NA,18.53,1887.06,3.57,2,NA
13.9,1944,0.5027,MINMC06-2,2.471897978,20.31,1915.29,4.27,2.5,1.31,2.016379673,18.52,1858.82,3.57,2.5,1.23
14.1,1933,0.5093,MINMC06-1,2.164368626,19.27,1887.06,3.85,3,1.22,1.92985586,18.3,1830.59,3.49,3,1.19
14.4,1915,0.5192,MINMC06-1,1.982153638,18.5,1858.82,3.56,3.5,1.2,2.096019181,19.04,1802.35,3.76,3.5,1.2
13.8,1915,0.4994,MINMC06-2,1.764042544,17.66,1830.59,3.27,4,1.16,1.887926923,18.48,1774.12,3.55,4,1.11
14.1,1887,0.5093,MINMC06-1,1.991388123,18.26,1786.22,3.48,4.5,1.26,2.286617832,19.71,1745.88,4.02,4.5,1.25
13.8,1887,0.4994,MINMC06-2,2.0923325,18.88,1741.85,3.7,5,1.23,1.963249438,18.08,1717.65,3.42,5,1.27
13.9,1859,0.5027,MINMC06-1,2.0323325,18.88,1697.48,3.7,5.5,1.17,NA,18.55,1689.41,3.58,5.5,NA
14.2,1859,0.5126,MINMC06-2,2.040167835,19.25,1653.11,3.84,6,1.1,2.321014148,19.54,1661.18,3.95,6,1.32
14.2,1831,0.5126,MINMC06-1,2.254393641,20.37,1608.74,4.29,6.5,1.08,2.109147922,18.77,1632.94,3.66,6.5,1.27
13.9,1831,0.5027,MINMC06-2,2.498722458,21.21,1564.37,4.67,7,1.15,2.313585612,19.6,1604.71,3.98,7,1.3
14,1802,0.506,MINMC06-2,2.285362582,19.37,1508.33,3.89,8,1.32,2.599063505,21.26,1576.47,4.69,7.5,1.24
14.5,1786,0.5225,MINMC06-1,2.226537458,19.09,1496.67,3.78,8.5,1.32,2.11004845,19.44,1548.24,3.91,8,1.13
14.2,1774,0.5126,MINMC06-2,1.962821314,18.74,1485,3.65,9,1.13,2.498474026,20.63,1520,4.41,8.5,1.27
13.9,1746,0.5027,MINMC06-2,2.201721119,19.83,1415,4.07,9.5,1.14,2.37606385,20.33,1508.33,4.28,9,1.21
14.8,1742,0.5324,MINMC06-1,2.055942924,18.66,1345,3.62,10,1.24,2.107739182,18.29,1496.67,3.49,9.5,1.37
14,1718,0.506,MINMC06-2,2.418964521,20.44,1320,4.32,10.5,1.23,2.028087742,18.15,1485,3.44,10,1.32
15,1697,0.539,MINMC06-1,2.44659237,20.91,1295,4.53,11,1.16,2.037739182,18.29,1473.33,3.49,10.5,1.3
14.1,1689,0.5093,MINMC06-2,1.931729497,18.12,1270,3.43,11.5,1.23,1.971013262,18.4,1461.67,3.53,11,1.21
14.2,1661,0.5126,MINMC06-2,2.113355992,19.79,1237.14,4.05,12,1.06,2.18806719,19.24,1435,3.84,12,1.25
15,1653,0.539,MINMC06-1,2.268116979,20.1,1171.43,4.18,13,1.15,2.314988231,19.75,1420,4.04,12.5,1.27
13.9,1633,0.5027,MINMC06-2,2.598645223,21.5,1138.57,4.81,13.5,1.19,2.123915022,19.03,1405,3.76,13,1.23
15.3,1609,0.5489,MINMC06-1,2.915039496,23.14,1105.71,5.66,14,1.17,2.149688895,18.82,1390,3.68,13.5,1.3
14.1,1605,0.5093,MINMC06-2,2.189395786,19.58,1072.86,3.97,14.5,1.18,1.909688895,18.82,1375,3.68,14,1.06
14.2,1576,0.5126,MINMC06-2,2.113755504,19.41,1010.57,3.9,15,1.14,2.009270761,18.25,1360,3.47,14.5,1.28
15.2,1564,0.5456,MINMC06-1,2.269172441,19.77,948.29,4.04,15.5,1.22,1.932931617,17.89,1345,3.35,15,1.28
14.2,1548,0.5126,MINMC06-2,2.131657523,19.4,886,3.9,16,1.16,2.13860273,18.72,1330,3.64,15.5,1.31
15.1,1520,0.5423,MINMC06-1,2.758898011,22.23,823.71,5.17,16.5,1.2,2.294057281,19.65,1315,4,16,1.27
