d18O (permil),year (AD),temperature (degC),depth (cm),Mg_Ca (mol_mol),d18O (permil)
0.4676214449,1294.17,24.86,1.01,4.33,-1.55
0.3192596405,1288.26,24.49,1.02,4.22,-1.62
0.8499389987,1282.29,25.44,1.03,4.51,-1.29
0.6998719022,1276.24,25.63,1.04,4.57,-1.48
0.5573146631,1270.13,25.38,1.05,4.49,-1.57
0.4736169249,1263.94,25.22,1.06,4.44,-1.62
0.8201565757,1257.69,26.3,1.07,4.79,-1.5
0.4898719022,1251.36,25.63,1.08,4.57,-1.69
0.4836276692,1244.96,25.41,1.09,4.5,-1.65
0.3528161674,1238.5,24.79,1.1,4.31,-1.65
0.653963727,1231.96,24.89,1.11,4.34,-1.37
0.8662486528,1225.36,25.47,1.12,4.52,-1.28
0.1989965553,1218.69,23.55,1.13,3.95,-1.54
0.742679316,1211.94,26.36,1.14,4.81,-1.59
0.5851850088,1205.13,25.18,1.15,4.43,-1.5
0.4928161674,1198.24,24.79,1.16,4.31,-1.51
0.742679316,1191.29,26.36,1.17,4.81,-1.59
0.6491624217,1184.26,24.82,1.18,4.32,-1.36
0.3825777876,1177.17,25.31,1.19,4.47,-1.73
0.6125315104,1170,25.12,1.2,4.41,-1.46
0.8488210412,1162.77,26.15,1.21,4.74,-1.44
0.8460264923,1155.46,25.85,1.22,4.64,-1.38
0.4580016089,1148.09,24.72,1.23,4.29,-1.53
0.7876413928,1140.64,25.81,1.24,4.63,-1.43
0.5125315104,1133.13,25.12,1.25,4.41,-1.56
0.7339575727,1125.54,26.51,1.26,4.86,-1.63
0.4925777876,1117.89,25.31,1.27,4.47,-1.62
0.8738927495,1110.16,26.27,1.28,4.78,-1.44
0.5348821987,1102.37,25.94,1.29,4.67,-1.71
0.7625777876,1094.5,25.31,1.3,4.47,-1.35
0.2672111679,1086.57,24.01,1.31,4.08,-1.57
0.8698719022,1078.56,25.63,1.32,4.57,-1.31
0.4752960159,1070.48,24.66,1.33,4.27,-1.5
0.7925777876,1062.34,25.31,1.34,4.47,-1.32
0.6036169249,1054.13,25.22,1.35,4.44,-1.49
0.3368218199,1045.84,24.62,1.36,4.26,-1.63
0.6625315104,1037.48,25.12,1.37,4.41,-1.41
NA,1029.05,NA,1.38,NA,-1.49
0.2385078283,1020.57,24.11,1.39,4.11,-1.62
0.7637230251,1012,26.03,1.4,4.7,-1.5
0.6462022274,1003.37,25.09,1.41,4.4,-1.42
0.4162022274,994.66,25.09,1.42,4.4,-1.65
0.5403043091,985.89,24.92,1.43,4.35,-1.49
0.6825777876,977.04,25.31,1.44,4.47,-1.43
0.9898719022,968.13,25.63,1.45,4.57,-1.19
0.6713506329,959.14,25.78,1.46,4.62,-1.54
0.8838927495,950.09,26.27,1.47,4.78,-1.43
0.5499389987,940.96,25.44,1.48,4.51,-1.59
0.5625777876,931.77,25.31,1.49,4.47,-1.55
0.7936276692,922.5,25.41,1.5,4.5,-1.34
1.150411519,913.17,27.99,1.51,5.39,-1.52
0.522556633,903.76,25.5,1.52,4.53,-1.63
0.8460264923,894.29,25.85,1.53,4.64,-1.38
0.8472687508,884.74,25.57,1.54,4.55,-1.32
0.6985986183,875.13,25.91,1.55,4.66,-1.54
0.7505486222,865.44,26.83,1.56,4.97,-1.68
0.6787641308,855.69,25.72,1.57,4.6,-1.52
0.7503043091,845.86,24.92,1.58,4.35,-1.28
0.462468386,835.97,25.69,1.59,4.59,-1.73
0.9387641308,826,25.72,1.6,4.6,-1.26
1.258062912,815.97,27.93,1.61,5.37,-1.4
0.3244051082,805.86,24.42,1.62,4.2,-1.6
0.5541048166,795.69,24.56,1.63,4.24,-1.4
0.4141048166,785.44,24.56,1.64,4.24,-1.54
0.9155985987,775.13,26.71,1.65,4.93,-1.49
0.6780016089,764.74,24.72,1.66,4.29,-1.31
0.7114273218,754.29,25.02,1.67,4.38,-1.34
0.9013601786,743.76,26.21,1.68,4.76,-1.4
0.4850582126,733.17,25.75,1.69,4.61,-1.72
0.9688629405,722.5,25.53,1.7,4.54,-1.19
1.380436488,711.77,27.36,1.71,5.16,-1.16
0.3021208582,700.96,24.08,1.72,4.1,-1.55
0.7388947111,690.09,25.34,1.73,4.48,-1.38
0.6972687508,679.14,25.57,1.74,4.55,-1.47
0.6791624217,668.13,24.82,1.75,4.32,-1.33
0.7913506329,657.04,25.78,1.76,4.62,-1.42
0.5382907542,645.89,24.25,1.77,4.15,-1.35
0.5628161674,634.66,24.79,1.78,4.31,-1.44
0.7025490067,623.37,26.12,1.79,4.73,-1.58
0.3274444008,612,26,1.8,4.69,-1.93
0.6313601786,600.57,26.21,1.81,4.76,-1.67
0.5962486528,589.06,25.47,1.82,4.52,-1.55
1.324229762,577.49,27.33,1.83,5.15,-1.21
1.024883419,565.84,27.14,1.84,5.08,-1.47
0.5436276692,554.13,25.41,1.85,4.5,-1.59
NA,542.35,NA,1.86,NA,-1.44
1.025598599,530.49,26.71,1.87,4.93,-1.38
1.216869072,518.56,26.62,1.88,4.9,-1.17
0.6936169249,506.57,25.22,1.89,4.44,-1.4
0.9302083324,494.5,26.54,1.9,4.87,-1.44
0.4180016089,482.37,24.72,1.91,4.29,-1.57
NA,470.17,NA,1.92,NA,-1.6
0.6036276692,457.89,25.41,1.93,4.5,-1.53
0.3492596405,445.54,24.49,1.94,4.22,-1.59
0.7631138698,433.13,26.65,1.95,4.91,-1.63
1.140978599,420.64,28.09,1.96,5.43,-1.55
0.9976272843,408.09,26.24,1.97,4.77,-1.31
1.230268772,395.46,28.33,1.98,5.52,-1.51
0.801838532,382.77,26.74,1.99,4.94,-1.61
0.8850582126,370,25.75,2,4.61,-1.32
0.6637230251,357.17,26.03,2.01,4.7,-1.6
0.6514273218,344.26,25.02,2.02,4.38,-1.4
0.9172687508,331.29,25.57,2.03,4.55,-1.25
1.106418764,318.24,26.33,2.04,4.8,-1.22
0.7702083324,305.13,26.54,2.05,4.87,-1.6
0.9568690716,291.94,26.62,2.06,4.9,-1.43
0.9489382326,278.69,26.39,2.07,4.82,-1.39
0.7655985987,265.36,26.71,2.08,4.93,-1.64
1.129357045,251.97,26.68,2.09,4.92,-1.27
0.9650914314,238.5,26.18,2.1,4.75,-1.33
0.6276413928,224.97,25.81,2.11,4.63,-1.59
1.200978599,211.36,28.09,2.12,5.43,-1.49
1.153582316,197.69,28.2,2.13,5.47,-1.56
0.9406226492,183.94,26.59,2.14,4.89,-1.44
0.6225490067,170.13,26.12,2.15,4.73,-1.66
0.4450914314,156.24,26.18,2.16,4.75,-1.85
1.142845159,142.29,27.42,2.17,5.18,-1.41
0.9500910594,128.26,27.31,2.18,5.14,-1.58
0.5558502651,114.17,27,2.19,5.03,-1.91
0.6936169249,100,25.22,2.2,4.44,-1.4
0.6564187641,85.77,26.33,2.21,4.8,-1.67
0.5628161674,71.46,24.79,2.22,4.31,-1.44
0.7323133832,57.09,25.88,2.23,4.65,-1.5
0.562556633,42.64,25.5,2.24,4.53,-1.59
1.13557787,28.13,27.53,2.25,5.22,-1.44
1.015195515,13.54,26.42,2.26,4.83,-1.33
1.127315509,-1.11,27.2,2.27,5.1,-1.38
0.7289382326,-15.84,26.39,2.28,4.82,-1.61
0.6550582126,-30.64,25.75,2.29,4.61,-1.55
1.126418764,-45.5,26.33,2.3,4.8,-1.2
0.7813506329,-60.43,25.78,2.31,4.62,-1.43
0.4137230251,-75.44,26.03,2.32,4.7,-1.85
