d18O (permil),year (AD),depth (cm),temperature (degC),Mg_Ca (mmol/mol),d18O (permil),temperature (degC) [2-1],year (AD) [2-1],temperature (degC) [3-1],year (AD) [3-1]
0.27,1830,1,28.18,4.48,-2.43,28.18,1835,28.1781,1835
0.28,1660,3,28.08,4.44,-2.4,28.08,1660,28.0847,1659.898
NA,1530,4.5,NA,NA,-2.46,28.76,1441,28.7584,1441.0204
NA,1440,5.5,28.76,4.72,NA,28.05,1353,28.0521,1353.4694
0.55,1350,6.5,27.65,4.27,-2.12,28.64,1266,28.6436,1265.9184
0.8,1270,7.5,28.64,4.67,-2,29.24,1178,29.237,1178.3673
0.63,1180,8.5,29.24,4.93,-2.3,27.89,1091,27.8944,1090.8163
0.47,1090,9.5,27.89,4.37,-2.18,27.81,1003,27.8115,1003.2653
NA,1000,10.5,27.81,4.34,NA,27.93,916,27.9311,915.71429
0.39,920,11.5,27.93,4.38,-2.26,28.55,828,28.5457,828.16327
0.38,830,12.5,28.55,4.63,-2.4,27.87,741,27.8666,740.61224
NA,740,13.5,27.87,4.36,NA,28.77,653,28.7744,653.06122
0.38,650,14.5,28.77,4.73,-2.45,29.13,566,29.1255,565.5102
NA,570,15.5,29.13,4.88,NA,28.2,478,28.197,477.95918
0.29,480,16.5,28.2,4.49,-2.42,28.97,390,28.9683,390.40816
0.53,390,17.5,28.97,4.81,-2.33,28.42,303,28.4209,302.85714
0.35,300,18.5,28.42,4.58,-2.41,NA,NA,28.3419,215.30612
0.48,220,19.5,28.34,4.55,-2.26,NA,NA,28.9546,127.7551
0.55,130,20.5,28.95,4.81,-2.32,NA,NA,27.4593,40.204082
0.09,40,21.5,27.46,4.2,-2.46,NA,NA,28.4914,-47.346939
0.36,-50,22.5,28.49,4.61,-2.41,NA,NA,28.1812,-134.89796
0.36,-130,23.5,28.18,4.48,-2.34,NA,NA,27.8484,-222.44898
0.29,-220,24.5,27.85,4.35,-2.34,NA,NA,28.7194,-310
