d180carbVBDB (permil),year (AD),age (BP),depth (cm),d13CcarbDPDB (permil)
-15.69,2007.5,-57.5,0.8,-1.12
-15.55,2004.8,-54.8,1.8,-1.4
-15.39,2001,-51,2.8,-1.31
-15.52,1994,-44,3.8,-1.24
-15.59,1981.5,-31.5,4.8,-1.32
-15.54,1967.5,-17.5,5.8,-1.45
-15.5,1956.5,-6.5,6.8,-1.47
-15.7,1936,14,7.8,-1.87
-15.82,1899.2,50.8,8.8,-2.2
-16.69,1859,91,9.8,-3.03
-16.52,1844.9,105.1,10.1,-0.84
-16.72,1828.5,121.5,10.5,-1.11
-16.37,1812.1,137.9,10.9,-1.12
-16.51,1795.7,154.3,11.3,-0.99
-16.07,1779.3,170.7,11.7,-0.78
-15.92,1762.9,187.1,12.1,-0.71
-15.78,1746.5,203.5,12.5,-0.76
-16.18,1730.1,219.9,12.9,-0.61
-15.8,1713.7,236.3,13.3,-0.81
-16.41,1697.3,252.7,13.7,-0.99
-16.47,1680.9,269.1,14.1,-1.08
-16.17,1662,288,14.6,-1.14
-16.29,1642.4,307.6,15,-0.92
-16.44,1622.7,327.3,15.5,-0.85
-16.06,1603,347,16,-0.82
-16.38,1583.3,366.7,16.5,-0.88
-16.11,1567.3,382.7,16.9,-1.6
-16.76,1552.6,397.4,17.2,-1.76
-16.31,1537.8,412.2,17.6,-1.77
-16.47,1523,427,18,-1.99
-16.22,1508.3,441.7,18.3,-1.86
-16.49,1489,461,18.8,-1.76
-16.02,1468.5,481.5,19.3,-2.44
-16.58,1448,502,19.8,-2.92
-16.43,1427.5,522.5,20.3,-2.14
-16.12,1407,543,20.8,-2.08
-15.74,1387.3,562.7,21.3,-1.44
-16.36,1367.7,582.3,21.7,-1.92
-16.14,1348,602,22.2,-1.76
-17.23,1328.3,621.7,22.7,-2.09
-16.85,1308.6,641.4,23.2,-1.94
-16.62,1288.1,661.9,23.7,-1.47
-16.19,1267.6,682.4,24.2,-1.71
-16.73,1247.1,702.9,24.7,-2.58
-16.41,1226.8,723.2,25.2,-2.25
-16.82,1206.8,743.2,25.7,-2.17
-16.5,1189.9,760.1,26.1,-2.15
-16.32,1173.5,776.5,26.5,-1.94
-16.32,1157.1,792.9,26.9,-1.85
-16.6,1140.7,809.3,27.3,-1.63
-16.4,1124.3,825.7,27.7,-1.39
-16.09,1107.9,842.1,28.1,-1.16
-15.77,1091.5,858.5,28.5,-0.9
-16.44,1075.1,874.9,28.9,-1.39
-16.54,1058.7,891.3,29.3,-1.28
-16.26,1042.3,907.7,29.7,-1.29
-16.35,1027.1,922.9,30.1,-1.63
-16.91,1012.4,937.6,30.4,-1.95
-16.4,997.6,952.4,30.8,-1.67
-16.61,982.8,967.2,31.2,-1.27
-16.64,968.1,981.9,31.5,-1.52
-16.71,953.7,996.3,31.9,-1.66
-16.4,939.8,1010.2,32.2,-1.82
-16.36,925.9,1024.1,32.5,-1.68
-16.29,911.9,1038.1,32.9,-1.43
-16.88,898,1052,33.2,-1.59
-16.56,884,1066,33.6,-1.84
-17.36,870.1,1079.9,33.9,-1.93
-16.78,857.8,1092.2,34.2,-2.3
-16.85,846.3,1103.7,34.6,-2.19
-16.27,834.7,1115.3,34.9,-1.98
-16.23,824.4,1125.6,35.3,-2.01
-16.34,814.4,1135.6,35.6,-2.06
-16.68,804.3,1145.7,36,-2.27
-16.61,794.5,1155.5,36.4,-2.24
-17.07,784.8,1165.2,36.7,-2.23
-16.85,771.1,1178.9,37.2,-2.19
-17.3,756,1194,37.7,-2.47
-16.83,741.2,1208.8,38.3,-2.38
-17.34,726.6,1223.4,38.8,-2.6
-16.8,711.6,1238.4,39.4,-2.73
-16.98,701.6,1248.4,39.7,-2.54
-17,693.2,1256.8,40,-2.98
-16.94,685.1,1264.9,40.3,-3.12
-17.13,677,1273,40.6,-2.75
-17.39,668.9,1281.1,40.9,-2.58
-16.84,658,1292,41.3,-2.13
-16.79,646.3,1303.7,41.7,-2.07
-16.92,634.5,1315.5,42.2,-1.99
-17.21,622.8,1327.2,42.6,-2.83
-17.04,611,1339,43,-2.74
-17.56,601.3,1348.7,43.4,-2.66
-17.09,592.1,1357.9,43.7,-2.86
-17.82,582.9,1367.1,44,-2.53
-17.52,573.4,1376.6,44.4,-1.52
-17.44,563.8,1386.2,44.7,-0.95
-17.25,552.5,1397.5,45.1,-1.87
-17.54,540.6,1409.4,45.6,-2.28
-17.31,528.7,1421.3,46,-2.61
-17.23,525.6,1424.4,46.1,-2.61
-17.9,516.4,1433.6,46.5,-1.81
-17.56,504.1,1445.9,46.9,-2.17
-17.58,492.9,1457.1,47.3,-1.65
-17.11,482.1,1467.9,47.7,-2.08
-17.77,471.2,1478.8,48.1,-2.32
-17.31,466.2,1483.8,48.3,-2.16
-17.34,460,1490,48.5,-2.56
-17.64,448.8,1501.2,48.9,-2.25
-17.84,438.2,1511.8,49.3,-2.3
-18.12,427.9,1522.1,49.7,-1.67
-17.85,417.6,1532.4,50,-2.36
-17.7,413.1,1536.9,50.2,-2.42
-17.65,407,1543,50.4,-1.95
-17.65,396.3,1553.7,50.8,-1.85
-17.82,385.7,1564.3,51.2,-2.13
-17.28,374.6,1575.4,51.5,-2.16
-17.74,363.4,1586.6,51.9,-2.54
-17.83,353.8,1596.2,52.2,-2.34
-17.62,352.2,1597.8,52.3,-2.61
-17.8,341.1,1608.9,52.6,-2.22
