d18O (permil),year (AD),d13C (permil)
-6.58207,1995,-10.98
-6.58207,1995,-10.81
-6.72757,1977,-10.92
-6.68877,1951,-9.81
-7.60058,1922,-10.22
-7.34837,1907,-10.31
-7.87218,1880,-10.14
-7.20287,1866,-9.73
-6.72757,1844,-9.74
-6.64027,1810,-9.88
-6.64027,1791,-10.95
-7.30957,1774,-9.92
-7.06707,1754,-10.46
-6.78577,1716,-9.67
-6.88277,1688,-9.87
-6.99917,1668,-10.36
-6.92157,1642,-10.84
-7.38717,1618,-11.08
-6.95067,1595,-11.17
-6.45596,1576,-11.63
-6.05826,1554,-11.49
-6.83427,1537,-11.61
-6.74697,1520,-11.72
-6.55297,1507,-11.76
-6.32986,1482,-11.73
-6.46566,1456,-12.36
-6.94097,1435,-12.24
-6.94097,1417,-12.25
-6.80517,1398,-11.75
-6.73727,1378,-11.73
-7.31927,1361,-11.78
-7.30957,1342,-12.24
-6.52387,1319,-11.83
-7.14467,1303,-11.9
-6.99917,1286,-11.92
-6.69847,1265,-11.62
-7.02827,1247,-11.6
-7.15437,1230,-12
-6.53357,1210,-12.09
-7.85278,1192,-12.1
-6.92157,1174,-11.89
-6.59177,1162,-11.47
-7.18347,1140,-11.94
-7.85278,1123,-12.23
-7.61028,1108,-12.03
-7.64908,1088,-11.69
-7.02827,1071,-11.77
-6.86337,1053,-11.95
-7.27077,1032,-11.7
-5.99036,1015,-11.78
-7.33867,991,-11.92
-6.55297,928,-11.54
-7.08647,881,-11.64
-6.43656,857,-11.66
-6.45596,831,-11.42
-7.27077,823,-11.5
-7.86248,793,-11.88
-7.04767,752,-11.78
-7.60058,716,-11.48
-6.73727,702,-11.8
-7.72668,676,-11.54
-7.22227,668,-11.46
-6.70817,648,-11.42
-7.19317,627,-11.43
-7.11557,614,-11.4
-6.47536,584,-10.44
-7.22227,565,-11.94
-6.06796,526,-10.91
-6.50447,466,-11.01
-7.36777,446,-11.73
-6.56267,423,-11.9
-6.51417,400,-11.73
-6.69847,379,-11.35
-6.77607,362,-11.85
-6.55297,347,-11.22
-7.37747,325,-11.83
-6.47536,289,-11.63
-6.65967,263,-12.03
-6.84397,213,-12.23
-6.85367,187,-11.43
-6.61117,163,-12.02
-6.65967,134,-11.72
-6.86337,109,-11.19
-6.23286,81,-9.43
-6.21346,61,-9.43
-6.01946,38,-8.41
-6.49477,18,-7.31
-6.86337,0,-11.6
-7.73638,-24,-11.16
-7.89158,-44,-11.46
-6.87307,-60,-11.61
-7.25137,-78,-11.87
-7.87218,-113,-11.66
-8.10498,-140,-11.73
-7.45507,-164,-11.72
-7.22227,-180,-11.33
-7.05737,-205,-11.42
-7.02827,-225,-11.56
-6.22316,-238,-11.91
-7.19317,-264,-11.9
-6.88277,-302,-11.68
-7.17377,-318,-11.78
-6.77607,-356,-12.09
-7.08647,-370,-11.85
-6.93127,-387,-11.76
-7.21257,-406,-11.74
-7.79458,-426,-11.74
-6.72757,-449,-11.84
-7.06707,-469,-11.77
-6.42686,-488,-11.78
-7.38717,-502,-12.34
-7.55208,-523,-12.13
-7.21257,-541,-11.49
-7.40657,-561,-11.99
-6.76637,-584,-12.72
-7.26107,-637,-11.93
-7.02827,-657,-12.06
-7.64908,-682,-11.49
-7.61028,-745,-11.95
-6.67907,-794,-11.35
-7.60058,-822,-11.67
-6.54327,-844,-11.28
-6.53357,-868,-11.03
-6.20376,-898,-8.95
-6.27166,-911,-8.49
