d18O (permil),year (AD),depth (cm)
-4.34,680,NA
-4.27,625.97,NA
-4.13,572.13,NA
-4.15,465.72,NA
-2.7,380,NA
-3.74,312.08,NA
-3.59,263.19,NA
-3.58,215.77,NA
-3.58,170,NA
-3.48,126.03,NA
-3.67,83.83,NA
-3.76,43.35,NA
-4.26,-32.69,NA
-3.87,-102.58,NA
-3.53,-135.36,NA
-3.82,-196.89,NA
-3.51,-225.76,NA
-3.79,-253.45,NA
-3.43,-305.51,NA
-3.81,-330,NA
-3.8,-353.54,NA
-3.69,-398.02,NA
-4.25,-439.41,NA
-3.96,-459.1,NA
-4.11,-496.76,NA
-3.8,-514.84,NA
-3.51,-549.82,NA
-3.89,-566.83,NA
-4.26,-600.2,NA
-4.05,-616.67,NA
-4.26,-633.08,NA
-4.2,-682.52,NA
-4.25,-716.25,NA
-4.13,-733.52,NA
-4.2,-751.14,NA
-3.59,-769.17,NA
-4.54,-806.71,NA
-4.21,-826.32,NA
-4.14,-846.58,NA
-4.04,-867.55,NA
-4.05,-911.83,NA
-4.33,-959.64,NA
-3.97,-985.02,NA
-3.98,-1039,NA
-3.97,-1067.73,NA
-3.73,-1128.95,NA
-3.96,-1161.57,NA
-4.01,-1231.09,NA
-3.74,-1306.74,NA
-3.74,-1347,NA
-3.87,-1388.98,NA
-3.94,-1432.72,NA
-4.02,-1525.74,NA
-4.17,-1575.14,NA
-4.19,-1680,NA
-3.87,-1735.54,NA
-4.04,-1793.04,NA
-4.32,-1852.32,NA
-3.03,-1913.22,NA
-3.8,-1975.56,NA
-3.46,-2039.17,NA
-3.73,-2169.56,NA
-3.5,-2236,NA
-3.32,-2370.5,NA
-3.57,-2438.23,NA
-4.17,-2506.06,NA
-3.96,-2573.81,NA
-3.84,-2641.32,NA
-4.32,-2774.94,NA
-4.45,-2840.7,NA
-4.16,-2969.31,NA
-3.98,-3152.38,NA
-3.67,-3210.11,NA
-3.58,-3319.59,NA
-3.71,-3371.02,NA
-3.42,-3420,NA
-3.4,-3466.38,NA
-4.06,-3510,NA
-4.02,-3588.94,NA
-3.81,-3624.76,NA
-3.88,-3690.56,NA
-3.86,-3721.12,NA
-4.08,-3750.51,NA
-3.53,-3806.92,NA
-3.84,-3834.52,NA
-3.5,-3862.11,NA
-3.85,-3918.41,NA
-4.37,-3978.13,NA
-4.22,-4010,NA
-3.96,-4078.71,NA
-3.8,-4115.44,NA
-3.85,-4153.66,NA
-4.12,-4234.2,NA
-3.85,-4319.67,NA
-3.68,-4409.41,NA
-3.67,-4502.77,NA
-4.25,-4599.09,NA
-3.9,-4648.15,NA
-4.07,-4747.67,NA
-4.18,-4797.97,NA
-4.33,-4899.21,NA
-3.99,-4950,NA
-3.75,-5051.3,NA
