d18O (permil),year (AD),depth (cm),d18O (permil),year (AD),depth (cm)
-6.06,1989.3,1.3,-6.26,2002,1
-6.35,1901.9,7.75,-6.51,1995.7,2
-6.25,1847.3,18.25,-6.59,1988.9,3
-6.17,1806.6,28.75,-5.93,1981,4
-6.08,1768.2,38.9,-6.35,1970.8,5
-6.02,1731,48.67,-6.14,1960.4,6
-6.04,1692.9,58.45,-6.1,1949.9,7
-6.24,1647.1,68.23,-6.3,1939.4,8
-6.61,1583.8,78.01,-6.33,1928.7,9
-6.39,1510.2,87.79,-6.23,1918.1,10
-6.23,1414.5,97.57,-6.24,1907.4,11
-5.98,1326,107.35,-6.33,1897.4,12
-6.06,1239.8,117.13,-6.39,1887.6,13
-5.98,1152.9,126.91,-6.12,1878,14
-5.82,1060.1,136.69,-6.15,1868.5,15
-6.04,961.2,146.47,-6.14,1859.3,16
-6.14,883.1,156.25,-6.07,1850.2,17
-6.04,810.2,166.03,-6.44,1841.3,18
-6.11,739,175.81,-6.61,1832.3,19
-6.08,667.1,185.59,-6.17,1823.4,20
-6.1,592.8,195.37,-6.31,1814.4,21
-5.96,513.8,205.15,-6.03,1805.3,22
-6.1,423.4,214.985,-6.17,1796.6,23
-6.29,343,224.875,-6.29,1787.9,24
-6.4,267.3,234.77,-6.19,1779.1,25
-6.37,193.7,244.66,-6.29,1770.3,26
-6.27,120.3,254.55,-6.01,1761.2,27
-6.32,43.5,264.4,-5.9,1752.1,28
-6.23,-41.5,274.34,-5.9,1742.9,29
-6.31,-117.4,284.26,-6.1,1733.7,30
-6.37,-171.1,294.18,-5.95,1724.5,31
-6.23,-224.1,304.1,-6.13,1715.2,32
-5.97,-286.5,314,-5.99,1705.6,33
-6.32,-380.4,323.94,-5.86,1695.8,34
-6.35,-463.1,333.9,-6.08,1685.8,35
-6.04,-541.3,343.8,-6.22,1675.7,36
-6.16,-619.1,353.7,-6.3,1665.7,37
-6.14,-698.1,363.6,-6.02,1655.1,38
-5.99,-717.6,366.1,-5.99,1644.7,39
-6.13,-770,372.7,-6,1634.2,40
-6.05,-857.3,382.9,-6.08,1623.5,41
-6.04,-979.8,393.1,-6.26,1612.2,42
-6.11,-1107.9,403.3,-6.8,1600.6,43
-6.23,-1219.8,413.5,-6.68,1588.9,44
-6.02,-1330.1,423.7,-6.6,1577,45
-6.03,-1449.6,433.9,-6.47,1565,46
-6.02,-1589.9,444.1,-6.43,1552.8,47
-6.07,-1688,454.3,-6.66,1540.6,48
-6.23,-1776.7,464.5,-6.44,1528.8,49
-6.25,-1865.5,474.7,-6.42,1517.1,50
-6.32,-1968.3,484.9,-6.47,1506,51
NA,-2007.7,490.5,-6.19,1495.1,52
-6.36,-2048.2,498.2,-6.26,1484.4,53
-6.4,-2137.3,508.8,-6.32,1473.9,54
-6.26,-2256.3,519.3,-6.17,1463.4,55
-6.14,-2363.9,529.8,-6.26,1452.9,56
-6.23,-2468.6,540.4,-6.1,1442.5,57
-6.17,-2571.2,550.8,-6.2,1432.1,58
-6.11,-2674.2,561.1,-6.17,1421.9,59
-6,-2783.9,571.5,-6.2,1411.6,60
-5.99,-2900.2,581.8,-6.19,1401.1,61
-6.25,-2963.4,592.2,-6.11,1391.1,62
-6.16,-3017.3,602.5,-6.07,1381,63
-6.15,-3046.2,608.2,-6.02,1371.3,64
-6.24,-3084.7,615.8,-5.9,1361.5,65
-6.22,-3135.4,625.9,-6.06,1351.7,66
-6.18,-3189.7,636.1,-6.04,1341.7,67
-6.14,-3259.5,646.3,-5.94,1331.6,68
-6.25,-3320.1,656.4,-5.96,1321.4,69
-6.36,-3372.9,666.6,-6.06,1311.2,70
-6.25,-3425.7,676.8,-6.14,1300.7,71
-6.18,-3499.5,686.9,-6.29,1290.1,72
-6.22,-3582.7,697.1,-5.89,1279.2,73
-6.22,-3653.1,707.3,-6.23,1268.2,74
-6.29,-3722.2,717.5,-6.51,1256.9,75
-6.44,-3790,727.6,-6.62,1245.5,76
-6.39,-3859.8,737.8,-6.2,1234,77
-6.16,-3932.7,748,-6.15,1222.3,78
-6.14,-4023.2,758.2,-6.3,1209.7,79
-6.31,-4105.9,768.5,-6.1,1197.2,80
-6.09,-4219.6,778.9,-6.35,1184.9,81
-6.34,-4309.5,789.2,-6.26,1172.6,82
-6.17,-4389.8,799.5,-6.3,1160.5,83
-6.27,-4466.7,809.8,-6.3,1145.5,84
-6.41,-4537.7,819.5,-5.92,1129.4,85
-6.35,-4620.7,829.5,-6.1,1110.9,86
-6.34,-4696.6,839.5,-6.26,1092,87
-6.13,-4744.7,849.5,-6.34,1073.4,88
-6.23,-4787.3,859.6,-6.27,1054.9,89
-6.31,-4827.6,869.6,-6.37,1037.2,90
-6.32,-4867.6,879.6,-6.41,1019.7,91
-5.93,-4906.9,889.6,-6.36,1003,92
-6.26,-4947.2,899.6,-6.18,986.4,93
-6.05,-4988.2,909.7,-6.39,969.8,94
-6.14,-5030.1,919.7,-6.29,953.3,95
-6.37,-5078.5,929.7,-6.28,936.6,96
-6.32,-5142.8,939.7,-6.29,919.8,97
-6.09,-5202.8,949.7,-6.34,902.8,98
-6.12,-5255,959.8,-6.31,885.3,99
-6.11,-5305.6,969.8,-6.52,867.8,100
-6.21,-5355.1,979.8,-6.46,848.6,101
-6.26,-5404.3,989.8,-6.3,829.3,102
-6.22,-5453.7,999.8,-6.42,809.4,103
-6.17,-5502.2,1009.9,-6.34,791.9,104
-6.23,-5551,1019.9,-6.41,779,105
-6.25,-5601.3,1029.8,-6.23,768.3,106
-6.12,-5656.4,1039.7,-6.28,759.6,107
-6.09,-5719.5,1049.5,-6.39,751.5,108
-6.13,-5775.6,1059.3,-6.2,743.7,109
-6.2,-5812.3,1069.2,-6.37,736.2,110
-6.23,-5845.1,1079,-6.56,728.8,111
-6.22,-5876.5,1088.9,-6.4,721.6,112
-5.8,-5908.5,1098.7,-6.45,714.5,113
-5.86,-5959.7,1108.5,-6.4,707.4,114
-6.09,-6042.9,1118.4,-6.42,700.4,115
-5.96,-6114.4,1128.2,-6.32,693.5,116
-5.83,-6198,1138.1,-6.23,686.6,117
-5.76,-6229.6,1147.9,-6.38,679.6,118
-5.97,-6239.2,1152.3,-6.35,672.9,119
-5.82,-6254.6,1159.8,-6.04,666.3,120
-5.77,-6275.2,1169.8,-5.97,659.8,121
-5.73,-6295.9,1179.7,-6.04,653.2,122
-5.83,-6318.6,1189.7,-6.15,646.8,123
-5.43,-6343.9,1199.7,-5.9,640.4,124
-5.37,-6381.9,1209.6,-6.15,633.7,125
-5.63,-6460.1,1219.6,-6.05,627,126
-5.73,-6523.3,1229.6,-5.99,620.3,127
-5.72,-6583.8,1239.6,-5.98,613.7,128
-5.8,-6640.8,1249.5,-6.02,607,129
-5.75,-6699.9,1259.5,-6.2,600.3,130
-5.92,-6763.5,1269.5,-6.34,593.7,131
-5.76,-6844.6,1279.7,-6.37,587.2,132
-5.75,-6899.7,1290.1,-6.18,580.7,133
-5.49,-6953.3,1300.6,-6.18,574.3,134
-5.57,-7030.8,1311.1,-6.1,567.9,135
-5.7,-7091.7,1321.5,-6.2,561.4,136
-5.49,-7152.7,1332,-6.33,554.9,137
-5.4,-7218.9,1342.4,-6.01,548.4,138
-5.45,-7280.7,1352.9,-5.9,541.9,139
-5.47,-7301.3,1363.6,-5.96,534.9,140
-5.24,-7324.9,1374.4,-5.74,527.9,141
-5.4,-7395.4,1385.3,-5.86,521,142
-5.19,-7429,1391.2,-6.11,514,143
-5.17,-7472,1398.7,-6.23,507,144
-5.1,-7561.7,1408.9,-6.15,499.8,145
-5.25,-7666.7,1419,-6.17,492.6,146
-5.06,-7755.9,1429.1,-6.26,485.1,147
-5.14,-7843.5,1439.2,-6.15,477.4,148
-5.04,-7931.7,1449.3,-6.18,469.6,149
-4.94,-8018.7,1459.4,-5.92,461.8,150
-4.9,-8112.4,1469.5,-5.97,453.5,151
-4.78,-8175.3,1475.1,-6.03,445.5,152
-4.9,-8254,1482.4,-6.39,438.5,153
-4.95,-8329.6,1491.8,-6.19,432,154
-4.85,-8382.1,1499.3,-5.99,426.7,155
-4.86,-8450.4,1509.5,-6.83,421.7,156
-4.74,-8516.6,1519.6,-6.21,417,157
-4.85,-8586.1,1529.8,-5.98,412.7,158
-4.81,-8658.6,1539.9,-6.3,408.5,159
-4.63,-8750.9,1550.2,-6.32,404.5,160
NA,NA,NA,-5.87,400.6,161
NA,NA,NA,-5.91,396.9,162
NA,NA,NA,-5.97,393.4,163
NA,NA,NA,-5.89,389.9,164
NA,NA,NA,-6.12,386.4,165
NA,NA,NA,-5.92,382.9,166
NA,NA,NA,-6.13,379.4,167
NA,NA,NA,-6.15,376,168
NA,NA,NA,-6.18,372.6,169
NA,NA,NA,-5.91,369.2,170
NA,NA,NA,-6.18,366,171
NA,NA,NA,-6.18,362.8,172
NA,NA,NA,-6.23,359.5,173
NA,NA,NA,-6.28,356.1,174
NA,NA,NA,-5.93,352.8,175
NA,NA,NA,-6.01,349.5,176
NA,NA,NA,-6.04,346.1,177
NA,NA,NA,-6.31,342.7,178
NA,NA,NA,-6.23,339.3,179
NA,NA,NA,-6.23,336,180
NA,NA,NA,-6.33,332.9,181
NA,NA,NA,-6.12,329.7,182
NA,NA,NA,-6.22,326.6,183
NA,NA,NA,-6.02,323.4,184
NA,NA,NA,-6.51,320.2,185
NA,NA,NA,-6.33,316.9,186
NA,NA,NA,-6.27,313.7,187
NA,NA,NA,-6.45,310.3,188
NA,NA,NA,-6.32,307.1,189
NA,NA,NA,-6.35,303.9,190
NA,NA,NA,-6.36,300.7,191
NA,NA,NA,-6.22,297.4,192
NA,NA,NA,-6.22,294.2,193
NA,NA,NA,-6.38,291,194
NA,NA,NA,-6.36,287.9,195
NA,NA,NA,-6.33,284.9,196
NA,NA,NA,-6.54,281.7,197
NA,NA,NA,-6.37,278.5,198
NA,NA,NA,-6.34,275.2,199
NA,NA,NA,-6.38,272,200
NA,NA,NA,-6.44,268.6,201
NA,NA,NA,-6.51,265.2,202
NA,NA,NA,-6.54,261.9,203
NA,NA,NA,-6.49,258.4,204
NA,NA,NA,-6.26,254.9,205
NA,NA,NA,-6.13,251.3,206
NA,NA,NA,-6.4,247.7,207
NA,NA,NA,-6.49,244.1,208
NA,NA,NA,-6.22,240.4,209
