d18O (permil),year (AD),depth (cm)
-10.038,-8257,2
-10.134,-8266,4
-10.148,-8275,6
-10.255,-8284,8
-10.231,-8293,10
-10.242,-8302,12
-10.193,-8311,14
-10.202,-8320,16
-10.242,-8329,18
-10.191,-8338,20
-10.247,-8347,22
-10.193,-8356,24
-10.158,-8365,26
-10.23,-8374,28
-10.1,-8382,30
-10.214,-8391,32
-10.249,-8400,34
-10.074,-8409,36
-10.105,-8418,38
-10.085,-8427,40
-10.103,-8436,42
-10.092,-8445,44
-10.274,-8454,46
-10.158,-8463,48
NA,-8472,50
-10.273,-8481,52
-10.091,-8490,54
-10.135,-8499,56
-10.04,-8508,58
-10.199,-8516,60
-9.956,-8525,62
NA,-8534,NA
-9.997,-8543,66
NA,-8552,NA
-10.017,-8561,70
NA,-8570,NA
-10.03,-8579,74
NA,-8600,NA
-10.054,-8622,78
-10.12,-8643,80
-10.018,-8665,82
-9.906,-8686,84
-9.928,-8708,86
NA,-8729,NA
-9.956,-8751,90
-10.013,-8772,92
-9.939,-8793,94
-9.878,-8815,96
-9.894,-8836,98
-9.973,-8858,100
-9.864,-8879,102
-9.964,-8901,104
-9.842,-8922,106
-9.862,-8944,108
-9.732,-8965,110
-9.856,-8986,112
-9.881,-9008,114
-9.886,-9029,116
-9.808,-9051,118
-9.85,-9072,120
-9.688,-9094,122
-9.81,-9115,124
-9.588,-9137,126
-9.724,-9158,128
-9.803,-9166,130
-9.756,-9174,132
-9.376,-9183,134
-9.853,-9191,136
-9.726,-9199,138
-9.623,-9207,140
-9.631,-9216,142
-9.468,-9224,144
-9.613,-9232,146
-9.644,-9240,148
-9.533,-9249,150
-9.626,-9257,152
-9.459,-9265,154
-9.598,-9273,156
-9.532,-9282,158
-9.435,-9290,160
NA,-9298,NA
-9.434,-9306,164
-9.32,-9315,166
-9.413,-9323,168
-9.274,-9331,170
-9.446,-9351,172
-9.211,-9372,174
-9.114,-9392,176
-8.954,-9412,178
-8.946,-9436,180
-8.972,-9459,182
-8.861,-9483,184
-8.84,-9507,186
-8.712,-9530,188
-8.766,-9554,190
-8.811,-9578,192
-8.772,-9602,194
-8.664,-9625,196
-8.503,-9649,198
-8.438,-9673,200
-8.26,-9696,202
-8.165,-9720,204
-8.277,-9744,206
-8.246,-9767,208
-8.106,-9791,210
-7.988,-9815,212
-8.121,-9838,214
-8.103,-9862,216
-8.187,-9886,218
-7.938,-9910,220
-8.153,-9933,222
-8.132,-9957,224
-8.255,-9981,226
-8.103,-10004,228
-8.343,-10028,230
-8.27,-10052,232
-8.243,-10075,234
-8.314,-10099,236
-8.218,-10123,238
-8.384,-10146,240
-8.337,-10170,242
-8.235,-10194,244
-8.302,-10217,246
-8.446,-10241,248
-8.305,-10265,250
-8.417,-10289,252
-8.7,-10312,254
-8.507,-10336,256
-8.528,-10360,258
-8.585,-10383,260
-8.757,-10407,262
-8.547,-10431,264
-8.708,-10454,266
-8.725,-10478,268
-8.829,-10502,270
-8.948,-10525,272
-8.934,-10549,274
-9.094,-10573,276
-8.855,-10597,278
-8.96,-10620,280
-9.029,-10644,282
-9.253,-10668,284
-9.225,-10691,286
-9.303,-10715,288
-9.402,-10759,290
-9.306,-10803,292
-9.592,-10848,294
-9.702,-10892,296
-9.555,-10936,298
-9.603,-10980,300
-9.757,-10997,302
-9.686,-11014,304
-9.503,-11031,306
-9.526,-11048,308
-9.555,-11065,310
-9.624,-11082,312
-9.457,-11099,314
-9.578,-11117,316
-9.564,-11134,318
-9.54,-11151,320
-9.401,-11168,322
-9.462,-11185,324
-9.608,-11202,326
-9.577,-11219,328
-9.629,-11236,330
