d18O (permil),year (AD),depth (cm),d13C (permil)
-9.56,-8859,NA,-11.57
-9.74,-8799,NA,-11.54
-9.99,-8769,NA,-11.77
-9.37,-8689,NA,-11.49
-8.94,-8639,NA,-11.38
-8.9,-8599,NA,-11.27
-8.92,-8539,NA,-11.42
-8.07,-8459,NA,-10.84
-8.36,-7985,NA,-11.28
-8.8,-7945,NA,-11.87
-8.46,-7895,NA,-11.74
-8.64,-7853,NA,-12.2
-9.28,-7742,NA,-11.82
-10.05,-7670,NA,-12.23
-10.32,-7621,NA,-12.08
-10.47,-7568,NA,-12.46
-9.61,-7493,NA,-12.11
-9.38,-7427,NA,-12.48
-9.92,-7356,NA,-12.46
-9.29,-7292,NA,-12.06
-9.36,-7248,NA,-12.19
-9.06,-7199,NA,-12.09
-8.91,-7130,NA,-11.98
-8.64,-7062,NA,-11.99
-8.51,-6995,NA,-12.13
-8.74,-6934,NA,-12.08
-8.77,-6889,NA,-12.32
-8.83,-6825,NA,-12.14
-8.63,-6786,NA,-11.89
-8.74,-6744,NA,-11.99
-8.91,-6694,NA,-12.25
-8.7,-6645,NA,-12.1
-8.36,-6593,NA,-11.8
-8.29,-6529,NA,-11.7
-7.85,-6458,NA,-11.39
-7.86,-6407,NA,-11.68
-8.01,-6336,NA,-11.5
-8.41,-6285,NA,-11.06
-8.32,-6204,NA,-10.56
-8.14,-5980,NA,-11.11
-7.9,-5941,NA,-10.92
-7.59,-5880,NA,-11.13
-7.35,-5832,NA,-11.12
-7.82,-5790,NA,-11.38
-7.85,-5749,NA,-11.57
-7.78,-5710,NA,-11.47
-8.1,-5682,NA,-11.75
-8.4,-5562,NA,-11.5
-8.18,-5441,NA,-11.51
-8.77,-5428,NA,-12.04
-8,-5414,NA,-11.12
-8.11,-5401,NA,-11.53
-8.39,-5383,NA,-11.67
-7.77,-5365,NA,-11.69
-7.95,-5349,NA,-11.59
-7.53,-5334,NA,-11.69
-7,-5315,NA,-10.65
-7.71,-5296,NA,-11.67
-7.88,-5277,NA,-11.69
-8.4,-5254,NA,-11.66
-8.5,-5243,NA,-11.67
-8.22,-5232,NA,-11.43
-8.95,-5220,NA,-11.97
-8.59,-5208,NA,-11.63
-9.11,-5197,NA,-12.05
-8.63,-5150,NA,-11.88
-9.33,-5134,NA,-11.99
-8.94,-5118,NA,-11.22
-9.1,-5101,NA,-11.78
-9.19,-5056,NA,-11.76
-9.03,-5038,NA,-11.69
-9.45,-5020,NA,-12
-9.74,-5002,NA,-11.48
-9.47,-4985,NA,-11.3
-10.16,-4961,NA,-11.92
-9.43,-4889,NA,-11.75
-9.01,-4819,NA,-11.15
-8.9,-4750,NA,-11.65
-9.3,-4680,NA,-11.92
-8.82,-4633,NA,-11.85
-8.71,-4586,NA,-11.91
-8.82,-4539,NA,-11.87
-8.7,-4492,NA,-12.04
-9.01,-4434,NA,-12.06
-8.95,-4375,NA,-11.89
-8.94,-4316,NA,-11.51
-9.09,-4259,NA,-11.98
-9.66,-4202,NA,-11.82
-9.7,-4144,NA,-12.01
-9.3,-4072,NA,-11.85
-9.33,-3999,NA,-11.92
-9.16,-3926,NA,-11.96
-8.87,-3830,NA,-11.8
-9.08,-3734,NA,-11.68
-9.04,-3696,NA,-11.64
-8.42,-3658,NA,-11.61
-8.57,-3620,NA,-11.47
-8.34,-3582,NA,-11.29
-8.79,-3544,NA,-11.25
-8.62,-3477,NA,-11.19
-8.68,-3343,NA,-11.14
-8.84,-3196,NA,-11.18
-8.33,-3123,NA,-11.33
-8.96,-3062,NA,-11.36
-9.18,-3001,NA,-11.41
-9.07,-2940,NA,-11.48
-9.88,-2810,NA,-11.75
-9.82,-2720,NA,-11.16
-9.65,-2596,NA,-11.7
-9.62,-2380,NA,-11.89
-9.54,-2163,NA,-11.91
-9.44,-2102,NA,-12.1
-9.14,-2041,NA,-11.37
-8.36,-1981,NA,-10.28
-8.15,-1920,NA,-10.89
-8.73,-1861,NA,-11.34
-8.66,-1802,NA,-11.29
-9.34,-1680,NA,-11.45
-8.43,-1609,NA,-11.27
-8.13,-1538,NA,-10.39
-8.72,-1480,NA,-11.61
-8.99,-1421,NA,-11
-8.73,-1363,NA,-10.8
-9.33,-1219,NA,-10.99
-8.83,-1034,NA,-10.56
-9.05,-975,NA,-11.65
-8.91,-917,NA,-11.54
-8.78,-787,NA,-11.81
-8.69,-701,NA,-11.81
-8.95,-616,NA,-11.82
-8.64,-567,NA,-11.97
-8.85,-519,NA,-11.89
-8.85,-422,NA,-12.09
-8.86,-386,NA,-11.98
-8.68,-350,NA,-12.16
-8.57,-314,NA,-11.61
-8.25,-278,NA,-11.35
-8.43,-224,NA,-11.52
-8.38,-171,NA,-11.42
-7.75,-117,NA,-10.83
-7.89,-56,NA,-10.71
-7.8,5,NA,-11
-8.53,67,NA,-11.43
-8.17,109,NA,-11.75
-8.28,194,NA,-11.59
-8.15,373,NA,-11.44
-8.5,470,NA,-11.34
-8.29,566,NA,-11.69
-8.24,650,NA,-11.65
-8.58,733,NA,-11.23
