d18O (permil),year (AD),depth (cm)
-7.49,1963,NA
-7.4217,1960.4,NA
-7.3232,1955.3,NA
-7.2011,1952.8,NA
-7.2122,1950.2,NA
-7.043,1947.7,NA
-7.0021,1945.1,NA
-7.2734,1942.6,NA
-7.5749,1940,NA
-7.6004,1937.4,NA
-7.628,1934.9,NA
-7.7068,1932.3,NA
-7.7018,1929.8,NA
-7.6208,1927.2,NA
-7.4209,1924.7,NA
-7.2901,1922.1,NA
-7.2466,1919.6,NA
-7.2579,1917,NA
-7.6977,1914.5,NA
-7.8786,1911.9,NA
-7.6067,1909.4,NA
-7.553,1906.8,NA
-7.6422,1904.2,NA
-7.8451,1901.7,NA
-7.7664,1899.1,NA
-7.5333,1896.6,NA
-7.2273,1894,NA
-7.4707,1891.5,NA
-7.3793,1888.9,NA
-7.4244,1886.4,NA
-7.3886,1883.8,NA
-7.2624,1881.3,NA
-7.0968,1878.7,NA
-7.2006,1876.2,NA
-7.4811,1873.6,NA
-7.5108,1871,NA
-7.5786,1868.5,NA
-7.5297,1865.9,NA
-7.7356,1863.4,NA
-7.6988,1860.8,NA
-7.5129,1858.3,NA
-7.4201,1855.7,NA
-7.2794,1853.2,NA
-7.2612,1850.6,NA
-7.1272,1848.1,NA
-7.0594,1845.5,NA
-7.084,1843,NA
-7.1974,1840.4,NA
-7.1583,1837.8,NA
-7.1633,1835.3,NA
-7.112,1832.7,NA
-7.2308,1830.2,NA
-7.2615,1827.6,NA
-7.2618,1825.1,NA
-7.3473,1822.5,NA
-7.3899,1820,NA
-7.4193,1817.4,NA
-7.4675,1814.9,NA
-7.4824,1812.3,NA
-7.4031,1809.8,NA
-7.3466,1807.2,NA
-7.2916,1804.6,NA
-7.2727,1802.1,NA
-7.3839,1799.5,NA
-7.6,1797,NA
-7.5907,1794.4,NA
-7.6839,1791.9,NA
-7.6797,1789.3,NA
-7.652,1786.8,NA
-7.6747,1784.2,NA
-7.5464,1781.7,NA
-7.3863,1779.1,NA
-7.2728,1776.6,NA
-7.1931,1774,NA
-7.2762,1772.4,NA
-7.2984,1770.8,NA
-7.2252,1769.2,NA
-7.1473,1767.6,NA
-7.079,1766,NA
-7.0335,1764.4,NA
-7.1588,1761.2,NA
-7.2112,1759.6,NA
-7.1609,1758,NA
-7.1012,1756.4,NA
-7.0835,1754.8,NA
-7.1401,1753.2,NA
-7.2666,1751.6,NA
-7.3363,1750,NA
-7.2544,1748.4,NA
-7.2161,1746.8,NA
-7.2875,1745.2,NA
-7.3635,1743.6,NA
-7.308,1742,NA
-7.3798,1740.4,NA
-7.3767,1738.8,NA
-7.4674,1737.2,NA
-7.3576,1735.6,NA
-7.2155,1734,NA
-7.2984,1732.4,NA
-7.4471,1730.8,NA
-7.6241,1729.2,NA
-7.5572,1727.6,NA
-7.3358,1726,NA
-7.2762,1724.4,NA
-7.2472,1722.8,NA
-7.1691,1721.2,NA
-7.1741,1719.6,NA
-7.2177,1718,NA
-7.1679,1716.4,NA
-7.0667,1714.8,NA
-6.9415,1713.2,NA
-6.9342,1711.6,NA
-7.0055,1710,NA
-7.2171,1708.4,NA
-7.2758,1706.8,NA
-7.177,1705.2,NA
-7.1652,1703.6,NA
-7.1589,1702,NA
-7.1022,1700.4,NA
-7.0392,1698.8,NA
-6.9892,1697.2,NA
-7.1519,1695.6,NA
-7.3768,1694,NA
-7.1422,1692.4,NA
-6.9076,1690.8,NA
-6.9145,1689.2,NA
-6.9944,1687.6,NA
-7.0159,1686,NA
-6.9207,1684.4,NA
-6.9418,1682.8,NA
-7.0856,1681.2,NA
-7.2772,1679.6,NA
-7.4041,1678,NA
-7.3483,1676.4,NA
-7.3932,1674.8,NA
-7.4772,1673.2,NA
-7.4676,1671.6,NA
-7.3741,1670,NA
-7.4143,1668.4,NA
-7.5175,1666.8,NA
-7.5894,1665.2,NA
-7.3597,1663.6,NA
-7.1795,1662,NA
-7.3136,1660.4,NA
-7.2947,1658.8,NA
-7.1455,1657.2,NA
-7.1839,1655.6,NA
-7.2295,1654,NA
-7.4977,1652.4,NA
-7.6145,1650.8,NA
-7.552,1649.2,NA
-7.4392,1647.6,NA
-7.1421,1646,NA
-7.1734,1644.4,NA
-7.217,1642.8,NA
-7.1246,1641.2,NA
-7.2605,1639.6,NA
-7.4566,1638,NA
-7.5493,1636.4,NA
-7.6529,1634.8,NA
-7.7421,1633.2,NA
-7.7912,1631.6,NA
-7.6187,1630,NA
-7.3626,1628.4,NA
-7.2224,1626.8,NA
-7.015,1625.2,NA
-6.9988,1623.6,NA
-7.0855,1622,NA
-7.0701,1619.6,NA
-6.9933,1617.3,NA
-7.0438,1614.9,NA
-7.1743,1612.5,NA
-7.3671,1610.1,NA
-7.5009,1607.8,NA
-7.4937,1605.4,NA
-7.3599,1603,NA
-7.3574,1600.7,NA
-7.3326,1598.3,NA
-7.3193,1595.9,NA
-7.5245,1593.5,NA
-7.7529,1591.2,NA
-7.8262,1588.8,NA
-7.5158,1586.4,NA
-7.2004,1584.1,NA
-7.2109,1581.7,NA
-7.232,1579.3,NA
-7.2145,1576.9,NA
