d18O (permil),year (AD),depth (cm),d18O (permil) [1-2],year (AD) [1-2],depth (cm) [1-2]
NA,1987,0.06,-13.43,843,0.1
-12.07,1983,0.08,-13.12,839,0.15
-13.22,1979,0.1,-13.39,836,0.2
-12.76,1974,0.12,-13.16,832,0.25
-13.11,1970,0.14,-12.94,828,0.3
-13.57,1966,0.16,-13.19,824,0.35
-12.62,1961,0.18,-13.48,821,0.4
NA,1957,0.2,-13.13,817,0.45
-13.54,1953,0.22,-13.31,813,0.5
-13.27,1949,0.24,-13.07,809,0.55
-13.58,1944,0.26,-13.21,806,0.6
-13.25,1940,0.28,-12.79,802,0.65
-13.06,1936,0.3,-13.02,798,0.7
-12.76,1932,0.32,-12.8,794,0.75
-13.68,1927,0.34,-13.05,791,0.8
-12.88,1923,0.36,-12.97,787,0.85
-13.59,1919,0.38,-13.5,783,0.9
-13.08,1914,0.4,-13.15,779,0.95
-13.69,1910,0.42,-13.24,776,1
-13.42,1906,0.44,-12.95,775,1.01
-13.08,1902,0.46,-12.83,774,1.02
-12.93,1897,0.48,-12.94,773,1.03
-13.03,1893,0.5,-13.01,773,1.04
-13.57,1889,0.52,-12.9,772,1.05
-13.54,1884,0.54,-13.19,771,1.06
-13.23,1880,0.56,-12.94,770,1.07
-13.41,1876,0.58,-13.36,770,1.08
-13.5,1872,0.6,-12.92,769,1.09
-13.47,1867,0.62,-13.1,768,1.1
-13.44,1863,0.64,-13.02,767,1.11
-13.43,1859,0.66,-13.23,767,1.12
-13.49,1854,0.68,-13.06,766,1.13
-13.64,1850,0.7,-13.1,764,1.15
-13.01,1846,0.72,-12.67,764,1.16
-13.31,1842,0.74,-12.44,763,1.17
-13.69,1837,0.76,-12.55,762,1.18
-13.48,1833,0.78,-12.96,761,1.19
-13.19,1829,0.8,-12.59,761,1.2
-13.55,1825,0.82,-12.98,760,1.21
-13.6,1820,0.84,-12.43,759,1.22
-13.78,1815,0.86,-12.93,758,1.23
-13.71,1810,0.88,-12.81,758,1.24
-13.36,1804,0.9,-12.93,757,1.25
-13.29,1799,0.92,-12.61,756,1.26
-13.29,1793,0.94,-12.98,755,1.27
-13.33,1788,0.96,-12.5,755,1.28
-13.43,1782,0.98,-12.94,754,1.29
-13.65,1777,1,-12.82,753,1.3
-12.94,1771,1.02,-12.88,752,1.31
-13.59,1765,1.04,-12.94,752,1.32
-13.5,1760,1.06,-12.94,751,1.33
-13.81,1754,1.08,-12.67,750,1.34
-13.41,1749,1.1,-12.93,749,1.35
-13.6,1743,1.12,-12.92,748,1.36
-13.76,1738,1.14,-12.97,747,1.37
-13.48,1732,1.16,-12.88,746,1.38
-13.48,1727,1.18,-13.21,745,1.39
NA,1721,1.2,-12.94,744,1.4
-13.85,1716,1.22,-13.26,743,1.41
-13.82,1710,1.24,-12.69,742,1.42
-13.66,1704,1.26,-13.01,741,1.43
-13.63,1699,1.28,-12.91,740,1.44
-13.74,1693,1.3,-12.86,739,1.45
-14.16,1688,1.32,-12.75,738,1.46
-13.39,1682,1.34,-13.1,737,1.47
-13.59,1677,1.36,-12.96,736,1.48
NA,1671,1.38,-13.02,735,1.49
-14.29,1666,1.4,-12.91,734,1.5
-12.78,1660,1.42,-13.33,733,1.51
-13.59,1655,1.44,-12.94,732,1.52
-13.63,1649,1.46,-13.06,731,1.53
-13.85,1644,1.48,-12.82,729,1.54
-13.75,1638,1.5,-13.11,728,1.55
-13.59,1632,1.52,-13.09,727,1.56
-13.55,1627,1.54,-13.06,726,1.57
NA,1621,1.56,-13.03,725,1.58
-13.39,1616,1.58,-13.04,724,1.59
-13.62,1610,1.6,-13.12,723,1.6
-13.87,1605,1.62,-13.17,722,1.61
-13.25,1599,1.64,-13.19,721,1.62
-13.25,1594,1.66,-13.08,720,1.63
-13.42,1588,1.68,-13.08,719,1.64
-13.45,1583,1.7,-13,718,1.65
-13.24,1577,1.72,-12.95,717,1.66
-13.37,1571,1.74,-12.84,716,1.67
-13.74,1566,1.76,-12.82,715,1.68
-13.14,1560,1.78,-12.73,714,1.69
-13.69,1555,1.8,-12.73,713,1.7
-13.4,1549,1.82,-12.73,712,1.71
-13.42,1544,1.84,-12.69,711,1.72
-13.68,1538,1.86,-12.68,710,1.73
-13.52,1533,1.88,-12.67,709,1.74
-13.78,1527,1.9,-12.71,708,1.75
-13.3,1523,1.92,-12.49,707,1.76
-13.51,1519,1.94,-12.73,706,1.77
-13.56,1514,1.96,-12.79,704,1.78
-13.67,1510,1.98,-12.82,703,1.79
-13.68,1506,2,-12.85,702,1.8
-13.86,1502,2.02,-12.95,701,1.81
-13.4,1497,2.04,-12.97,700,1.82
-13.42,1493,2.06,-13.03,699,1.83
-13.91,1489,2.08,-13,698,1.84
-13.56,1485,2.1,-13.08,697,1.85
NA,1480,2.12,-13.07,696,1.86
-13.14,1476,2.14,-13.01,695,1.87
-13.12,1472,2.16,-12.79,694,1.88
-13.06,1468,2.18,-12.88,693,1.89
-13.48,1463,2.2,-12.98,692,1.9
-13.35,1459,2.22,-12.91,691,1.91
-13.56,1455,2.24,-12.98,690,1.92
-13.5,1451,2.26,-13.02,689,1.93
NA,1446,2.28,-12.7,688,1.94
-13.46,1442,2.3,-12.95,687,1.95
-13.26,1438,2.32,-12.83,686,1.96
-13.66,1434,2.34,-12.92,685,1.97
NA,1429,2.36,-12.9,684,1.98
-13.56,1425,2.38,-12.85,683,1.99
-13.72,1421,2.4,-12.65,682,2
-13.73,1417,2.42,-12.71,681,2.01
-13.53,1412,2.44,-12.69,680,2.02
-13.32,1408,2.46,-12.76,678,2.03
-13.7,1404,2.48,-12.77,677,2.04
-13.43,1399,2.5,-12.88,676,2.05
-13.18,1395,2.52,-12.85,675,2.06
-13.14,1391,2.54,-12.99,674,2.07
-12.72,1387,2.56,-12.77,673,2.08
-13.35,1382,2.58,-12.93,672,2.09
-13.21,1378,2.6,-12.79,671,2.1
-12.66,1374,2.62,-12.87,669,2.11
-13.16,1370,2.64,-12.75,668,2.12
-12.74,1365,2.66,-12.86,666,2.13
-13.19,1361,2.68,-12.84,664,2.14
-13.5,1357,2.7,-12.74,663,2.15
-13.29,1353,2.72,-12.78,661,2.16
-13.2,1348,2.74,-12.5,659,2.17
-13.02,1344,2.76,-12.61,656,2.19
-13.25,1340,2.78,-12.5,654,2.2
-13.09,1336,2.8,-12.59,652,2.21
NA,1331,2.82,-12.56,651,2.22
-13.52,1327,2.84,-12.76,649,2.23
-13.56,1323,2.86,-12.5,647,2.24
-12.98,1319,2.88,-12.78,646,2.25
-12.98,1314,2.9,-12.83,644,2.26
-13.39,1310,2.92,-12.86,642,2.27
-13.28,1306,2.94,-12.61,640,2.28
-13.24,1302,2.96,-12.79,639,2.29
-13.43,1297,2.98,-12.64,637,2.3
-13.06,1293,3,-12.56,635,2.31
-12.98,1289,3.02,-12.56,634,2.32
-12.88,1285,3.04,-12.6,632,2.33
-13.45,1280,3.06,-12.82,629,2.35
-13.75,1276,3.08,-12.92,627,2.36
-13.2,1272,3.1,-12.96,625,2.37
-13.29,1268,3.12,-12.89,623,2.38
-13.04,1263,3.14,-12.92,622,2.39
-13.58,1259,3.16,-12.91,620,2.4
-12.8,1255,3.18,-13.2,618,2.41
-13.37,1251,3.2,-13.45,617,2.42
NA,1246,3.22,-12.84,615,2.43
NA,1242,3.24,-12.75,613,2.44
-13.32,1238,3.26,-12.68,611,2.45
-13.17,1234,3.28,-12.63,610,2.46
-13.32,1229,3.3,-12.61,608,2.47
-12.67,1225,3.32,-12.67,606,2.48
-13.43,1221,3.34,-12.68,605,2.49
-13.34,1217,3.36,-12.72,603,2.5
NA,1212,3.38,-12.72,601,2.51
-13.13,1208,3.4,-12.98,600,2.52
-14,1204,3.42,-12.7,598,2.53
-13.66,1199,3.44,-12.81,596,2.54
-13.72,1195,3.46,-12.86,594,2.55
-13.37,1191,3.48,-12.51,593,2.56
-13.82,1187,3.5,-12.65,591,2.57
NA,1182,3.52,-12.32,589,2.58
-13.64,1178,3.54,-12.69,588,2.59
-13.41,1174,3.56,-12.74,586,2.6
-13.48,1170,3.58,-12.79,584,2.61
-13.3,1165,3.6,-12.74,583,2.62
-13.36,1161,3.62,-12.8,581,2.63
-12.76,1157,3.64,-12.91,579,2.64
-13.42,1153,3.66,-12.94,577,2.65
-13.21,1148,3.68,-13.02,576,2.66
-13.28,1144,3.7,-13.06,574,2.67
NA,1140,3.72,-13.13,572,2.68
-13.85,1136,3.74,-13.02,571,2.69
-13.3,1131,3.76,-13.4,569,2.7
-13.81,1127,3.78,-13.18,567,2.71
-13.21,1123,3.8,-13.21,566,2.72
-13.22,1119,3.82,-13.16,564,2.73
-13.2,1114,3.84,-13.12,563,2.74
-13.41,1110,3.86,-13.02,561,2.75
-13.31,1106,3.88,-13.01,560,2.76
-13.52,1102,3.9,-12.93,558,2.77
-13.25,1097,3.92,-13.08,556,2.78
-13.46,1093,3.94,-13,555,2.79
-13.48,1089,3.96,-13.21,553,2.8
-13.01,1085,3.98,-13.16,552,2.81
-13.63,1080,4,-13.24,550,2.82
-13.27,1076,4.02,-13.24,549,2.83
-13.32,1072,4.04,-13.31,547,2.84
-13.49,1068,4.06,-13.28,546,2.85
-13.6,1063,4.08,-13.3,544,2.86
-13.72,1059,4.1,-13.31,542,2.87
-13.52,1055,4.12,-13.2,541,2.88
-13.18,1051,4.14,-13.1,539,2.89
-13,1046,4.16,-12.88,538,2.9
-13.41,1042,4.18,-12.92,536,2.91
-13.25,1038,4.2,-12.97,535,2.92
-12.92,1034,4.22,-12.01,533,2.93
-12.85,1030,4.24,-13.02,532,2.94
-13.32,1026,4.26,-13.02,530,2.95
-13.25,1022,4.28,-12.92,528,2.96
NA,1018,4.3,-12.94,527,2.97
-13.35,1014,4.32,-12.96,525,2.98
-13.5,1010,4.34,-12.98,524,2.99
