d18O (permil),year (AD),d18O (permil) [2-1],year (AD) [2-1],Sr_Ca (mmol/mol) [3-1],year (AD) [3-1],Sr_Ca (mmol/mol) [4-1],year (AD) [4-1]
-0.91,1991,-0.43,1992,9.525,1991,9.479,1992
-0.79,1986,-0.39,1987,9.494,1986,9.611,1987
-0.88,1982,-0.42,1982,9.52,1982,9.534,1982
-0.82,1976,-0.45,1979,NA,1976,9.714,1979
NA,1975,-0.42,1977,9.54,1975,NA,1977
-0.72,1971,NA,1974,9.4745,1971,9.517,1974
-0.77,1967,-0.45,1972,9.509,1967,NA,1972
NA,1962,NA,1971,9.483,1962,9.731,1971
-0.91,1960,-0.37,1967,9.584,1960,NA,1967
NA,1957,-0.36,1963,9.536,1957,9.565,1963
-0.89,1954,-0.43,1957,9.267,1954,9.387,1957
-0.87,1947,-0.33,1952,9.468,1947,9.697,1952
-0.85,1940,-0.35,1950,9.618,1940,NA,1950
-0.78,1932,NA,1948,9.435,1932,9.897,1948
-0.78,1926,-0.42,1947,9.696,1926,NA,1947
-0.89,1921,NA,1945,9.604,1921,9.657,1945
-0.86,1915,-0.41,1943,9.603,1915,9.834,1943
-0.87,1909,-0.44,1939,9.728,1909,NA,1939
-0.78,1904,-0.37,1934,9.774,1904,NA,1934
-0.87,1899,-0.39,1930,9.658,1899,9.654,1930
-0.82,1893,-0.36,1928,9.665,1893,NA,1928
-0.82,1888,NA,1927,9.755,1888,9.734,1927
-0.84,1883,-0.36,1926,9.541,1883,NA,1926
-0.94,1878,-0.34,1921,9.668,1878,9.8,1921
-0.84,1873,-0.23,1918,9.702,1873,NA,1918
-0.83,1869,-0.32,1913,9.712,1869,10.062,1913
-0.815,1864,-0.48,1911,9.64,1864,9.947,1911
-0.87,1860,-0.37,1909,9.729,1860,9.719,1909
-0.91,1855,-0.35,1905,9.63,1855,9.66,1905
-0.74,1850,-0.3,1899,9.81,1850,NA,1899
-0.87,1845,NA,1897,9.727,1845,9.845,1897
-0.8,1840,-0.47,1895,9.849,1840,9.822,1895
-0.71,1834,-0.49,1891,9.761,1834,NA,1891
-0.68,1830,NA,1890,9.82,1830,9.742,1890
-0.73,1826,-0.42,1885,NA,1826,9.916,1885
-0.66,1821,-0.3,1881,9.685,1821,9.96,1881
-0.68,1817,-0.29,1875,9.902,1817,NA,1875
-0.68,1813,-0.42,1870,9.874,1813,10.097,1870
-0.65,1808,-0.32,1865,9.887,1808,9.93,1865
-0.95,1805,-0.31,1859,9.878,1805,9.861,1859
-0.73,1800,-0.33,1854,9.827,1800,9.898,1854
-0.77,1795,-0.28,1849,9.797,1795,9.932,1849
-0.61,1784,-0.38,1844,9.773,1784,NA,1844
-0.67,1780,NA,1843,9.7035,1780,9.919,1843
-0.79,1775,-0.41,1837,NA,1775,9.891,1837
-0.68,1770,-0.37,1833,NA,1770,10.131,1833
-0.71,1765,-0.4,1828,9.702,1765,9.944,1828
-0.76,1761,-0.46,1823,NA,1761,9.91,1823
-0.78,1756,-0.54,1818,9.763,1756,9.966,1818
-0.75,1754,-0.36,1813,9.751,1754,10.148,1813
-0.67,1747,-0.44,1808,9.564,1747,9.923,1808
-0.76,1744,-0.38,1802,9.735,1744,9.842,1802
-0.74,1739,-0.4,1797,9.7205,1739,10.017,1797
-0.77,1735,-0.27,1791,9.811,1735,9.969,1791
-0.79,1730,-0.36,1785,9.65,1730,9.868,1785
-0.78,1726,-0.31,1780,9.806,1726,9.87,1780
-0.84,1722,-0.4,1774,9.769,1722,9.8,1774
-0.72,1718,-0.32,1769,9.704,1718,9.865,1769
-0.78,1714,-0.4,1763,9.704,1714,9.806,1763
NA,1709,-0.42,1758,9.827,1709,9.8065,1758
-0.775,1705,-0.37,1752,9.767,1705,9.8825,1752
-0.78,1701,-0.37,1747,9.832,1701,9.855,1747
-0.8,1698,-0.43,1741,9.798,1698,9.757,1741
-0.78,1694,-0.36,1736,9.8075,1694,9.8605,1736
-0.81,1690,-0.49,1731,9.853,1690,9.909,1731
-0.81,1686,-0.4,1727,9.775,1686,NA,1727
-0.745,1682,NA,1726,9.7615,1682,9.77,1726
-0.82,1677,-0.34,1721,9.7965,1677,9.833,1721
-0.75,1674,-0.29,1715,9.826,1674,9.726,1715
-0.84,1671,-0.28,1709,9.748,1671,9.874,1709
-0.82,1667,-0.26,1703,9.5685,1667,9.627,1703
-0.77,1663,-0.23,1698,9.7595,1663,9.87,1698
-0.76,1660,-0.41,1693,9.727,1660,9.817,1693
-0.69,1656,-0.34,1687,9.79,1656,9.785,1687
-0.81,1654,-0.28,1682,9.656,1654,9.835,1682
-0.73,1650,-0.3,1676,9.797,1650,9.817,1676
-0.81,1646,-0.37,1670,9.778,1646,9.923,1670
-0.7,1643,-0.25,1665,9.782,1643,9.907,1665
NA,1642,NA,1661,9.757,1642,9.872,1661
-0.73,1639,-0.38,1660,9.758667,1639,NA,1660
-0.68,1636,-0.43,1655,9.696667,1636,9.823,1655
NA,1634,-0.35,1650,9.7335,1634,9.945,1650
-0.77,1633,-0.3,1645,9.672,1633,9.921,1645
NA,1631,-0.34,1640,9.7265,1631,9.896,1640
-0.81,1630,-0.32,1635,9.701,1630,9.919,1635
-0.77,1627,-0.34,1629,9.751,1627,9.861,1629
-0.705,1624,-0.31,1623,9.756667,1624,9.804,1623
-0.73,1622,-0.4,1617,9.5815,1622,9.859,1617
-0.81,1621,-0.33,1612,9.753,1621,9.87,1612
-0.75,1618,-0.43,1607,9.747667,1618,9.896,1607
-0.81,1616,-0.36,1601,9.776556,1616,9.847,1601
-0.74,1614,-0.38,1596,9.756,1614,9.724,1596
-0.74,1612,-0.24,1590,NA,1612,9.921,1590
-0.68,1610,-0.35,1585,9.805,1610,9.931,1585
-0.72,1609,-0.28,1579,NA,1609,9.944,1579
-0.67,1606,-0.45,1574,NA,1606,9.894,1574
-0.74,1605,-0.31,1568,9.751,1605,9.829,1568
-0.75,1603,-0.26,1564,9.787,1603,9.819,1564
-0.76,1600,-0.36,1559,9.762,1600,9.856,1559
-0.77,1597,-0.26,1554,9.742,1597,10.014,1554
-0.85,1594,-0.23,1550,9.703,1594,9.96,1550
-0.75,1591,-0.41,1545,9.666,1591,9.768,1545
-0.73,1589,-0.4,1540,9.77,1589,9.734,1540
-0.82,1585,-0.38,1534,9.738,1585,9.821,1534
-0.74,1582,-0.27,1528,9.73,1582,9.813,1528
-0.81,1580,-0.28,1522,9.74,1580,9.713,1522
-0.87,1577,-0.39,1516,9.787,1577,9.7,1516
-0.76,1575,-0.32,1509,9.761,1575,9.858,1509
-0.84,1572,-0.42,1504,9.789,1572,9.907,1504
-0.79,1570,-0.45,1498,9.784,1570,NA,1498
-0.81,1567,NA,1497,9.698,1567,9.88,1497
-0.86,1565,-0.24,1493,9.74,1565,9.772,1493
-0.81,1562,NA,1489,9.646,1562,9.745,1489
-0.76,1559,-0.39,1487,9.624,1559,NA,1487
-0.87,1555,-0.36,1482,9.592,1555,9.853,1482
-0.81,1551,-0.36,1476,9.65,1551,9.793,1476
-0.78,1548,-0.33,1471,NA,1548,9.902,1471
NA,1547,-0.4,1466,9.611,1547,NA,1466
-0.79,1546,NA,1463,NA,1546,9.671,1463
NA,1545,-0.39,1460,9.701,1545,9.85,1460
-0.88,1544,-0.33,1454,NA,1544,9.83,1454
NA,1542,-0.33,1448,9.68,1542,9.911,1448
-0.89,1541,-0.33,1441,NA,1541,9.88,1441
NA,1539,-0.41,1435,9.683,1539,NA,1435
-0.86,1537,NA,1431,9.602,1537,9.837,1431
-0.74,1535,-0.39,1427,9.667,1535,9.967,1427
-0.85,1532,-0.36,1420,9.595,1532,NA,1420
-0.84,1529,NA,1419,9.691,1529,9.833,1419
-0.8,1527,-0.4,1413,9.594,1527,9.926,1413
-0.83,1524,-0.35,1405,9.626,1524,9.88,1405
-0.87,1520,-0.41,1398,9.683,1520,9.913,1398
-0.86,1517,-0.36,1393,9.642,1517,9.92,1393
-0.82,1514,-0.33,1389,9.646,1514,9.858,1389
-0.78,1510,NA,NA,9.758,1510,9.786,1384
-0.78,1508,NA,NA,9.6665,1508,NA,NA
-0.82,1505,NA,NA,NA,1505,NA,NA
-0.88,1503,NA,NA,9.589,1503,NA,NA
-0.94,1500,NA,NA,9.658,1500,NA,NA
-0.87,1496,NA,NA,9.698,1496,NA,NA
-0.9,1493,NA,NA,9.65,1493,NA,NA
NA,1491,NA,NA,9.642,1491,NA,NA
-0.91,1490,NA,NA,9.785,1490,NA,NA
-0.87,1486,NA,NA,9.597,1486,NA,NA
-0.78,1483,NA,NA,9.569,1483,NA,NA
-0.85,1480,NA,NA,9.568,1480,NA,NA
-0.75,1477,NA,NA,9.669,1477,NA,NA
-0.81,1475,NA,NA,9.638,1475,NA,NA
-0.78,1472,NA,NA,9.577,1472,NA,NA
-0.79,1469,NA,NA,9.672,1469,NA,NA
-0.745,1466,NA,NA,9.606,1466,NA,NA
-0.78,1463,NA,NA,NA,1463,NA,NA
-0.78,1460,NA,NA,9.642,1460,NA,NA
-0.81,1457,NA,NA,9.625,1457,NA,NA
-0.8,1454,NA,NA,9.688,1454,NA,NA
-0.78,1451,NA,NA,9.699,1451,NA,NA
-0.745,1447,NA,NA,9.687,1447,NA,NA
-0.715,1445,NA,NA,9.684,1445,NA,NA
-0.67,1441,NA,NA,9.699,1441,NA,NA
-0.77,1438,NA,NA,9.67,1438,NA,NA
-0.77,1436,NA,NA,9.673,1436,NA,NA
-0.86,1433,NA,NA,9.625,1433,NA,NA
-0.73,1430,NA,NA,9.754,1430,NA,NA
-0.83,1427,NA,NA,9.638,1427,NA,NA
-0.78,1425,NA,NA,9.599,1425,NA,NA
-0.81,1421,NA,NA,9.701,1421,NA,NA
-0.73,1418,NA,NA,9.765,1418,NA,NA
-0.82,1416,NA,NA,9.698,1416,NA,NA
-0.82,1412,NA,NA,9.72,1412,NA,NA
-0.85,1409,NA,NA,9.741,1409,NA,NA
-0.76,1405,NA,NA,9.728,1405,NA,NA
-0.87,1402,NA,NA,9.682,1402,NA,NA
-0.76,1399,NA,NA,9.621,1399,NA,NA
-0.92,1395,NA,NA,9.673,1395,NA,NA
-0.79,1393,NA,NA,9.723,1393,NA,NA
-0.83,1390,NA,NA,9.556,1390,NA,NA
-0.82,1386,NA,NA,9.686,1386,NA,NA
-0.85,1383,NA,NA,9.683,1383,NA,NA
-0.81,1380,NA,NA,9.681,1380,NA,NA
-0.86,1377,NA,NA,9.615,1377,NA,NA
-0.84,1372,NA,NA,9.675,1372,NA,NA
-0.84,1369,NA,NA,9.672,1369,NA,NA
-0.86,1365,NA,NA,9.639,1365,NA,NA
-0.83,1361,NA,NA,9.661,1361,NA,NA
-0.84,1356,NA,NA,9.744,1356,NA,NA
-0.86,1353,NA,NA,NA,NA,NA,NA
-0.81,1348,NA,NA,NA,NA,NA,NA
-0.85,1344,NA,NA,NA,NA,NA,NA
