d18O (permil),year (AD)
29.76,2002
31.24,2001
29.64,2000
29.76,1999
29.2,1998
28.6,1997
30.02,1996
29.07,1995
30.16,1994
29.67,1993
28.56,1992
30.15,1991
29.77,1990
30.41,1989
29.08,1988
29.64,1987
30.45,1986
29.29,1985
29.08,1984
29.88,1983
30.21,1982
28.62,1981
28.93,1980
29.16,1979
29.42,1978
29.25,1977
29.68,1976
29.42,1975
30.2,1974
29.88,1973
28.69,1972
29.83,1971
28.8,1970
29.4,1969
29.78,1968
29.25,1967
28.22,1966
28.94,1965
29.28,1964
28.44,1963
29.44,1962
28.93,1961
28.86,1960
28.75,1959
28.19,1958
28.13,1957
30.31,1956
29.31,1955
28.38,1954
28.82,1953
29.8,1952
29.35,1951
29.75,1950
30.48,1949
29.44,1948
30.31,1947
28.5,1946
29.66,1945
29.73,1944
28.91,1943
29.3,1942
28.18,1941
28.29,1940
29.5,1939
28.92,1938
28.79,1937
26.77,1936
29.66,1935
29.88,1934
29.5,1933
28.73,1932
28.95,1931
28.83,1930
29.55,1929
29.53,1928
29.7,1927
28.41,1926
28.97,1925
29.87,1924
29,1923
28.57,1922
29.37,1921
28.84,1920
27.82,1919
28.14,1918
29.72,1917
29.63,1916
28.4,1915
29.9,1914
28.98,1913
28.71,1912
29.29,1911
27.4,1910
28.46,1909
29.05,1908
28.49,1907
29.15,1906
28.83,1905
29.25,1904
29.33,1903
28.48,1902
28.78,1901
29.85,1900
29.38,1899
30.45,1898
26.93,1897
28.16,1896
30.47,1895
29.53,1894
28.76,1893
29.71,1892
28.36,1891
29.92,1890
28.99,1889
29.9,1888
30.46,1887
27.76,1886
28.79,1885
30.56,1884
29.52,1883
29.14,1882
29.14,1881
29.79,1880
29.25,1879
27.16,1878
29.66,1877
26.8,1876
28.55,1875
27.44,1874
29.17,1873
29.76,1872
29.62,1871
28.05,1870
28.14,1869
29.07,1868
29.73,1867
29.89,1866
29.18,1865
29.19,1864
29.34,1863
29.2,1862
29.03,1861
28.56,1860
28.15,1859
29.1,1858
29.16,1857
29.82,1856
29.83,1855
29.75,1854
28.32,1853
29.28,1852
29.83,1851
29.06,1850
30.61,1849
29.29,1848
29.44,1847
28.65,1846
26.83,1845
28.7,1844
29.03,1843
29.36,1842
28.81,1841
29.67,1840
29.03,1839
27.34,1838
27.73,1837
28.13,1836
29.96,1835
29.83,1834
27.7,1833
27.45,1832
30.21,1831
30.55,1830
29.46,1829
28.66,1828
25.31,1827
29.15,1826
NA,1825
28.75,1824
28.67,1823
28.86,1822
30.29,1821
29.52,1820
28.43,1819
NA,1818
28.68,1817
27.73,1816
26.23,1815
28.21,1814
29.12,1813
27.27,1812
27.73,1811
28.51,1810
29.77,1809
29.66,1808
29.33,1807
28.79,1806
27.29,1805
29.29,1804
30.07,1803
28.62,1802
30.62,1801
28.8,1800
30.23,1799
30.21,1798
29.36,1797
29.3,1796
28.19,1795
28.91,1794
29.45,1793
26.9,1792
28.79,1791
29.29,1790
30.33,1789
29.55,1788
28.21,1787
29.41,1786
29.85,1785
31.05,1784
28.02,1783
31.22,1782
28.35,1781
28.08,1780
28.89,1779
30.29,1778
29.86,1777
29.22,1776
28.2,1775
30.36,1774
30.88,1773
28.65,1772
27.41,1771
30.23,1770
29.5,1769
29.88,1768
29.21,1767
27.33,1766
28.82,1765
28.6,1764
29.31,1763
28.05,1762
29.1,1761
29.17,1760
30.48,1759
28.61,1758
27.71,1757
29.22,1756
28.47,1755
26.73,1754
27.75,1753
27.68,1752
27.04,1751
29.24,1750
27.57,1749
28.29,1748
28.21,1747
28.7,1746
29.65,1745
27.87,1744
29.79,1743
27.72,1742
29.57,1741
29.45,1740
29.12,1739
29.96,1738
27.93,1737
29.13,1736
28.69,1735
29.95,1734
29.54,1733
29.95,1732
28.74,1731
29.46,1730
26.34,1729
28.28,1728
29.01,1727
29.58,1726
29.59,1725
27.49,1724
28.41,1723
30.11,1722
29.3,1721
29.08,1720
28.11,1719
29.61,1718
28.64,1717
30.07,1716
27.57,1715
29.62,1714
29.21,1713
29.14,1712
30.57,1711
27.27,1710
28.97,1709
27.38,1708
30.81,1707
28.89,1706
28.26,1705
30.17,1704
27.71,1703
28.56,1702
NA,1701
NA,1700
28.96,1699
28.94,1698
29.99,1697
32.02,1696
28.76,1695
29.28,1694
28.21,1693
29.18,1692
29.4,1691
29.48,1690
29.18,1689
28.12,1688
29.59,1687
29.08,1686
27.22,1685
28.74,1684
29.34,1683
29.81,1682
28.53,1681
27.98,1680
27.11,1679
28.49,1678
28.8,1677
27.94,1676
29.59,1675
28.54,1674
28.8,1673
27.62,1672
27.39,1671
29.71,1670
28.56,1669
27.58,1668
29.49,1667
29.69,1666
28.87,1665
28.63,1664
29.23,1663
28.92,1662
28.63,1661
28.98,1660
27.78,1659
28.83,1658
28.48,1657
29.39,1656
29.54,1655
29.52,1654
28.4,1653
27.34,1652
29.6,1651
29.76,1650
27.89,1649
29.93,1648
28.4,1647
28.75,1646
28.84,1645
27.92,1644
29.27,1643
29.9,1642
29.21,1641
30.86,1640
31.72,1639
29.62,1638
29.88,1637
