d18O (permil),year (AD)
30.69,2003
31.93,2002
33.39,2001
32.81,2000
30.44,1999
31.76,1998
32.14,1997
32.48,1996
31.55,1995
32.36,1994
31.96,1993
31.27,1992
32.38,1991
30.21,1990
30.94,1989
31.3,1988
NA,1987
31.1,1986
31.78,1985
30.63,1984
31.55,1983
31.36,1982
31.29,1981
30.79,1980
32.06,1979
30.98,1978
30.02,1977
29.5,1976
30.14,1975
30.64,1974
30.87,1973
30.25,1972
30.29,1971
30.94,1970
30.95,1969
31.76,1968
30.52,1967
30.05,1966
29.96,1965
31.15,1964
29.28,1963
30.95,1962
28.14,1961
29.99,1960
29.81,1959
30.99,1958
28.19,1957
30.97,1956
31.77,1955
29.93,1954
30.42,1953
30.98,1952
30.82,1951
31.02,1950
31.38,1949
31.23,1948
31.25,1947
28.74,1946
30.91,1945
31.42,1944
32.08,1943
32.63,1942
30.49,1941
30.32,1940
30.4,1939
30.29,1938
31.04,1937
28.39,1936
29.96,1935
30.16,1934
30.55,1933
30.3,1932
30.84,1931
29.61,1930
30.56,1929
31.97,1928
31.38,1927
31.18,1926
31.57,1925
31.03,1924
29.36,1923
31.91,1922
31.88,1921
30.4,1920
31.28,1919
31.92,1918
30.85,1917
30.79,1916
29.48,1915
30.21,1914
31.6,1913
30.96,1912
29.18,1911
30.48,1910
27.52,1909
31.34,1908
32.09,1907
30.14,1906
29.76,1905
30.46,1904
29.97,1903
30.57,1902
29.79,1901
30.23,1900
30.64,1899
31.23,1898
30.64,1897
29.81,1896
30.64,1895
31.73,1894
31.33,1893
31.49,1892
30.39,1891
30.22,1890
30.83,1889
30.43,1888
31.39,1887
29.83,1886
29.73,1885
29.75,1884
27.7,1883
31.36,1882
29.86,1881
30.25,1880
30.53,1879
28.98,1878
29.4,1877
27.62,1876
29.91,1875
31.09,1874
30.87,1873
30.63,1872
31.42,1871
29.77,1870
30.71,1869
30.49,1868
30.62,1867
30.44,1866
30.2,1865
31.62,1864
29.16,1863
28.73,1862
30.28,1861
31.04,1860
29.72,1859
31.27,1858
29.59,1857
31.21,1856
31.24,1855
31.65,1854
29.49,1853
31.62,1852
29.36,1851
30.8,1850
32.03,1849
30.37,1848
30.73,1847
29.3,1846
30.27,1845
30.94,1844
30.93,1843
31.65,1842
31.56,1841
30.38,1840
30.21,1839
30.68,1838
29.28,1837
29.43,1836
30.06,1835
30.58,1834
30.19,1833
30.88,1832
31.35,1831
31.16,1830
31.15,1829
30.96,1828
28.26,1827
28.9,1826
28.8,1825
30.55,1824
31.35,1823
30.9,1822
31.3,1821
31.54,1820
31.26,1819
30.44,1818
30.03,1817
27.03,1816
29.14,1815
30.01,1814
30.84,1813
30.52,1812
30.09,1811
30.12,1810
31.39,1809
30.57,1808
31.8,1807
30.39,1806
NA,1805
30.5,1804
32.19,1803
31.06,1802
NA,1801
29.25,1800
30.52,1799
29.41,1798
28.95,1797
28.5,1796
29.61,1795
30.64,1794
30.81,1793
30.34,1792
30.09,1791
30.79,1790
31.03,1789
30.11,1788
29.68,1787
31.29,1786
31.98,1785
32.49,1784
29.51,1783
29.66,1782
29.9,1781
30.02,1780
31.8,1779
29.52,1778
31.17,1777
30.9,1776
29.92,1775
28.01,1774
29.85,1773
29.84,1772
29.92,1771
29.96,1770
29.53,1769
29.21,1768
30.01,1767
30.54,1766
27.99,1765
28.57,1764
31.17,1763
30.72,1762
29.4,1761
32.9,1760
31.99,1759
31.97,1758
31.08,1757
31.32,1756
32.31,1755
28.47,1754
30.93,1753
31.06,1752
31.54,1751
30.87,1750
29.35,1749
30.88,1748
30.49,1747
31.6,1746
30.94,1745
31.37,1744
31.95,1743
31.23,1742
31.59,1741
31.66,1740
29.8,1739
31.8,1738
29.65,1737
26.6,1736
29.14,1735
31.17,1734
31.68,1733
27.89,1732
30.68,1731
29.69,1730
29.02,1729
29.7,1728
29.56,1727
30.22,1726
32.42,1725
27.53,1724
28.41,1723
31.84,1722
28.88,1721
30.9,1720
28.44,1719
29.74,1718
31.51,1717
31.77,1716
29.83,1715
30.23,1714
29.88,1713
27.97,1712
29.71,1711
30.86,1710
31.22,1709
30.21,1708
31.14,1707
30.65,1706
31.84,1705
31.24,1704
31.29,1703
31.29,1702
31.74,1701
31.29,1700
30.26,1699
29.91,1698
30.78,1697
32.02,1696
31.16,1695
30.82,1694
30.13,1693
30.6,1692
32.71,1691
31.17,1690
31.35,1689
31.23,1688
30.97,1687
32.45,1686
31.55,1685
30.64,1684
31.96,1683
32.08,1682
30.48,1681
31.71,1680
31.32,1679
32.05,1678
31.46,1677
30.87,1676
31.53,1675
