year (AD),d18O (permil)
1743,19.11
1744,18.2
1745,19.26
1746,18.76
1747,21.4
1748,20.4
1749,20.86
1750,19.06
1751,18.85
1752,20.06
1753,20.89
1754,18.71
1755,19.36
1756,19.55
1757,18.25
1758,19.86
1759,18.33
1760,17.25
1761,18.68
1762,18.68
1763,18.48
1764,19.66
1765,18.33
1766,18.86
1767,17.83
1768,19.88
1769,21.61
1770,19.91
1771,18.5
1772,20.95
1773,19.58
1774,19.57
1775,19.42
1776,19.64
1777,19.09
1778,19.41
1779,21.65
1780,18.99
1781,19.27
1782,19.55
1783,22.61
1784,21.72
1785,19.13
1786,21.25
1787,19.51
1788,20.54
1789,18.96
1790,19.6
1791,18.67
1792,19.87
1793,19.58
1794,20.07
1795,19.27
1796,18.74
1797,21.07
1798,19.03
1799,19.53
1800,17.54
1801,16.51
1802,18.68
1803,19.82
1804,19.65
1805,19.16
1806,17.66
1807,20.08
1808,20.37
1809,20.16
1810,19.12
1811,18.53
1812,19.29
1813,19.99
1814,19.16
1815,17.76
1816,19.7
1817,19.45
1818,19.27
1819,20.01
1820,18.01
1821,18.92
1822,17.81
1823,16.41
1824,19.43
1825,20.63
1826,18.24
1827,18.53
1828,18.4
1829,18.23
1830,17.57
1831,18.8
1832,17.88
1833,18.86
1834,17.41
1835,18.17
1836,19.11
1837,18.88
1838,19.02
1839,17.98
1840,18.25
1841,19.91
1842,18.61
1843,19.7
1844,19.52
1845,20.65
1846,17.75
1847,18.44
1848,19.24
1849,19.98
1850,19.01
1851,19.23
1852,18.31
1853,18.22
1854,18.33
1855,19.51
1856,16.23
1857,19.59
1858,18.86
1859,18.17
1860,18.69
1861,16.8
1862,17.75
1863,17.3
1864,19.36
1865,19.24
1866,18.49
1867,18.06
1868,19.77
1869,20.08
1870,17.9
1871,17.04
1872,20.19
1873,21.58
1874,19.34
1875,19.01
1876,20.37
1877,20.77
1878,18.48
1879,16.2
1880,18.98
1881,19.08
1882,18.63
1883,18.67
1884,21.9
1885,19.08
1886,18.58
1887,18.78
1888,19.31
1889,19.07
1890,18.5
1891,19.77
1892,19.36
1893,17.17
1894,18.69
1895,19.7
1896,21.67
1897,18.69
1898,18.42
1899,18.36
1900,18.62
1901,19.75
1902,19.64
1903,19.93
1904,19.58
1905,19.3
1906,19.67
1907,21.08
1908,21.42
1909,18.82
1910,17.58
1911,18.58
1912,19.91
1913,20.87
1914,19.98
1915,20.14
1916,18.03
1917,18.48
1918,19.16
1919,20.28
1920,21.11
1921,18.99
1922,18.09
1923,20.25
1924,18.4
1925,18.6
1926,19.65
1927,19.42
1928,19.47
1929,19.52
1930,19.98
1931,19.25
1932,20.54
1933,18.69
1934,18.44
1935,19.03
1936,19.46
1937,18.76
1938,16.99
1939,20.11
1940,20.09
1941,21.05
1942,18.73
1943,19.51
1944,19.51
1945,19.35
1946,20.43
1947,19.27
1948,18.79
1949,18.73
1950,18.91
1951,19.45
1952,19.79
1953,18.62
1954,18.93
1955,18.67
1956,20.03
1957,19.26
1958,20.07
1959,20.17
1960,19.39
1961,19.28
1962,18.16
1963,18.16
1964,18.47
1965,20.14
1966,20.12
1967,20.22
1968,19.57
1969,19.51
1970,20.05
1971,19.73
1972,22.69
1973,20.71
1974,19.01
1975,18.17
1976,20.47
1977,19.04
1978,18.11
1979,19.66
1980,18.58
1981,18.74
1982,22.29
1983,20.7
1984,18.18
1985,18.56
1986,19.85
1987,20.04
1988,18.13
1989,17.74
1990,19.58
1991,18.97
1992,19.38
1993,19.77
1994,20.55
1995,19.52
1996,17.27
1997,20.16
1998,17.69
1999,19.01
2000,18.66
2001,19.22
2002,20.15
2003,18.99
2004,20.09
2005,20.06
2006,20.7
2007,19.12
2008,19.6
2009,20.01
2010,18.34
2011,18.16
