year (AD),d18O (permil)
2000.21,-5.31
2000.12,-5.18
2000.04,-5.28
1999.96,-5.2
1999.87,-5.29
1999.79,-5.2
1999.71,-5.33
1999.62,-5.16
1999.54,-5.21
1999.46,-5.2
1999.37,-5.16
1999.29,-5.2
1999.21,-5.2
1999.12,-5.09
1999.04,-5.09
1998.96,-5.17
1998.87,-5.25
1998.79,-5.21
1998.71,-5.22
1998.62,-5.24
1998.54,-5.13
1998.46,-5.09
1998.37,-5.1
1998.29,-5.11
1998.21,-5.08
1998.12,-5.15
1998.04,-5.06
1997.96,-5.18
1997.87,-5.18
1997.79,-5.22
1997.71,-5.25
1997.62,-5.38
1997.54,-5.31
1997.46,-5.23
1997.37,-5.14
1997.29,-5.11
1997.21,-5.09
1997.12,-5.14
1997.04,-5.2
1996.96,-5.2
1996.87,-5.31
1996.79,-5.32
1996.71,-5.3
1996.62,-5.33
1996.54,-5.25
1996.46,-5.24
1996.37,-5.22
1996.29,-5.26
1996.21,-5.19
1996.12,-5.21
1996.04,-5.21
1995.96,-5.28
1995.87,-5.35
1995.79,-5.37
1995.71,-5.39
1995.62,-5.41
1995.54,-5.36
1995.46,-5.36
1995.37,-5.21
1995.29,-5.12
1995.21,-5.02
1995.12,-4.94
1995.04,-5.04
1994.96,-5.13
1994.87,-5.21
1994.79,-5.29
1994.71,-5.27
1994.62,-5.32
1994.54,-5.24
1994.46,-5.23
1994.37,-5.24
1994.29,-5.21
1994.21,-5.18
1994.12,-5.14
1994.04,-5.09
1993.96,-5.19
1993.87,-5.22
1993.79,-5.34
1993.71,-5.35
1993.62,-5.25
1993.54,-5.11
1993.46,-5.02
1993.37,-4.98
1993.29,-4.98
1993.21,-4.98
1993.12,-4.98
1993.04,-5.01
1992.96,-5.1
1992.87,-5.07
1992.79,-5.21
1992.71,-5.25
1992.62,-5.27
1992.54,-5.09
1992.46,-5.08
1992.37,-5.05
1992.29,-5.01
1992.21,-5
1992.12,-5.1
1992.04,-5.12
1991.96,-5.15
1991.87,-5.14
1991.79,-5.31
1991.71,-5.32
1991.62,-5.43
1991.54,-5.38
1991.46,-5.24
1991.37,-5.05
1991.29,-4.98
1991.21,-4.96
1991.12,-5.02
1991.04,-5.08
1990.96,-5.09
1990.87,-5.1
1990.79,-5.41
1990.71,-5.45
1990.62,-5.53
1990.54,-5.44
1990.46,-5.39
1990.37,-5.19
1990.29,-5.13
1990.21,-5.07
1990.12,-5.2
1990.04,-5.09
1989.96,-5.15
1989.87,-5.24
1989.79,-5.18
1989.71,-5.17
1989.62,-5.16
1989.54,-5.3
1989.46,-5.25
1989.37,-5.21
1989.29,-5.23
1989.21,-5.2
1989.12,-5.17
1989.04,-5.22
1988.96,-5.21
