year (AD),d18O (permil)
2002.21,-2.86
2002.12,-2.86
2002.04,-2.92
2001.96,-3
2001.87,-3.02
2001.79,-3.1
2001.71,-3.13
2001.62,-3.12
2001.54,-3.18
2001.46,-3.23
2001.37,-3.19
2001.29,-3.05
2001.21,-2.87
2001.12,-2.94
2001.04,-3.08
2000.96,-2.91
2000.87,-2.84
2000.79,-2.93
2000.71,-3.08
2000.62,-3.09
2000.54,-2.96
2000.46,-3
2000.37,-2.91
2000.29,-2.77
2000.21,-2.67
2000.12,-2.72
2000.04,-3.09
1999.96,-3.01
1999.87,-3.03
1999.79,-3.02
1999.71,-3.17
1999.62,-3.3
1999.54,-3.14
1999.46,-2.95
1999.37,-2.85
1999.29,-2.8
1999.21,-2.77
1999.12,-2.85
1999.04,-2.92
1998.96,-2.98
1998.87,-3.03
1998.79,-3.04
1998.71,-3.02
1998.62,-3.02
1998.54,-3.03
1998.46,-3.04
1998.37,-2.99
1998.29,-2.95
1998.21,-2.73
1998.12,-2.82
1998.04,-2.92
1997.96,-3.07
1997.87,-3.17
1997.79,-3.17
1997.71,-3.18
1997.62,-3.22
1997.54,-3.36
1997.46,-3.55
1997.37,-3.3
1997.29,-2.96
1997.21,-2.95
1997.12,-3.03
1997.04,-3.12
1996.96,-3.09
1996.87,-3.03
1996.79,-2.98
1996.71,-2.95
1996.62,-2.98
1996.54,-3.12
1996.46,-3.23
1996.37,-3.26
1996.29,-3.3
1996.21,-3.06
1996.12,-3.05
1996.04,-3.07
1995.96,-3.22
1995.87,-3.3
1995.79,-3.28
1995.71,-3.06
1995.62,-2.63
1995.54,-2.72
1995.46,-3.06
1995.37,-3.08
1995.29,-3.05
1995.21,-2.91
1995.12,-3.01
1995.04,-3.1
1994.96,-3.11
1994.87,-3.08
1994.79,-2.95
1994.71,-2.85
1994.62,-2.78
1994.54,-2.75
1994.46,-2.73
1994.37,-2.6
1994.29,-2.46
1994.21,-2.35
1994.12,-2.63
1994.04,-2.75
1993.96,-2.77
1993.87,-2.78
1993.79,-2.7
1993.71,-2.61
1993.62,-2.55
1993.54,-2.65
1993.46,-2.6
1993.37,-2.49
1993.29,-2.36
1993.21,-2.46
1993.12,-2.72
1993.04,-2.83
1992.96,-2.84
1992.87,-2.8
1992.79,-2.91
1992.71,-2.88
1992.62,-2.73
1992.54,-2.91
1992.46,-3.03
1992.37,-3.02
1992.29,-2.86
1992.21,-2.63
1992.12,-2.84
1992.04,-2.79
1991.96,-2.82
1991.87,-2.86
1991.79,-2.93
1991.71,-2.92
1991.62,-2.83
1991.54,-2.77
1991.46,-2.69
1991.37,-2.69
1991.29,-2.68
1991.21,-2.67
1991.12,-2.84
1991.04,-2.98
1990.96,-2.97
1990.87,-2.98
1990.79,-3.02
1990.71,-3.04
1990.62,-3.04
1990.54,-2.98
1990.46,-2.89
1990.37,-2.85
1990.29,-2.81
1990.21,-2.74
1990.12,-3.15
1990.04,-3.08
1989.96,-3.11
1989.87,-3.04
1989.79,-3.08
1989.71,-3.22
1989.62,-3.33
1989.54,-3.34
1989.46,-3.16
1989.37,-3.02
1989.29,-2.92
1989.21,-2.74
1989.12,-2.75
1989.04,-2.79
1988.96,-2.87
1988.87,-2.96
1988.79,-3.07
1988.71,-3.2
1988.62,-3.3
1988.54,-3.26
1988.46,-3.15
1988.37,-3.05
1988.29,-3.01
1988.21,-2.78
1988.12,-2.94
1988.04,-2.9
1987.96,-2.85
1987.87,-2.69
1987.79,-2.84
1987.71,-3
1987.62,-3.27
1987.54,-3.31
1987.46,-3.21
1987.37,-3.14
1987.29,-2.96
1987.21,-2.67
1987.12,-2.89
1987.04,-2.81
1986.96,-3.14
1986.87,-2.95
1986.79,-2.99
1986.71,-3.33
1986.62,-2.67
1986.54,-3.31
1986.46,-2.81
1986.37,-3
1986.29,-2.99
1986.21,-2.71
1986.12,-2.67
1986.04,-2.71
1985.96,-2.84
1985.87,-2.9
1985.79,-2.94
1985.71,-2.95
1985.62,-3
1985.54,-3.06
1985.46,-3.01
1985.37,-2.86
1985.29,-2.64
1985.21,-2.64
1985.12,-2.81
1985.04,-2.94
1984.96,-2.88
1984.87,-2.87
1984.79,-3.01
1984.71,-2.89
1984.62,-2.79
1984.54,-2.76
1984.46,-2.65
1984.37,-2.74
1984.29,-3.23
1984.21,-2.52
1984.12,-2.64
1984.04,-2.88
1983.96,-2.95
1983.87,-2.88
1983.79,-2.88
1983.71,-2.89
1983.62,-3.06
1983.54,-2.99
1983.46,-2.83
1983.37,-2.83
1983.29,-3.19
1983.21,-2.78
1983.12,-3.13
1983.04,-3.21
1982.96,-3.08
1982.87,-2.92
1982.79,-2.95
1982.71,-3.03
1982.62,-2.91
1982.54,-3.04
1982.46,-3.04
1982.37,-2.8
1982.29,-2.89
1982.21,-2.72
1982.12,-2.75
1982.04,-2.77
1981.96,-2.85
1981.87,-2.85
1981.79,-2.85
1981.71,-3.27
1981.62,-3.1
1981.54,-3.06
1981.46,-3.07
1981.37,-3
1981.29,-2.9
1981.21,-2.87
1981.12,-2.89
1981.04,-2.86
1980.96,-2.86
1980.87,-2.84
1980.79,-2.75
1980.71,-3.29
1980.62,-3.15
1980.54,-3
1980.46,-2.99
1980.37,-3
1980.29,-3.03
1980.21,-2.84
1980.12,-2.78
1980.04,-2.81
1979.96,-2.63
1979.87,-2.88
1979.79,-2.96
1979.71,-3.04
1979.62,-3
1979.54,-2.96
1979.46,-2.92
1979.37,-2.85
1979.29,-2.76
1979.2,-2.76
1979.12,-2.81
1979.04,-2.72
1978.95,-2.74
1978.87,-2.85
1978.79,-3.06
1978.7,-3.13
1978.62,-3.09
1978.54,-3.06
1978.45,-3.05
1978.37,-3.08
1978.29,-3.11
1978.2,-3.13
1978.12,-3.09
1978.04,-3.07
1977.95,-3.34
1977.87,-3.42
1977.79,-3.36
1977.7,-3.6
1977.62,-3.27
1977.54,-3.05
1977.45,-2.82
1977.37,-2.83
1977.29,-3.03
1977.2,-2.93
1977.12,-2.97
1977.04,-3.13
1976.95,-3.24
1976.87,-3.09
1976.79,-2.83
1976.7,-3.43
1976.62,-3.03
1976.54,-3.03
1976.45,-3.02
1976.37,-3.01
1976.29,-3.17
1976.2,-3.06
1976.12,-3.23
1976.04,-3.1
1975.95,-2.87
1975.87,-2.78
1975.79,-2.99
1975.7,-3.26
1975.62,-3.13
1975.54,-3.07
1975.45,-3.07
1975.37,-3.01
1975.29,-3.02
1975.2,-3.26
1975.12,-3.23
1975.04,-3.14
1974.95,-3.36
1974.87,-3.48
1974.79,-3.5
1974.7,-3.53
1974.62,-3.44
1974.54,-3.37
1974.45,-3.38
1974.37,-3.29
1974.29,-3
1974.2,-2.89
1974.12,-2.96
1974.04,-3.06
1973.95,-3.18
1973.87,-3.08
1973.79,-2.94
1973.7,-3.59
1973.62,-3.27
1973.54,-3.24
1973.45,-3.37
1973.37,-3.44
1973.29,-3.25
1973.2,-3.2
1973.12,-3.32
1973.04,-3.45
1972.95,-3.44
1972.87,-3.43
1972.79,-3.53
1972.7,-3.69
1972.62,-3.26
1972.54,-3.12
1972.45,-3.1
1972.37,-2.98
1972.29,-2.98
1972.2,-3.02
1972.12,-3.07
1972.04,-3.22
1971.95,-3.36
1971.87,-3.48
1971.79,-3.59
1971.7,-3.59
1971.62,-3.26
1971.54,-3.38
1971.45,-3.32
1971.37,-3.03
1971.29,-2.86
1971.2,-3.47
1971.12,-3.11
1971.04,-3.04
1970.95,-3.29
1970.87,-3.58
1970.79,-3.54
1970.7,-3.66
1970.62,-3.46
1970.54,-3.16
1970.45,-3.39
1970.37,-3.12
1970.29,-2.88
1970.2,-2.8
1970.12,-2.99
1970.04,-3.08
1969.95,-3.34
1969.87,-3.53
1969.79,-3.45
1969.7,-3.83
1969.62,-3.34
1969.54,-3.46
1969.45,-3.29
1969.37,-3.57
1969.29,-3.37
1969.2,-3.04
1969.12,-2.99
1969.04,-2.93
1968.95,-3
1968.87,-2.95
1968.79,-2.76
1968.7,-3.51
1968.62,-3.38
1968.54,-3.26
1968.45,-3.14
1968.37,-3.03
1968.29,-2.92
1968.2,-2.83
1968.12,-2.84
1968.04,-2.9
1967.95,-3.1
1967.87,-3.08
1967.79,-2.92
1967.7,-3.22
1967.62,-3
1967.54,-2.81
1967.45,-2.83
1967.37,-2.9
1967.29,-3.06
1967.2,-3.2
1967.12,-3.3
1967.04,-3.36
1966.95,-3.39
1966.87,-3.54
1966.79,-3.71
1966.7,-2.89
1966.62,-2.99
1966.54,-3.06
1966.45,-2.9
1966.37,-2.82
1966.29,-2.86
1966.2,-2.97
1966.12,-3.15
1966.04,-3.28
1965.95,-3.38
1965.87,-3.43
