year (AD),depth (cm),d18O (permil)
2004,NA,-4.57
2003,NA,-4.52
2002,NA,-4.72
2001,NA,-4.69
2000,NA,-4.36
1999,NA,-4.44
1998,NA,-4.56
1997,NA,-4.62
1996,NA,-4.43
1995,NA,-4.81
1994,NA,-4.49
1993,NA,-4.66
1992,NA,-4.5
1991,NA,-4.5
1990,NA,-4.45
1989,NA,-4.42
1988,NA,-4.54
1987,NA,-4.59
1986,NA,-4.52
1985,NA,-4.36
1984,NA,-4.44
1983,NA,-4.39
1982,NA,-4.46
1981,NA,-4.2
1980,NA,-4.46
1979,NA,-4.5
1978,NA,-4.47
1977,NA,-4.37
1976,NA,-4.48
1975,NA,-4.17
1974,NA,-4.24
1973,NA,-4.26
1972,NA,-4.18
1971,NA,-4.14
1970,NA,-4.07
1969,NA,-4.13
1968,NA,-4.27
1967,NA,-4.37
1966,NA,-4.31
1965,NA,NA
1964,NA,-4.21
1963,NA,-4.23
1962,NA,-4.25
1961,NA,-4.24
1960,NA,-4.19
1959,NA,-4.29
1958,NA,-4.25
1957,NA,-4.32
1956,NA,-4.15
1955,NA,-4.36
1954,NA,-4.41
1953,NA,-4.41
1952,NA,-4.39
1951,NA,-4.4
1950,NA,-4.37
1949,NA,-4.42
1948,NA,-4.43
1947,NA,-4.3
1946,NA,-4.31
1945,NA,-4.26
1944,NA,-4.17
1943,NA,-4.36
1942,NA,-4.38
1941,NA,-4.31
1940,NA,-4.18
1939,NA,-4.33
1938,NA,-4.4
1937,NA,-4.23
1936,NA,-4.27
1935,NA,-4.37
1934,NA,-4.25
1933,NA,-4.41
1932,NA,-4.58
1931,NA,-4.2
1930,NA,-4.29
1929,NA,-4.15
1928,NA,-4.44
1927,NA,-4.35
1926,NA,-4.45
1925,NA,-4.3
1924,NA,-4.31
1923,NA,-4.09
1922,NA,-4.03
1921,NA,-4.15
1920,NA,-4.17
1919,NA,-4.16
1918,NA,-4.02
1917,NA,-4.15
1916,NA,-4.28
1915,NA,-4.33
1914,NA,-4.31
1913,NA,-4.19
1912,NA,-4.33
1911,NA,-4.18
1910,NA,-4.33
1909,NA,-4.12
1908,NA,-4.1
1907,NA,-4.26
1906,NA,-4.18
1905,NA,-4.06
1904,NA,-4.09
1903,NA,-4.22
1902,NA,-4
1901,NA,-4.3
1900,NA,-4.21
1899,NA,-4.25
1898,NA,-4.35
1897,NA,-4.18
1896,NA,-4.1
1895,NA,-4.05
1894,NA,-4.24
1893,NA,-4.2
1892,NA,-4.16
1891,NA,-4.09
1890,NA,-4.4
1889,NA,-4.3
1888,NA,-4.19
1887,NA,-4.24
1886,NA,-4.24
1885,NA,-4.17
1884,NA,-4.53
1883,NA,-4.4
1882,NA,-4.33
1881,NA,-4.18
1880,NA,-4.31
1879,NA,-4.34
1878,NA,-4.52
1877,NA,-4.36
1876,NA,-4.37
1875,NA,-4.37
1874,NA,-4.32
1873,NA,-4.28
1872,NA,-4.1
1871,NA,-4.28
1870,NA,-4.39
1869,NA,-4.36
1868,NA,-4.06
1867,NA,-4.1
1866,NA,-4.25
1865,NA,-4.15
1864,NA,-4.23
1863,NA,-4.21
1862,NA,-4.12
1861,NA,-4.04
1860,NA,-4.13
1859,NA,-4.12
1858,NA,-4.04
1857,NA,-4.29
1856,NA,-4.16
1855,NA,-4.31
1854,NA,-4.15
1853,NA,-3.9
1852,NA,-4.27
1851,NA,-4.19
1850,NA,-3.94
1849,NA,-4.25
1848,NA,-4.11
1847,NA,-4.21
1846,NA,-4.25
1845,NA,-3.98
1844,NA,-4.2
1843,NA,-4.09
1842,NA,-4.37
1841,NA,-4.23
1840,NA,-4.3
1839,NA,-4.11
1838,NA,-4.09
1837,NA,-4.17
1836,NA,-4.08
1835,NA,-4.16
