year (AD),d18O (permil),Sr_Ca (mmol/mol),d13C (permil)
1994.917,-4.56,9.22,-3.45
1994.75,-5.02,8.95,-2.81
1994.583,-5.1,8.9,-2.53
1994.417,-4.5,9.01,-2.79
1994.25,-3.92,9.2,-2.89
1994.083,-4.05,9.15,-3.39
1993.917,-4.72,8.97,-3.42
1993.75,-4.94,8.82,-2.87
1993.583,-4.99,8.84,-2.7
1993.417,-4.57,8.97,-2.85
1993.25,-4.06,9.11,-2.88
1993.083,-3.87,9.05,-3.12
1992.917,-4.23,9.1,-3.7
1992.75,-4.76,9.01,-3.39
1992.583,-4.91,8.95,-2.91
1992.417,-4.52,9.09,-2.67
1992.25,-3.91,9.27,-2.74
1992.083,-3.8,9.26,-3.23
1991.917,-4.24,9.15,-3.58
1991.75,-4.71,9.02,-3.26
1991.583,-4.93,9.01,-2.82
1991.417,-4.68,9.03,-2.69
1991.25,-4.04,9.27,-2.57
1991.083,-4.27,9.22,-2.73
1990.917,-4.89,8.97,-2.79
1990.75,-5.12,8.9,-2.31
1990.583,-4.74,9.01,-2.17
1990.417,-4.39,9.06,-2.26
1990.25,-3.86,9.17,-2.18
1990.083,-3.8,9.27,-2.82
1989.917,-4.06,9.2,-3.34
1989.75,-4.69,9.13,-3.24
1989.583,-4.89,9.1,-2.57
1989.417,-4.33,9.2,-2.77
1989.25,-3.93,9.31,-2.48
1989.083,-3.86,9.37,-2.87
1988.917,-4.2,9.34,-3.31
1988.75,-4.77,9.08,-2.99
1988.583,-4.95,9.01,-2.49
1988.417,-4.56,9.11,-2.25
1988.25,-3.96,9.21,-1.8
1988.083,-3.81,9.31,-2.43
1987.917,-4.25,9.17,-2.8
1987.75,-4.58,9.1,-2.53
1987.583,-4.63,9.01,-2.13
1987.417,-4.36,9.06,-2.05
1987.25,-3.81,9.27,-1.72
1987.083,-3.86,9.3,-2.44
1986.917,-4.38,9.15,-2.63
1986.75,-4.52,9.03,-2.11
1986.583,-4.72,9.02,-2.15
1986.417,-4.24,9.09,-1.86
1986.25,-3.59,9.34,-1.96
1986.083,-3.8,9.39,-2.76
1985.917,-4.5,9.08,-2.75
1985.75,-4.77,9.04,-2.54
1985.583,-4.75,9.03,-2.41
1985.417,-4.34,9.16,-2.21
1985.25,-3.81,9.43,-1.86
1985.083,-3.67,9.42,-2.24
1984.917,-4.01,9.36,-2.38
1984.75,-4.55,9.14,-2.23
1984.583,-4.78,8.91,-1.6
1984.417,-4.54,9.01,-0.99
1984.25,-3.8,9.38,-1.31
1984.083,-3.8,9.42,-2.44
1983.917,-4.82,9.07,-2.63
1983.75,-5.07,8.93,-2.09
1983.583,-4.8,8.98,-2.22
1983.417,-4.35,9.09,-2.27
1983.25,-3.75,9.41,-2.36
1983.083,-3.92,9.39,-3.13
1982.917,-4.37,9.3,-3.22
1982.75,-4.63,9.16,-2.5
1982.583,-4.71,9.15,-2
1982.417,-4.52,9.12,-1.63
1982.25,-4,9.26,-1.32
1982.083,-3.6,9.46,-2.25
1981.917,-4.09,9.31,-2.92
1981.75,-4.35,9.21,-2.49
1981.583,-4.74,9,-2.22
1981.417,-4.73,8.95,-1.84
1981.25,-4.22,9.14,-1.74
1981.083,-3.72,9.38,-2.18
1980.917,-4.27,9.05,-2.55
1980.75,-4.83,8.94,-2.43
1980.583,-4.97,8.99,-2.21
1980.417,-4.63,9.15,-1.67
1980.25,-4.1,9.26,-1.59
1980.083,-3.91,9.27,-2.9
1979.917,-4.49,8.99,-3.09
1979.75,-4.89,8.92,-2.57
1979.583,-4.79,8.93,-2.15
1979.417,-4.36,9.11,-1.77
1979.25,-3.83,9.25,-2.05
1979.083,-3.88,9.22,-2.74
1978.917,-4.21,9.14,-2.99
1978.75,-4.92,8.93,-2.26
1978.583,-4.93,8.87,-1.96
1978.417,-4.64,8.92,-1.75
1978.25,-3.78,9.31,-2.11
1978.083,-3.79,9.21,-2.79
1977.917,-4.58,9.07,-3.16
1977.75,-4.95,8.97,-2.46
1977.583,-4.88,8.98,-2.32
1977.417,-4.45,9.1,-2.29
1977.25,-3.93,9.29,-2.26
1977.083,-3.97,9.32,-3.1
1976.917,-4.62,9.08,-3
1976.75,-5.13,8.92,-2.55
1976.583,-5.14,8.95,-2.04
1976.417,-4.58,8.98,-1.8
1976.25,-4,9.23,-1.76
1976.083,-3.82,9.34,-2.21
1975.917,-4.26,9.17,-2.61
1975.75,-4.77,8.99,-2.42
1975.583,-4.9,8.96,-1.86
1975.417,-4.69,9.02,-1.44
1975.25,-3.95,9.28,-1.58
1975.083,-3.9,9.38,-2.3
1974.917,-4.77,8.99,-2.61
1974.75,-4.98,8.93,-2.11
1974.583,-5.04,8.87,-1.85
1974.417,-4.6,8.93,-1.43
1974.25,-3.85,9.12,-1.61
1974.083,-4.23,9.15,-2.44
1973.917,-4.77,8.92,-1.8
1973.75,-4.91,8.85,-1.46
1973.583,-4.73,8.93,-1.78
1973.417,-4.35,9.05,-1.9
1973.25,-4.01,9.16,-1.95
1973.083,-4.03,9.2,-2.5
1972.917,-4.38,9.05,-2.83
1972.75,-4.76,8.94,-2.28
1972.583,-5,8.93,-1.73
1972.417,-4.57,9.03,-1.89
1972.25,-3.97,9.19,-1.47
1972.083,-3.66,9.27,-2.02
1971.917,-4.14,9.18,-2.65
1971.75,-4.7,9.07,-2.44
1971.583,-4.9,9.04,-1.87
1971.417,-4.89,9.02,-1.47
1971.25,-4.31,9.1,-1.35
1971.083,-4.07,9.15,-2.4
1970.917,-4.87,8.97,-1.75
1970.75,-4.91,8.86,-1.82
1970.583,-4.66,8.88,-1.79
1970.417,-4.35,8.99,-1.94
1970.25,-3.93,9.22,-1.78
1970.083,-3.91,9.3,-2.2
1969.917,-4.41,9.14,-2.71
1969.75,-4.79,9.02,-2.4
1969.583,-5.03,8.94,-1.9
1969.417,-4.63,9.05,-1.79
1969.25,-3.79,9.26,-1.46
1969.083,-3.71,9.24,-2.24
1968.917,-4.22,9.11,-2.26
1968.75,-4.8,9.07,-1.81
1968.583,-4.8,8.95,-1.53
1968.417,-4.63,8.96,-1.82
1968.25,-4.07,9.16,-1.84
1968.083,-3.92,9.19,-2.66
1967.917,-4.46,9.09,-2.28
1967.75,-4.71,9.08,-1.86
1967.583,-4.83,9.04,-1.95
1967.417,-4.51,9.08,-1.91
1967.25,-4.09,9.2,-1.58
1967.083,-3.85,9.29,-1.61
1966.917,-4.31,9.2,-2.62
1966.75,-4.8,8.97,-2.45
1966.583,-4.81,8.88,-2.09
1966.417,-4.67,9.1,-1.78
1966.25,-4.07,9.25,-1.1
1966.083,-3.88,9.26,-2.11
1965.917,-4.34,9.14,-3.14
1965.75,-4.55,9.08,-2.81
1965.583,-4.89,9.03,-2.31
1965.417,-4.97,8.95,-1.85
1965.25,-4.23,9.14,-1.69
1965.083,-3.73,9.27,-2.12
1964.917,-4.11,9.17,-2.66
1964.75,-4.68,8.97,-2.1
1964.583,-4.82,8.95,-1.79
1964.417,-4.43,9.05,-2.08
1964.25,-3.8,9.23,-1.81
1964.083,-3.8,9.23,-2.32
1963.917,-4.25,9.07,-2.69
1963.75,-4.63,8.94,-2.58
1963.583,-4.84,8.86,-1.38
1963.417,-4.68,8.94,-1.06
1963.25,-3.81,9.2,-1.34
1963.083,-3.6,9.32,-1.97
1962.917,-4.23,9.19,-2.61
1962.75,-4.72,8.99,-1.99
1962.583,-4.92,8.89,-1.28
1962.417,-4.63,8.91,-0.89
1962.25,-3.75,9.19,-0.96
1962.083,-3.86,9.2,-2.42
1961.917,-4.75,8.96,-2.38
1961.75,-4.74,8.91,-1.93
1961.583,-4.47,8.99,-1.87
1961.417,-4.2,9.07,-1.74
1961.25,-3.61,9.29,-1.91
1961.083,-3.79,9.28,-2.62
1960.917,-4.36,9.16,-2.86
1960.75,-4.91,9.03,-2.29
1960.583,-4.88,8.96,-2.13
1960.417,-4.07,9.09,-2.22
1960.25,-3.82,9.21,-2.35
1960.083,-3.95,9.2,-2.79
1959.917,-4.27,9.07,-3.05
1959.75,-4.62,9.02,-2.71
1959.583,-4.72,8.91,-2.22
1959.417,-4.44,9,-2.03
1959.25,-3.93,9.1,-2.09
1959.083,-3.71,9.26,-2.37
1958.917,-4.27,9.15,-3.07
1958.75,-4.78,8.93,-2.51
1958.583,-4.86,8.92,-2.05
1958.417,-4.28,9.08,-1.92
1958.25,-4.01,9.14,-2.07
1958.083,-3.83,9.17,-2.3
1957.917,-4.39,9.09,-2.66
1957.75,-4.69,8.98,-2.11
1957.583,-4.74,8.9,-2.09
1957.417,-4.17,9.12,-1.97
1957.25,-3.66,9.28,-2.24
1957.083,-3.92,9.22,-3.09
1956.917,-4.65,9.05,-2.88
1956.75,-5,8.88,-2.08
1956.583,-4.78,8.97,-1.96
1956.417,-4.36,9.1,-2.16
1956.25,-3.89,9.26,-2.08
1956.083,-3.73,9.3,-2.45
1955.917,-4.54,9.08,-2.96
1955.75,-4.97,8.88,-2.33
1955.583,-4.92,8.88,-2
1955.417,-4.62,8.95,-2.28
1955.25,-3.81,9.18,-1.84
1955.083,-4.31,9.12,-2.4
1954.917,-4.97,8.91,-2.52
1954.75,-5.05,8.86,-2.06
1954.583,-5.02,8.9,-1.76
1954.417,-4.88,8.99,-2.04
1954.25,-4.02,9.14,-2.39
1954.083,-3.93,9.16,-2.52
1953.917,-4.45,9.02,-2.72
1953.75,-4.92,8.89,-2.06
1953.583,-4.76,8.96,-2.02
1953.417,-4.18,9.19,-2.3
1953.25,-3.83,9.21,-2.42
1953.083,-4.11,9.17,-2.45
1952.917,-4.69,9.01,-2.18
1952.75,-4.88,8.96,-2.33
1952.583,-4.83,8.79,-2.31
1952.417,-4.38,9.1,-2.33
1952.25,-3.8,9.25,-1.91
1952.083,-3.92,9.22,-2.54
1951.917,-4.58,9.04,-2.67
1951.75,-4.74,8.98,-2.47
1951.583,-4.79,8.89,-2.28
1951.417,-4.66,9,-2.07
1951.25,-3.98,9.22,-1.98
1951.083,-3.95,9.22,-2.49
1950.917,-4.62,9.1,-2.53
1950.75,-4.79,9.05,-2.23
1950.583,-4.72,8.94,-2.13
1950.417,-4.19,9.15,-1.87
1950.25,-3.98,9.24,-2.38
1950.083,-4.13,9.19,-2.65
1949.917,-4.45,9.07,-2.81
1949.75,-4.67,8.87,-2.53
1949.583,-4.79,8.97,-2.44
1949.417,-4.48,8.95,-2.33
1949.25,-4.01,9.08,-2.21
1949.083,-3.83,9.29,-2.71
1948.917,-4.34,9.15,-2.96
1948.75,-4.69,8.96,-2.69
1948.583,-4.98,8.88,-2.04
1948.417,-4.42,9.03,-2.03
1948.25,-3.93,9.3,-2.4
1948.083,-3.86,9.24,-2.91
1947.917,-4.27,9.16,-3.18
1947.75,-4.75,9.01,-2.87
1947.583,-4.89,8.9,-2.33
1947.417,-4.83,8.99,-1.67
1947.25,-3.95,9.27,-1.6
1947.083,-3.75,9.35,-2.97
1946.917,-4.4,9.11,-2.8
1946.75,-4.92,8.97,-2.24
1946.583,-4.68,9.02,-1.88
1946.417,-4.1,9.17,-2.36
1946.25,-3.63,9.41,-2.85
1946.083,-3.77,9.36,-2.75
1945.917,-4.38,9.26,-2.71
1945.75,-4.78,9.1,-2.53
1945.583,-4.96,9.01,-2.26
1945.417,-4.86,9.03,-1.76
1945.25,-4.12,9.2,-1.34
1945.083,-3.6,9.36,-2.4
1944.917,-3.84,9.29,-3.02
1944.75,-4.42,9.15,-2.39
1944.583,-4.67,9.05,-1.82
1944.417,-4.66,9.06,-1.96
1944.25,-3.93,9.29,-2.33
1944.083,-3.84,9.31,-2.29
1943.917,-4.43,9.25,-3.08
1943.75,-5.04,9.02,-2.77
1943.583,-4.96,9,-1.78
1943.417,-4.37,9.13,-1.56
1943.25,-3.83,9.31,-1.85
1943.083,-4.01,9.26,-2.65
1942.917,-4.75,9.08,-2.38
1942.75,-4.92,9,-2.26
1942.583,-4.61,9.06,-2.15
1942.417,-4.34,9.04,-2.04
1942.25,-4.03,8.98,-2.17
1942.083,-3.83,9.33,-2.39
1941.917,-4.22,9.21,-2.53
1941.75,-4.85,8.98,-2.13
1941.583,-5.04,8.88,-1.58
1941.417,-4.49,9.08,-1.53
1941.25,-3.9,9.28,-1.53
1941.083,-3.73,9.32,-2.05
1940.917,-4.21,9.2,-2.43
1940.75,-4.69,9.01,-1.83
1940.583,-4.89,8.96,-1.54
1940.417,-4.54,9.03,-1.02
1940.25,-3.63,9.35,-1.39
1940.083,-3.62,9.37,-2.19
1939.917,-4.24,9.16,-2.41
1939.75,-4.67,9.08,-2.12
1939.583,-4.44,9.18,-2.09
1939.417,-4.39,9.13,-1.99
1939.25,-3.94,9.27,-2.07
1939.083,-3.73,9.31,-2.24
1938.917,-4.21,9.23,-2.55
1938.75,-4.76,9.02,-2.08
1938.583,-4.88,9.01,-1.92
1938.417,-4.15,9.21,-2
1938.25,-3.78,9.32,-2.3
1938.083,-4.07,9.36,-2.91
1937.917,-4.33,9.2,-2.74
1937.75,-4.91,9.1,-2.29
1937.583,-4.75,9.07,-1.72
1937.417,-4.23,9.12,-1.07
1937.25,-3.74,9.3,-1.1
1937.083,-3.94,9.32,-1.98
1936.917,-4.49,9.14,-2.37
1936.75,-4.89,9.01,-1.77
1936.583,-4.98,8.95,-1.62
1936.417,-4.43,9.06,-1.38
1936.25,-3.87,9.3,-1.59
1936.083,-3.62,9.49,-2.13
1935.917,-3.85,9.4,-2.48
1935.75,-4.5,9.15,-2.02
1935.583,-4.94,8.98,-1.52
1935.417,-4.86,8.95,-1.23
1935.25,-4.14,9.2,-0.77
1935.083,-3.78,9.41,-1.74
1934.917,-4.32,9.24,-2.44
1934.75,-4.65,9.14,-2.18
1934.583,-5.02,8.88,-1.52
1934.417,-4.66,8.99,-1.03
1934.25,-3.65,9.33,-1.22
1934.083,-3.6,9.43,-1.94
1933.917,-4.53,9.13,-2.56
1933.75,-4.79,9.03,-2.33
1933.583,-4.88,8.97,-1.58
1933.417,-4.62,9.02,-1.48
1933.25,-3.94,9.3,-2
1933.083,-3.96,9.33,-2.24
1932.917,-4.48,9.16,-2.4
1932.75,-4.9,8.97,-2.25
1932.583,-4.98,8.91,-1.71
1932.417,-4.66,8.93,-1.59
1932.25,-4.1,9.11,-1.88
1932.083,-3.83,9.29,-2.09
1931.917,-4.27,9.22,-2.38
1931.75,-4.73,9.04,-2.31
1931.583,-4.95,8.82,-1.6
