year (AD),d18O (permil),d13C (permil)
2007.625,-4.93,-2.07
2007.5417,-5.0847,-2.3416
2007.4583,-5.1556,-2.3094
2007.375,-5.1751,-2.0917
2007.2917,-5.1925,-2.0057
2007.2083,-5.3673,-2.043
2007.125,-5.3262,-1.896
2007.0417,-5.2749,-2.0172
2006.9583,-5.0821,-2.2386
2006.875,-4.9464,-2.1048
2006.7917,-4.8233,-1.9212
2006.7083,-4.878,-1.8188
2006.625,-4.8915,-1.3265
2006.5417,-4.9089,-1.222
2006.4583,-4.8957,-1.0995
2006.375,-4.8062,-1.241
2006.2917,-4.9689,-1.6026
2006.2083,-5.2465,-1.8895
2006.125,-5.3931,-1.8063
2006.0417,-5.254,-1.5304
2005.9583,-5.2449,-1.82
2005.875,-5.1301,-2.2383
2005.7917,-5.0364,-2.2813
2005.7083,-4.7651,-2.0095
2005.625,-4.6675,-1.9152
2005.5417,-4.8625,-2.12
2005.4583,-5.0912,-2.1875
2005.375,-5.2175,-2.2037
2005.2917,-5.3563,-2.1587
2005.2083,-5.42,-1.9763
2005.125,-5.4237,-1.8275
2005.0417,-5.1612,-2.0213
2004.9583,-4.95,-1.67
2004.875,-4.9187,-1.75
2004.7917,-4.8725,-1.945
2004.7083,-4.9175,-1.9325
2004.625,-4.8268,-1.8569
2004.5417,-4.9242,-1.875
2004.4583,-5.0007,-1.8506
2004.375,-4.9529,-1.6977
2004.2917,-5,-1.5833
2004.2083,-5.118,-1.5232
2004.125,-5.185,-1.71
2004.0417,-5.2327,-1.9365
2003.9583,-5.2633,-2.0567
2003.875,-5.1994,-2.1222
2003.7917,-5.0136,-2.123
2003.7083,-4.835,-1.9675
2003.625,-4.6919,-1.7747
2003.5417,-4.7338,-1.775
2003.4583,-4.77,-1.765
2003.375,-4.8163,-1.9812
2003.2917,-4.9338,-2.0625
2003.2083,-4.9337,-2.0588
2003.125,-5.0437,-1.9612
2003.0417,-5.1375,-1.7325
2002.9583,-5.1888,-1.5125
2002.875,-5.1,-1.715
2002.7917,-4.9362,-1.8812
2002.7083,-4.8038,-1.5825
2002.625,-4.7154,-1.3425
2002.5417,-4.7282,-1.4924
2002.4583,-4.7949,-1.7493
2002.375,-4.8951,-1.999
2002.2917,-5.0324,-2.0203
2002.2083,-5.2666,-1.9606
2002.125,-5.3654,-1.9358
2002.0417,-5.3092,-1.9606
2001.9583,-5.1533,-2.0419
2001.875,-5.0151,-2.1041
2001.7917,-4.9049,-1.9793
2001.7083,-4.8277,-1.8736
2001.625,-4.7058,-1.9435
2001.5417,-4.776,-2.064
2001.4583,-4.9765,-2.0402
2001.375,-5.19,-1.995
2001.2917,-5.3394,-1.8789
2001.2083,-5.3885,-1.7076
2001.125,-5.3579,-1.7517
2001.0417,-5.3092,-1.7649
2000.9583,-5.247,-1.8469
2000.875,-5.22,-1.98
2000.7917,-5.1761,-1.9748000000000001
2000.7083,-5.0663,-1.7678
2000.625,-4.9871,-1.6679
2000.5417,-5.1175,-1.7963
2000.4583,-5.1775,-1.9275
2000.375,-5.0763,-1.99
2000.2917,-5.2325,-2.0688
2000.2083,-5.4762,-2.0037
2000.125,-5.5175,-2.09
2000.0417,-5.4237,-2.05
1999.9583,-5.1938,-1.8063
1999.875,-5.13,-1.8112
1999.7917,-5.0225,-1.565
1999.7083,-4.8238,-1.25
1999.625,-4.7508,-1.4013
1999.5417,-4.7319,-1.8872
1999.4583,-4.8197,-1.8916
1999.375,-4.8946,-1.6009
1999.2917,-4.9812,-1.453
1999.2083,-5.0549,-1.3158
1999.125,-5.05,-1.2005
1999.0417,-5.0259,-1.413
1998.9583,-4.9181,-1.5507
1998.875,-4.8191,-1.4799
1998.7917,-4.764,-1.4096
1998.7083,-4.5973,-1.3754
1998.625,-4.5119,-1.4122
1998.5417,-4.6356,-1.7033
1998.4583,-4.705,-1.845
1998.375,-4.7535,-1.7861
1998.2917,-4.8566,-1.5594
1998.2083,-4.9965,-1.3844
1998.125,-4.98,-1.19
1998.0417,-4.8646,-1.1623000000000001
1997.9583,-4.7422,-1.41
1997.875,-4.6918,-1.3061
1997.7917,-4.62,-1.195
1997.7083,-4.5404,-1.2167
1997.625,-4.51,-1.4278
1997.5417,-4.63,-1.5875
1997.4583,-4.6275,-1.545
1997.375,-4.7587,-1.745
1997.2917,-4.8988,-1.6612
1997.2083,-4.965,-1.2313
1997.125,-4.9775,-1.4175
1997.0417,-4.9237,-1.7488
1996.9583,-4.935,-1.6875
1996.875,-4.915,-1.6738
