Age (years),d18O (per mil),Sr/Ca (mmol/mol)
1949.1111,-3.3259,9.599
1948.9444,-3.1016,9.5898
1948.7778,-3.4569,9.4442
1948.6111,-3.5656,9.4756
1948.4444,-3.512,9.4329
1948.2778,-3.4166,9.3825
1948.1111,-3.2702,9.4262
1947.9444,-3.1787,9.4457
1947.7778,-3.3685,9.4737
1947.6111,-3.8203,9.3733
1947.4444,-3.383,9.4233
1947.2778,-3.2411,9.479
1947.1111,-3.1887,9.425
1946.9444,-3.0625,9.5094
1946.7778,-3.6741,9.5085
1946.6111,-3.6226,9.1994
1946.4444,-3.6914,9.2896
1946.2778,-3.5805,9.2853
1946.1111,-3.5578,NA
1945.9444,-3.4112,NA
1945.7778,-3.4805,9.2947
1945.6111,-3.5927,9.3379
1945.4444,-3.6267,9.3868
1945.2778,-3.5741,9.4179
1945.1111,-3.6665,9.4408
1944.9444,-3.0791,9.4146
1944.7778,-3.2792,9.3246
1944.6111,-3.2645,9.4316
1944.4444,-3.2887,9.282
1944.2778,-3.1366,9.3908
1944.1111,-2.9668,9.3653
1943.9444,-2.9129,9.3504
1943.7778,-2.8788,9.3607
1943.6111,-3.25,9.292
1943.4444,-3.312,9.2013
1943.2778,-3.0657,9.2622
1943.1111,-2.9016,9.2816
1942.9444,-2.8008,9.3053
1942.7778,-2.8195,9.3365
1942.6111,-3.3126,9.3316
1942.4444,-2.8407,9.2445
1942.2778,-2.9296,9.2498
1942.1111,-2.7293,9.3474
1941.9444,-2.486,9.3038
1941.7778,-2.9429,9.2713
1941.6111,-2.9088,9.1742
1941.4444,-2.8328,9.227
1941.2778,-2.6542,9.197
1941.1111,-2.5285,9.216
1940.9444,-2.3146,9.2872
1940.7778,-2.6499,9.3222
1940.6111,-3.0602,9.1383
1940.4444,-3.1916,9.1698
1940.2778,-2.9837,9.137
1940.1111,-2.7968,9.2077
1939.9444,-2.6753,9.1459
1939.7778,-2.7883,9.1797
1939.6111,-2.7357,9.2666
1939.4444,-2.7203,9.2701
1939.2778,-2.7285,9.2822
1939.1111,-2.6728,9.2999
1938.9444,-2.6036,NA
1938.7778,-3.155,NA
1938.6111,-3.6508,9.2384
1938.4444,-3.5954,9.2443
1938.2778,-3.3713,9.1851
1938.1111,-3.2506,9.2092
1937.9444,-3.2013,9.3408
1937.7778,-3.5193,9.2312
1937.6111,-3.8372,9.2066
1937.4444,-3.8496,9.2098
1937.2778,-3.7092,9.2229
1937.1111,-3.5689,9.2392
1936.9444,-3.4603,9.2461
1936.7778,-3.5107,9.2461
1936.6111,-3.7981,NA
1936.4444,-3.786,9.21
1936.2778,-3.6133,9.2547
1936.1111,-3.5823,9.2863
1935.9444,-3.6134,9.268
1935.7778,-3.8902,9.244
1935.6111,-4.1671,9.2369
1935.4444,-3.9264,9.254
1935.2778,-3.4269,9.3369
1935.1111,-3.3928,9.3288
1934.9444,-3.4444,9.2776
1934.7778,-3.7126,9.2392
1934.6111,-3.9809,9.2074
1934.4444,-3.9723,9.1955
1934.2778,-3.8254,9.327
1934.1111,-3.6089,9.2965
1933.9444,-3.4626,9.3632
1933.7778,-3.6992,9.3197
1933.6111,-3.7614,9.2364
1933.4444,-3.745,NA
1933.2778,-3.6798,NA
1933.1111,-3.5142,NA
1932.9444,-3.2804,NA
1932.7778,-3.5338,NA
1932.6111,-3.996,NA
1932.4444,-3.8204,NA
1932.2778,-3.5003,NA
1932.1111,-3.3769,NA
1931.9444,-3.4231,NA
1931.7778,-3.4286,NA
1931.6111,-3.8415,NA
1931.4444,-3.7806,NA
1931.2778,-3.6792,NA
1931.1111,-3.3973,NA
1930.9444,-3.4247,NA
1930.7778,-3.4157,NA
1930.6111,-4.2152,NA
1930.4444,-3.7211,NA
1930.2778,-3.4806,NA
1930.1111,-3.3075,NA
1929.9444,-3.2351,NA
1929.7778,-3.5866,NA
1929.6111,-3.8214,NA
1929.4444,-3.7646,NA
1929.2778,-3.5971,NA
1929.1111,-3.412,NA
1928.9444,-3.3709,NA
1928.7778,-3.4517,NA
1928.6111,-3.7202,NA
1928.4444,-3.6354,NA
1928.2778,-3.3303,NA
1928.1111,-3.3022,NA
1927.9444,-3.3268,NA
1927.7778,-3.3235,NA
1927.6111,-3.5397,NA
1927.4444,-3.4224,NA
1927.2778,-3.2328,NA
1927.1111,-3.0192,NA
1926.9444,-2.7424,NA
1926.7778,-3.2024,NA
1926.6111,-3.4504,NA
1926.4444,-3.1976,NA
1926.2778,-2.9423,NA
1926.1111,-2.8101,NA
1925.9444,-2.6658,NA
1925.7778,-2.8151,NA
1925.6111,-3.1356,NA
1925.4444,-3.0197,NA
1925.2778,-2.7305,NA
1925.1111,-2.7567,NA
1924.9444,-2.5263,NA
1924.7778,-2.7765,NA
1924.6111,-3.0268,NA
1924.4444,-2.8894,NA
1924.2778,-2.5888,NA
1924.1111,-2.2712,NA
1923.9444,-2.0163,NA
1923.7778,-2.5499,NA
1923.6111,-3.086,NA
1923.4444,-3.1868,NA
1923.2778,-2.9081,NA
1923.1111,-2.8023,NA
1922.9444,-2.5991,NA
1922.7778,-2.6921,NA
1922.6111,-2.9894,NA
