year (AD),Sample ID (unitless),d18O (per mil),Sr/Ca (mmol/mol),d18Osw (per mil)
2010.92,1,-5.1,8.82,0.29
2010.79,2,-5.07,8.85,0.2
2010.67,3,-4.92,8.86,0.32
2010.59,4,-4.85,8.85,0.43
2010.51,5,-5.06,8.82,0.32
2010.44,6,-5.16,8.8,0.3
2010.36,7,-5.08,8.81,0.34
2010.28,8,-5.48,8.79,0.02
2010.21,9,-5.32,8.79,0.16
2010.13,10,-5.31,8.76,0.29
2010.06,11,-5.04,8.73,0.66
2009.98,12,-5.24,8.8,0.2
2009.9,13,-5.34,8.83,-0.01
2009.83,14,-5.21,8.86,0.03
2009.75,15,-5.25,8.9,-0.15
2009.64,16,-5.22,8.88,-0.06
2009.54,17,-5.3,8.85,-0.01
2009.43,18,-5.22,8.8,0.22
2009.32,19,-5.26,8.86,-0.02
2009.21,20,-5.29,8.79,0.2
2009.11,21,-5.3,8.76,0.28
2009,22,-5.15,8.75,0.49
2008.92,23,-5.06,8.82,0.33
2008.85,24,-5.15,8.81,0.27
2008.77,25,-4.95,8.84,0.36
2008.7,26,-5.07,8.87,0.11
2008.62,27,-5.16,8.88,0
2008.55,28,-4.9,8.86,0.32
2008.47,29,-4.94,8.85,0.33
2008.39,30,-5.03,8.85,0.26
2008.32,31,-5.01,8.88,0.15
2008.24,32,-5.4,8.82,-0.03
2008.17,33,-5.37,8.79,0.12
2008.08,34,-5.29,8.83,0.06
2008,35,-5.05,8.86,0.17
2007.92,36,-5.04,8.85,0.22
2007.83,37,-4.84,8.87,0.36
2007.75,38,-4.96,8.92,0.05
2007.63,39,-4.61,8.9,0.47
2007.52,40,-4.67,8.84,0.66
2007.4,41,-4.65,8.84,0.67
2007.28,42,-4.79,8.82,0.6
2007.17,43,-5.19,8.76,0.41
2007.08,44,-5.09,8.78,0.45
2006.98,45,-5.02,8.82,0.36
2006.89,46,-5.09,8.78,0.45
2006.8,47,-5.22,8.82,0.14
2006.71,48,-4.92,8.84,0.4
2006.62,49,-4.84,8.86,0.4
2006.53,50,-4.84,8.85,0.42
2006.44,51,-4.87,8.83,0.46
2006.35,52,-5.01,8.79,0.48
2006.26,53,-5.06,8.78,0.46
2006.17,54,-4.98,8.73,0.74
2006.08,55,-5.22,8.76,0.37
2006,56,-5.08,8.74,0.58
2005.92,57,-5.01,8.77,0.55
2005.83,58,-4.94,8.81,0.47
2005.75,59,-4.81,8.81,0.6
2005.67,60,-4.96,8.81,0.44
2005.58,61,-4.99,8.85,0.28
2005.5,62,-4.94,8.86,0.28
2005.42,63,-4.95,8.84,0.34
2005.33,64,-4.93,8.83,0.39
2005.25,65,-5.11,8.79,0.38
2005.17,66,-5.13,8.81,0.28
2005.08,67,-5.09,8.72,0.67
2004.99,68,-5.05,8.73,0.64
2004.9,69,-4.96,8.81,0.47
2004.81,70,-4.88,8.83,0.46
2004.72,71,-4.93,8.83,0.39
2004.63,72,-4.83,8.86,0.41
2004.54,73,-4.94,8.82,0.44
2004.45,74,-5.03,8.79,0.45
2004.36,75,-5.09,8.73,0.63
2004.27,76,-5.09,8.79,0.42
2004.18,77,-5.14,8.77,0.42
2004.09,78,-5.12,8.75,0.5
2004,79,-5.22,8.73,0.47
2003.93,80,-5.14,8.75,0.5
2003.85,81,-4.98,8.87,0.21
2003.78,82,-4.97,8.86,0.25
2003.7,83,-4.89,8.85,0.39
2003.63,84,-5.03,8.86,0.2
2003.55,85,-4.98,8.87,0.23
2003.48,86,-5.14,8.79,0.35
2003.4,87,-5.19,8.76,0.41
2003.33,88,-5.23,8.77,0.34
2003.25,89,-5.38,8.71,0.41
2003.18,90,-5.32,8.79,0.18
2003.11,91,-5.23,8.75,0.4
2003.04,92,-5.17,8.74,0.5
2002.96,93,-5.28,8.77,0.29
2002.89,94,-5.11,8.8,0.35
2002.82,95,-5.19,8.77,0.36
2002.75,96,-5.25,8.83,0.09
2002.68,97,-5.19,8.76,0.42
2002.61,98,-5.16,8.79,0.33
2002.54,99,-5.22,8.81,0.19
2002.46,100,-5.2,8.81,0.21
2002.39,101,-5.18,8.81,0.25
2002.32,102,-5.29,8.74,0.39
2002.25,103,-5.23,8.71,0.54
2002.17,104,-5.25,8.76,0.36
2002.08,105,-5.27,8.85,0.01
2002,106,-5.09,8.86,0.16
2001.92,107,-5,8.85,0.28
2001.83,108,-5.1,8.83,0.24
2001.75,109,-5.19,8.85,0.09
2001.67,110,-5.03,8.82,0.34
2001.58,111,-5.1,8.81,0.33
2001.5,112,-5.29,8.81,0.11
2001.42,113,-5.34,8.82,0.02
2001.33,114,-5.15,8.78,0.35
2001.25,115,-5.1,8.75,0.55
2001.17,116,-5.1,8.75,0.55
2001.08,117,-5.08,NA,NA
2001,118,-5.13,8.81,0.29
2000.92,119,-5.12,8.85,0.16
2000.83,120,-5.1,8.84,0.22
2000.75,121,-5.21,8.84,0.12
2000.67,122,-4.97,8.83,0.38
2000.58,123,-4.9,8.85,0.37
2000.5,124,-5,8.82,0.38
2000.42,125,-4.96,8.8,0.5
2000.33,126,-4.97,8.76,0.64
2000.25,127,-5.13,8.74,0.54
2000.17,128,-5.02,8.74,0.66
2000.06,129,-5.08,8.78,0.43
1999.96,130,-5.18,8.79,0.31
1999.86,131,-5.08,8.79,0.43
1999.76,132,-5.07,8.78,0.44
1999.66,133,-4.97,8.79,0.52
1999.56,134,-4.93,8.81,0.47
1999.45,135,-5.11,8.8,0.35
1999.35,136,-5.21,8.72,0.53
1999.25,137,-5.23,8.73,0.49
1999.18,138,-5.3,8.77,0.27
1999.11,139,-5.15,8.81,0.28
1999.03,140,-5.01,8.8,0.44
1998.96,141,-5,8.82,0.38
1998.89,142,-5.07,8.84,0.24
1998.82,143,-4.95,8.91,0.11
1998.74,144,-4.96,8.92,0.03
1998.67,145,-4.98,8.92,0.02
1998.6,146,-4.93,8.88,0.22
1998.53,147,-5.01,8.87,0.19
1998.46,148,-4.98,8.84,0.34
1998.38,149,-5.18,8.79,0.31
1998.31,150,-5.06,8.84,0.25
1998.24,151,-5.26,8.83,0.07
1998.17,152,NA,8.76,NA
1998.09,153,-5.1,8.76,0.48
1998.01,154,-5.15,8.78,0.39
1997.94,155,-5.11,8.81,0.31
1997.86,156,-5.08,8.82,0.3
1997.78,157,-5.1,8.83,0.25
1997.71,158,-5.03,8.84,0.27
1997.63,159,-4.97,8.86,0.27
1997.56,160,-5.11,8.83,0.25
1997.48,161,-5.22,8.78,0.3
1997.4,162,-5.17,8.78,0.37
1997.33,163,-5.22,8.76,0.38
1997.25,164,-5.24,8.76,0.37
1997.14,165,-5.24,8.76,0.34
1997.03,166,-5.19,8.83,0.15
1996.92,167,-5.06,8.85,0.21
1996.81,168,-4.98,8.89,0.13
1996.69,169,-4.99,8.87,0.2
1996.58,170,-4.88,8.84,0.45
1996.47,171,-5.1,8.8,0.35
1996.36,172,-5.09,8.81,0.31
1996.25,173,-5,8.77,0.55
1996.18,174,-5.09,8.81,0.33
1996.11,175,-5.03,8.91,0.01
1996.03,176,-5.04,8.93,-0.05
1995.96,177,-4.92,8.95,-0.01
1995.89,178,-4.85,8.97,-0.03
1995.82,179,-4.99,9,-0.29
1995.74,180,-5.02,8.99,-0.28
1995.67,181,-4.92,9,-0.19
1995.6,182,-4.88,8.98,-0.07
1995.53,183,-5.01,8.92,0.01
1995.46,184,-4.99,8.89,0.12
1995.38,185,-4.94,8.9,0.14
1995.31,186,-4.96,8.85,0.3
1995.24,187,-5.09,8.79,0.41
1995.17,188,-5.19,8.78,0.32
1995.07,189,-4.94,8.81,0.46
1994.97,190,-5.01,8.81,0.41
1994.87,191,-4.94,8.81,0.49
1994.77,192,-4.8,8.79,0.68
1994.67,193,-4.95,8.88,0.22
1994.57,194,-5.1,8.83,0.23
1994.47,195,-4.85,8.85,0.41
1994.37,196,-5.01,8.84,0.29
1994.27,197,-5.1,8.82,0.28
1994.17,198,-5.22,8.74,0.44
1994.05,199,-5.01,8.76,0.58
1993.94,200,-5.04,8.8,0.43
1993.82,201,-4.95,8.86,0.3
1993.71,202,-5.07,8.88,0.1
1993.59,203,-4.93,8.89,0.2
1993.48,204,-4.98,8.84,0.33
1993.36,205,-5.06,8.8,0.38
1993.25,206,-5.12,8.77,0.46
1993.16,207,-5.28,8.78,0.25
1993.07,208,-5.08,8.87,0.11
1992.98,209,-4.83,8.85,0.45
1992.89,210,-5.05,8.9,0.04
1992.8,211,-4.95,8.89,0.17
1992.71,212,-4.98,8.95,-0.08
1992.62,213,-4.85,8.96,0.04
1992.53,214,-4.91,8.92,0.1
1992.44,215,-4.89,8.85,0.39
1992.35,216,-4.95,8.87,0.23
1992.26,217,-4.84,8.85,0.44
1992.17,218,-5.11,8.84,0.18
1992.08,219,-5.23,8.87,-0.03
1992,220,-5.09,8.83,0.25
1991.92,221,-4.91,8.85,0.36
1991.83,222,-5.07,8.9,0.02
1991.75,223,-4.93,8.86,0.3
1991.67,224,-5.02,8.92,0.01
1991.58,225,-5.23,8.88,-0.05
1991.5,226,NA,8.84,NA
1991.42,227,-5.24,8.81,0.16
1991.33,228,-5.23,8.83,0.1
1991.25,229,-5.19,8.81,0.21
1991.17,230,-5.31,8.79,0.17
1991.08,231,-5.16,8.79,0.33
1991,232,-5.21,8.83,0.15
1990.92,233,-5.05,8.86,0.17
1990.83,234,-5.02,8.89,0.08
1990.75,235,-5.19,8.86,0.05
1990.67,236,-4.97,8.84,0.33
1990.58,237,-4.91,8.88,0.24
1990.5,238,-4.89,8.87,0.29
1990.42,239,-5,8.8,0.44
1990.33,240,-5.2,8.8,0.23
1990.25,241,-5.08,8.77,0.49
1990.17,242,-5.2,8.76,0.38
1990.07,243,-5.05,8.78,0.47
1989.97,244,-5.01,8.81,0.42
1989.87,245,-5.14,8.82,0.23
1989.77,246,-5.07,8.85,0.2
1989.67,247,-4.96,8.85,0.3
1989.57,248,-4.88,8.82,0.5
1989.47,249,-5,8.83,0.34
1989.37,250,-5.14,8.79,0.35
1989.27,251,-4.96,8.77,0.6
1989.17,252,-5.21,8.76,0.4
1989.09,253,-5.15,8.78,0.37
1989.02,254,-5.18,8.77,0.37
1988.95,255,-5.09,8.81,0.34
1988.88,256,-5.13,8.8,0.32
1988.8,257,-5.05,8.81,0.38
1988.73,258,-5,8.8,0.47
1988.66,259,-5.14,8.78,0.39
