year (AD),depth (cm),d18O (permil)
1985,NA,-2.54
1984,NA,-2.49
1983,NA,-2.8
1982,NA,-3.2
1981,NA,-2.81
1980,NA,-2.6
1979,NA,-2.91
1978,NA,-2.58
1977,NA,-2.49
1976,NA,-2.4
1975,NA,-2.15
1974,NA,-2.02
1973,NA,-2.42
1972,NA,-2.2
1971,NA,-2.51
1970,NA,-2.33
1969,NA,-1.94
1968,NA,-2.91
1967,NA,-2.38
1966,NA,-2.54
1965,NA,-2.23
1964,NA,-2.3
1963,NA,-2.14
1962,NA,-1.98
1961,NA,-1.94
1960,NA,-2.48
1959,NA,-2.6
1958,NA,-2.47
1957,NA,-2.62
1956,NA,-2.6
1955,NA,-2.31
1954,NA,-2.34
1953,NA,-2.35
1952,NA,-2.69
1951,NA,-2.41
1950,NA,-2.47
1949,NA,-2.33
1948,NA,-2.36
1947,NA,-3.02
1946,NA,-2.58
1945,NA,-2.49
1944,NA,-2.21
1943,NA,-2.71
1942,NA,-2.5
1941,NA,-2.63
1940,NA,-2.3
1939,NA,-2.02
1938,NA,-2.39
1937,NA,-2.4
1936,NA,-2.55
1935,NA,-2.38
1934,NA,-2.1
1933,NA,-2.82
1932,NA,-2.47
1931,NA,-2.33
1930,NA,-2.13
1929,NA,-2.6
1928,NA,-2.46
1927,NA,-2.2
1926,NA,-2.3
1925,NA,-2.24
1924,NA,-2.23
1923,NA,-2.49
1922,NA,-2.12
1921,NA,-2.63
1920,NA,-2.68
1919,NA,-2.48
1918,NA,-2.37
1917,NA,-2.31
1916,NA,-2.3
1915,NA,-2.04
1914,NA,-2.22
1913,NA,-1.92
1912,NA,-2.11
1911,NA,-2.28
1910,NA,-2.19
1909,NA,-2.58
1908,NA,-3.1
1907,NA,-2.76
1906,NA,-2.45
1905,NA,-2.98
1904,NA,-2.5
1903,NA,-2.78
1902,NA,-2.77
1901,NA,-2.87
1900,NA,-3.86
1899,NA,-3.04
1898,NA,-3.73
1897,NA,-3
1896,NA,-2.71
1895,NA,-2.99
1894,NA,-3.21
1893,NA,-2.82
1892,NA,-3.22
1891,NA,-2.84
1890,NA,-2.53
1889,NA,-2.75
1888,NA,-1.84
1887,NA,-1.96
1886,NA,-2.29
1885,NA,-2.31
1884,NA,-2.49
1883,NA,-1.89
1882,NA,-1.64
1881,NA,-2.49
1880,NA,-2.47
1879,NA,-2.54
1878,NA,-2.24
1877,NA,-2.45
1876,NA,-2.38
1875,NA,-2.02
1874,NA,-2.67
1873,NA,-2.66
1872,NA,-2.95
1871,NA,-3.52
1870,NA,-3.39
1869,NA,-3.09
1868,NA,-3.02
1867,NA,-3.11
1866,NA,-2.73
1865,NA,-2.8
1864,NA,-2.66
1863,NA,-2.38
1862,NA,-2.69
1861,NA,-2.03
1860,NA,-2.44
1859,NA,-2.35
1858,NA,-2.31
1857,NA,-2.84
1856,NA,-3.46
1855,NA,-3.01
1854,NA,-3.24
1853,NA,-2.66
1852,NA,-2.54
1851,NA,-2.34
1850,NA,-2.71
1849,NA,-3.1
1848,NA,-3.33
1847,NA,-2.97
1846,NA,-3.21
1845,NA,-2.3
1844,NA,-2.81
1843,NA,-2.64
1842,NA,-2.69
1841,NA,-2.71
1840,NA,-2.73
1839,NA,-2.19
1838,NA,-1.96
1837,NA,-2.06
1836,NA,-2.92
1835,NA,-2.88
1834,NA,-2.81
1833,NA,-3.48
1832,NA,-3.25
1831,NA,-3.08
1830,NA,-3.07
1829,NA,-3.23
1828,NA,-2.74
1827,NA,-3.02
1826,NA,-3.13
1825,NA,-3.5
1824,NA,-2.91
