year (AD),d18O (permil),d13C (permil)
1938.292,-4.272,-2.391
1938.375,-4.355,-2.705
1938.458,-4.343,-2.821
1938.542,-4.603,-3.089
1938.625,-4.534,-3.068
1938.708,-4.644,-3.232
1938.792,-4.607,-3.015
1938.875,-4.543,-2.833
1938.958,-4.802,-3.152
1939.042,-4.694,-2.902
1939.125,-4.685,-2.496
1939.208,-4.807,-2.28
1939.292,-4.738,-1.963
1939.375,-4.745,-2.235
1939.458,-4.764,-2.096
1939.542,-4.656,-2.204
1939.625,-4.698,-2.71
1939.708,-4.607,-2.386
1939.792,-4.796,-2.602
1939.875,-4.833,-2.518
1939.958,-4.802,-2.291
1940.042,-4.81,-2.385
1940.125,-4.951,-2.058
1940.208,-4.91,-1.871
1940.292,-4.9,-1.514
1940.375,-4.875,-1.649
1940.458,-4.979,-1.756
1940.542,-5.036,-2.059
1940.625,-5.027,-2.082
1940.708,-5.031,-2.107
1940.792,-5.033,-1.888
1940.875,-5.145,-2.39
1940.958,-5.161,-1.945
1941.042,-5.233,-2.002
1941.125,-5.059,-2.018
1941.208,-5.001,-1.9
1941.292,-4.813,-1.041
1941.375,-4.858,-1.471
1941.458,-4.87,-1.47
1941.542,-4.968,-1.677
1941.625,-5.042,-1.952
1941.708,-4.924,-2.011
1941.792,-4.97,-1.908
1941.875,-4.976,-2.027
1941.958,-4.953,-1.996
1942.042,-4.771,-1.913
1942.125,-4.665,-2.394
1942.208,-4.765,-2.082
1942.292,-4.461,-1.026
1942.375,-4.774,-1.783
1942.458,-4.676,-1.247
1942.542,-4.531,-1.806
1942.625,-4.506,-2.176
1942.708,-4.4,-2.046
1942.792,-4.478,-2.181
1942.875,-4.283,-2.243
1942.958,-4.243,-2.425
1943.042,-4.237,-2.524
1943.125,-4.446,-2.587
1943.208,-4.55,-2.54
1943.292,-4.4,-2.383
1943.375,-4.567,-1.991
1943.458,-4.736,-2.279
1943.542,-4.699,-2.113
1943.625,-4.668,-2.342
1943.708,-4.427,-2.495
1943.792,-4.418,-2.372
1943.875,-4.396,-2.512
1943.958,-4.423,-2.368
1944.042,-4.499,-2.621
1944.125,-4.598,-2.676
1944.208,-4.478,-2.46
1944.292,-4.528,-1.94
1944.375,-4.75,-2.042
1944.458,-4.679,-2.041
1944.542,-4.545,-2.193
1944.625,-4.507,-2.246
1944.708,-4.441,-2.319
1944.792,-4.375,-2.732
1944.875,-4.392,-2.717
1944.958,-4.291,-2.609
1945.042,-4.337,-2.549
1945.125,-4.375,-2.559
1945.208,-4.359,-2.481
1945.292,-4.213,-1.512
1945.375,-4.492,-2.196
1945.458,-4.427,-2.325
1945.542,-4.459,-2.345
1945.625,-4.521,-2.339
1945.708,-4.329,-2.743
1945.792,-4.283,-2.707
1945.875,-4.293,-3.019
1945.958,-4.359,-2.959
1946.042,-4.328,-3.12
1946.125,-4.479,-2.692
1946.208,-4.404,-2.511
1946.292,-4.265,-1.107
1946.375,-4.633,-2.5
1946.458,-4.564,-2.399
1946.542,-4.609,-2.306
1946.625,-4.614,-2.361
1946.708,-4.628,-2.509
1946.792,-4.582,-2.524
1946.875,-4.442,-2.738
1946.958,-4.403,-2.712
1947.042,-4.494,-2.807
1947.125,-4.628,-3.177
1947.208,-3.748,-2.194
1947.292,-4.188,-1.36
1947.375,-4.535,-2.109
1947.458,-4.433,-2.301
1947.542,-4.33,-2.693
1947.625,-4.255,-2.536
1947.708,-4.436,-2.412
1947.792,-4.325,-2.469
1947.875,-4.229,-2.841
1947.958,-4.411,-2.855
1948.042,-4.36,-2.789
1948.125,-4.447,-2.684
1948.208,-4.295,-2.176
1948.292,-4.291,-1.311
1948.375,-4.701,-2.689
1948.458,-4.697,-2.817
1948.542,-4.443,-2.536
1948.625,-4.365,-2.475
1948.708,-4.349,-2.587
1948.792,-4.392,-2.583
1948.875,-4.564,-2.797
1948.958,-4.347,-2.668
1949.042,-4.246,-2.649
1949.125,-4.382,-2.767
1949.208,-4.401,-2.868
1949.292,-4.351,-1.759
1949.375,-4.361,-2.209
1949.458,-4.38,-2.445
1949.542,-4.379,-2.426
1949.625,-4.329,-2.772
1949.708,-4.254,-2.884
1949.792,-4.034,-2.868
1949.875,-4.038,-2.816
1949.958,-4.014,-3.043
1950.042,-4.114,-2.874
1950.125,-4.242,-3.06
1950.208,-3.961,-2.358
1950.292,-4.054,-1.55
1950.375,-4.332,-2.297
1950.458,-4.322,-2.529
1950.542,-4.448,-2.608
1950.625,-4.328,-2.814
1950.708,-4.413,-3.252
1950.792,-4.145,-2.806
1950.875,-4.248,-3.044
1950.958,-4.317,-3.192
1951.042,-4.453,-2.886
1951.125,-4.28,-2.681
1951.208,-4.061,-1.758
1951.292,-4.31,-1.562
1951.375,-4.784,-2.658
1951.458,-4.712,-2.36
1951.542,-4.709,-2.274
1951.625,-4.676,-2.252
1951.708,-4.615,-2.503
1951.792,-4.276,-2.386
1951.875,-4.548,-2.851
1951.958,-4.567,-2.69
1952.042,-4.366,-2.619
1952.125,-4.571,-2.746
1952.208,-4.609,-2.974
1952.292,-4.49,-2.016
1952.375,-4.43,-1.923
1952.458,-4.565,-2.444
1952.542,-4.513,-2.138
1952.625,-4.523,-2.119
1952.708,-4.381,-2.695
1952.792,-4.329,-2.731
1952.875,-4.353,-2.605
1952.958,-4.401,-2.817
1953.042,-4.438,-2.797
1953.125,-4.488,-2.799
1953.208,-4.327,-2.411
1953.292,-4.25,-1.393
1953.375,-4.641,-2.106
1953.458,-4.579,-2.563
1953.542,-4.656,-2.121
1953.625,-4.539,-2.37
1953.708,-4.525,-2.556
1953.792,-4.404,-2.669
1953.875,-4.485,-2.588
1953.958,-4.373,-2.684
1954.042,-4.437,-2.775
1954.125,-4.471,-3.066
1954.208,-4.372,-2.836
1954.292,-4.513,-1.552
1954.375,-4.47,-2.56
1954.458,-4.357,-2.61
1954.542,-4.429,-2.265
1954.625,-4.35,-2.314
1954.708,-4.361,-2.543
1954.792,-4.195,-2.817
1954.875,-4.191,-2.74
1954.958,-4.19,-2.704
1955.042,-4.321,-2.972
1955.125,-4.301,-2.893
1955.208,-4.274,-2.209
1955.292,-4.247,-1.528
1955.375,-4.438,-2.684
1955.458,-4.394,-2.596
1955.542,-4.38,-2.355
1955.625,-4.242,-2.482
1955.708,-4.141,-2.616
1955.792,-4.174,-2.499
1955.875,-4.239,-2.39
1955.958,-4.366,-2.436
1956.042,-4.402,-2.45
1956.125,-4.353,-2.365
1956.208,-4.497,-1.957
1956.292,-4.619,-1.625
1956.375,-4.7,-1.99
1956.458,-4.644,-1.796
1956.542,-4.631,-1.785
1956.625,-4.58,-2.177
1956.708,-4.526,-2.095
1956.792,-4.427,-1.878
1956.875,-4.41,-2.184
1956.958,-4.395,-2.405
1957.042,-4.505,-2.419
1957.125,-4.518,-2.207
1957.208,-4.407,-1.812
1957.292,-4.075,-0.559
1957.375,-4.609,-1.523
1957.458,-4.515,-1.146
1957.542,-4.564,-1.461
1957.625,-4.682,-1.603
1957.708,-4.669,-1.569
1957.792,-4.801,-1.786
1957.875,-4.77,-1.825
1957.958,-4.722,-2.081
1958.042,-4.72,-2.097
1958.125,-4.609,-1.528
1958.208,-4.664,-1.869
1958.292,-4.598,-1.331
1958.375,-4.561,-1.643
1958.458,-4.508,-1.72
1958.542,-4.568,-2.099
1958.625,-4.586,-2.046
1958.708,-4.524,-2.036
1958.792,-4.521,-2.163
1958.875,-4.554,-2.248
1958.958,-4.439,-1.651
1959.042,-4.5,-2.274
1959.125,-4.629,-2.517
1959.208,-4.335,-1.338
1959.292,-4.225,-0.541
1959.375,-4.466,-1.39
1959.458,-4.662,-1.699
1959.542,-4.613,-2.007
1959.625,-4.731,-1.981
1959.708,-4.596,-2.147
1959.792,-4.537,-2.285
1959.875,-4.417,-2.501
1959.958,-4.403,-2.513
1960.042,-4.321,-2.297
1960.125,-4.412,-2.267
1960.208,-4.092,-1.3
1960.292,-3.937,-0.03
1960.375,-4.465,-1.816
1960.458,-4.51,-1.951
1960.542,-4.471,-2.022
1960.625,-4.486,-2.106
1960.708,-4.414,-2.044
1960.792,-4.386,-1.663
1960.875,-4.398,-2.093
1960.958,-4.341,-2.216
1961.042,-4.465,-2.363
1961.125,-4.442,-2.139
1961.208,-4.015,-0.769
1961.292,-4.137,-0.631
1961.375,-4.475,-1.581
1961.458,-4.456,-1.58
1961.542,-4.397,-1.711
1961.625,-4.477,-1.985
1961.708,-4.432,-2.193
1961.792,-4.299,-2.313
1961.875,-4.298,-2.292
1961.958,-4.371,-2.655
1962.042,-4.548,-2.363
1962.125,-4.415,-2.34
1962.208,-4.361,-2.395
1962.292,-4.357,-1.386
1962.375,-4.476,-1.843
1962.458,-4.594,-1.822
1962.542,-4.448,-1.915
1962.625,-4.335,-2.131
1962.708,-4.33,-2.128
1962.792,-4.403,-2.352
1962.875,-4.392,-2.381
1962.958,-4.33,-2.161
1963.042,-4.42,-2.319
1963.125,-4.424,-2.169
1963.208,-4.322,-1.745
1963.292,-3.956,-0.331
1963.375,-4.409,-1.066
1963.458,-4.661,-2.274
1963.542,-4.667,-2.187
1963.625,-4.625,-2.018
1963.708,-4.686,-1.961
1963.792,-4.64,-2.274
1963.875,-4.644,-2.342
1963.958,-4.543,-2.458
1964.042,-4.498,-2.527
1964.125,-4.452,-2.558
1964.208,-4.497,-2.331
1964.292,-4.509,-2.344
1964.375,-4.46,-2.097
1964.458,-4.392,-2.228
1964.542,-4.422,-2.117
1964.625,-4.371,-2.066
1964.708,-4.274,-1.913
1964.792,-4.22,-2.048
1964.875,-4.222,-2.14
1964.958,-4.297,-2.281
1965.042,-4.209,-2.136
1965.125,-4.08,-1.346
1965.208,-4.035,-0.979
1965.292,-4.145,-0.774
1965.375,-4.537,-1.433
1965.458,-4.722,-2.195
1965.542,-4.793,-2.205
1965.625,-4.768,-2.039
1965.708,-4.702,-2.141
1965.792,-4.699,-2.263
1965.875,-4.513,-2.25
1965.958,-4.581,-2.264
1966.042,-4.434,-2.036
1966.125,-4.575,-2.216
1966.208,-4.402,-1.905
1966.292,-4.038,-0.988
1966.375,-4.363,-1.71
1966.458,-4.373,-1.609
1966.542,-4.316,-1.777
1966.625,-4.395,-1.911
1966.708,-4.364,-1.759
1966.792,-4.282,-2.074
1966.875,-4.16,-2.057
1966.958,-4.228,-2.332
1967.042,-4.244,-2.406
1967.125,-4.191,-2.256
1967.208,-3.961,-1.395
1967.292,-3.949,-0.689
1967.375,-4.338,-1.807
1967.458,-4.463,-1.601
1967.542,-4.47,-1.698
1967.625,-4.562,-1.945
1967.708,-4.514,-2.069
1967.792,-4.382,-2.403
1967.875,-4.306,-2.383
1967.958,-4.283,-2.324
1968.042,-4.318,-2.576
1968.125,-4.271,-2.205
1968.208,-4.016,-1.823
1968.292,-3.987,-1.03
1968.375,-4.34,-1.495
1968.458,-4.563,-1.808
1968.542,-4.6,-1.755
1968.625,-4.578,-1.912
1968.708,-4.608,-1.913
1968.792,-4.631,-2.212
1968.875,-4.706,-2.222
1968.958,-4.584,-2.409
1969.042,-4.634,-2.483
1969.125,-4.593,-2.524
1969.208,-4.558,-2.179
1969.292,-4.075,-0.865
1969.375,-4.472,-2.341
1969.458,-4.576,-2.244
1969.542,-4.598,-2.138
1969.625,-4.631,-2.097
1969.708,-4.591,-2.386
1969.792,-4.61,-2.43
1969.875,-4.59,-2.711
1969.958,-4.442,-2.234
1970.042,-4.596,-2.3
1970.125,-4.543,-2.788
1970.208,-4.494,-2.497
1970.292,-4.152,-1.807
1970.375,-4.458,-2.816
1970.458,-4.289,-2.468
1970.542,-4.286,-2.564
1970.625,-4.169,-2.535
1970.708,-4.185,-2.88
1970.792,-4.263,-2.779
1970.875,-4.118,-2.511
1970.958,-4.145,-2.71
1971.042,-4.193,-2.739
1971.125,-4.245,-2.907
1971.208,-4.013,-2.177
1971.292,-4,-1.366
1971.375,-4.335,-2.108
1971.458,-4.407,-2.218
1971.542,-4.479,-2.704
1971.625,-4.29,-2.496
1971.708,-4.347,-2.845
1971.792,-4.326,-2.955
1971.875,-4.395,-2.78
1971.958,-4.361,-2.798
1972.042,-4.351,-2.799
1972.125,-4.241,-2.339
1972.208,-4.18,-2.229
1972.292,-4.181,-1.214
1972.375,-4.695,-2.24
1972.458,-4.734,-2.421
1972.542,-4.704,-2.552
1972.625,-4.909,-2.349
1972.708,-5.06,-2.527
1972.792,-5.029,-2.872
1972.875,-4.835,-2.625
1972.958,-4.796,-2.775
1973.042,-4.617,-2.654
1973.125,-4.371,-2.603
1973.208,-4.483,-2.456
1973.292,-4.544,-2.407
1973.375,-4.404,-2.66
1973.458,-4.204,-2.937
1973.542,-4.308,-2.852
1973.625,-4.137,-2.631
1973.708,-4.039,-2.312
1973.792,-4.085,-2.499
1973.875,-4.072,-2.582
1973.958,-4.113,-2.587
1974.042,-4.228,-2.229
1974.125,-4.092,-2.031
1974.208,-4.138,-2.253
1974.292,-3.991,-1.517
1974.375,-4.134,-1.474
1974.458,-4.433,-2.186
1974.542,-4.374,-2.036
1974.625,-4.425,-2.412
1974.708,-4.453,-2.565
1974.792,-4.413,-2.573
1974.875,-4.357,-2.613
1974.958,-4.278,-2.508
1975.042,-4.375,-2.615
1975.125,-4.295,-2.463
1975.208,-4.021,-1.871
1975.292,-3.761,-1.085
1975.375,-3.977,-1.521
1975.458,-4.285,-2.105
1975.542,-4.205,-2.07
1975.625,-4.232,-2.335
1975.708,-4.283,-2.733
1975.792,-4.282,-2.967
1975.875,-4.263,-3.022
1975.958,-4.275,-2.821
1976.042,-4.264,-2.738
1976.125,-4.309,-2.93
1976.208,-4.26,-2.553
1976.292,-3.917,-1.029
1976.375,-4.59,-2.196
1976.458,-4.69,-2.852
1976.542,-4.651,-2.456
1976.625,-4.664,-2.46
1976.708,-4.723,-2.708
1976.792,-4.68,-3.041
1976.875,-4.731,-3.237
1976.958,-4.6,-3.126
1977.042,-4.527,-3.18
1977.125,-4.561,-2.734
1977.208,-4.526,-2.577
1977.292,-4.089,-0.461
1977.375,-4.616,-2.319
1977.458,-4.639,-2.281
1977.542,-4.671,-2.222
1977.625,-4.736,-2.459
1977.708,-4.695,-2.638
1977.792,-4.794,-2.582
1977.875,-4.63,-2.766
1977.958,-4.599,-2.971
1978.042,-4.624,-3.035
1978.125,-4.658,-3.181
1978.208,-4.709,-2.798
1978.292,-4.557,-2.769
1978.375,-4.602,-2.72
1978.458,-4.467,-2.427
1978.542,-4.462,-2.471
1978.625,-4.482,-2.661
1978.708,-4.566,-2.572
1978.792,-4.483,-2.813
1978.875,-4.53,-2.829
1978.958,-4.483,-2.593
1979.042,-4.486,-2.507
1979.125,-4.453,-2.793
1979.208,-4.399,-2.908
1979.292,-3.968,-0.846
1979.375,-4.505,-2.021
1979.458,-4.756,-2.438
1979.542,-4.714,-2.417
1979.625,-4.744,-2.816
1979.708,-4.745,-2.76
1979.792,-4.695,-2.661
1979.875,-4.556,-2.796
1979.958,-4.552,-2.719
1980.042,-4.451,-2.482
1980.125,-4.477,-2.562
1980.208,-4.485,-2.529
1980.292,-3.883,-0.432
1980.375,-4.261,-1.494
1980.458,-4.594,-2.334
1980.542,-4.69,-2.23
1980.625,-4.702,-2.249
1980.708,-4.717,-2.441
1980.792,-4.742,-2.846
1980.875,-4.738,-2.857
1980.958,-4.647,-2.872
1981.042,-4.452,-2.658
1981.125,-4.596,-2.491
1981.208,-4.552,-2.361
1981.292,-4.17,-1.062
1981.375,-4.407,-2.092
1981.458,-4.545,-2.433
1981.542,-4.601,-2.297
1981.625,-4.621,-2.526
1981.708,-4.591,-2.423
1981.792,-4.295,-2.409
1981.875,-4.568,-2.315
1981.958,-4.411,-2.877
1982.042,-4.535,-2.891
1982.125,-4.667,-2.86
1982.208,-4.535,-2.242
1982.292,-4.111,-0.632
1982.375,-4.605,-1.706
1982.458,-4.791,-1.685
1982.542,-4.75,-1.33
1982.625,-4.583,-1.621
1982.708,-4.781,-1.747
1982.792,-5.107,-2.1
1982.875,-5.05,-1.666
1982.958,-5.074,-1.842
1983.042,-5.017,-1.969
1983.125,-5.113,-2.36
1983.208,-5.072,-2.083
1983.292,-5.012,-2.154
1983.375,-4.944,-2.326
1983.458,-4.76,-2.34
1983.542,-4.659,-2.227
1983.625,-4.52,-2.42
1983.708,-4.479,-2.5
1983.792,-4.471,-2.717
1983.875,-4.436,-2.768
1983.958,-4.432,-2.505
1984.042,-4.392,-2.305
1984.125,-4.455,-2.602
1984.208,-4.359,-2.225
1984.292,-3.93,-0.596
1984.375,-4.245,-1.16
1984.458,-4.573,-2.104
1984.542,-4.606,-2.449
1984.625,-4.561,-2.824
1984.708,-4.563,-2.929
1984.792,-4.433,-2.697
1984.875,-4.43,-3.143
1984.958,-4.327,-2.658
1985.042,-4.359,-2.608
1985.125,-4.421,-2.596
1985.208,-4.456,-2.357
1985.292,-4.041,-0.856
1985.375,-4.543,-2.019
1985.458,-4.671,-2.461
1985.542,-4.641,-2.399
1985.625,-4.562,-2.4
1985.708,-4.684,-2.453
1985.792,-4.755,-2.711
1985.875,-4.589,-2.953
1985.958,-4.372,-2.761
1986.042,-4.602,-2.991
1986.125,-4.701,-2.504
1986.208,-4.48,-1.803
1986.292,-4.335,-0.981
1986.375,-4.857,-2.028
1986.458,-5.045,-2.252
1986.542,-5.006,-2.45
1986.625,-4.975,-2.373
1986.708,-4.965,-2.293
1986.792,-4.87,-2.582
1986.875,-4.863,-2.746
1986.958,-4.761,-2.869
1987.042,-4.844,-2.345
1987.125,-4.853,-2.482
1987.208,-4.828,-2.591
1987.292,-4.336,-0.279
1987.375,-4.799,-1.82
1987.458,-4.969,-1.89
1987.542,-5.077,-2.574
1987.625,-5.067,-2.953
1987.708,-4.958,-3.023
1987.792,-5.021,-2.834
1987.875,-4.723,-2.968
1987.958,-4.72,-3.349
1988.042,-4.703,-3.183
1988.125,-4.488,-2.13
1988.208,-4.558,-2.305
1988.292,-4.486,-1.958
1988.375,-4.534,-2.499
1988.458,-4.46,-2.242
1988.542,-4.338,-2.7
1988.625,-4.192,-3.056
