year (AD),d18O (permil)
1992,-3.34
1991,-3.28
1990,-3.34
1989,-3.18
1988,-3.52
1987,-3.71
1986,-3.49
1985,-3.29
1984,-3.26
1983,-3.48
1982,-3.48
1981,-3.7
1980,-3.12
1979,-3.13
1978,-3.34
1977,-3.48
1976,-3.22
1975,-3.12
1974,-2.91
1973,-3.18
1972,-3.19
1971,-3.34
1970,-3.64
1969,-3.74
1968,-3.71
1967,-3.59
1966,-3.67
1965,-3.74
1964,-3.88
1963,-3.56
1962,-3.89
1961,-3.76
1960,-4.25
1959,-3.66
1958,-3.77
1957,-4.11
1956,-4.14
1955,-3.96
1954,-4.04
1953,-3.87
1952,-3.9
1951,-3.72
1950,-3.4
1949,-3.35
1948,-3.12
1947,-3.02
1946,-3.04
1945,-2.97
1944,-2.97
1943,-3.11
1942,-3.75
1941,-4.09
1940,-3.56
1939,-3.57
