year (AD),d18O (permil)
1995,-14.3847
1994,-15.7841
1993,-17.0533
1992,-17.0825
1991,-16.39
1990,-16.9133
1989,-18.7938
1988,-18.8645
1987,-18.6275
1986,-16.382
1985,-14.0578
1984,-17.163
1983,-18.3
1982,-18.3994
1981,-17.2313
1980,-17.1531
1979,-16.9722
1978,-16.8421
1977,-16.8593
1976,-17.3762
1975,-18.0308
1974,-18
1973,-15.9955
1972,-17.1777
1971,-17.0809
1970,-18.4617
1969,-17.465
1968,-17.6983
1967,-17.7856
1966,-18.7383
1965,-18.0233
1964,-17.9283
1963,-16.9909
1962,-16.5617
1961,-17.0456
1960,-17.0533
1959,-17.518
1958,-15.9979
1957,-17.1509
1956,-16.8
1955,-15.55
1954,-15.9957
1953,-16.0275
1952,-17.0133
1951,-14.6058
1950,-16.978
1949,-16.435
1948,-17.4035
1947,-17.0389
1946,-16.5285
1945,-16.0075
1944,-16.073
1943,-16.7573
1942,-16.8487
1941,-18.1322
1940,-17.4893
1939,-16.772
1938,-16.7214
1937,-16.5044
1936,-15.43
1935,-15.9911
1934,-16.7444
1933,-15.1006
1932,-16.81
1931,-16.77
1930,-15.1813
1929,-15.4991
1928,-16.9992
1927,-17.8043
1926,-15.9417
1925,-16.988
1924,-17.9337
1923,-16.4318
1922,-17.4482
1921,-15.7456
1920,-15.24
1919,-16.1942
1918,-16.2022
1917,-18.3981
1916,-18.3712
1915,-17.8714
1914,-17.1467
1913,-16.0069
1912,-16.8917
1911,-15.76
1910,-17.1375
1909,-16.9583
1908,-17.986
1907,-18.7747
1906,-18.6816
1905,-19.1989
1904,-19.9144
1903,-19.768
1902,-21.8333
1901,-20.9
1900,-18.6639
1899,-18.8228
1898,-18.523
1897,-17.6171
1896,-17.6822
1895,-18.045
1894,-19.8977
1893,-19.9371
1892,-18.7478
1891,-17.3554
1890,-18.81
1889,-18.74
1888,-17.4274
1887,-18.608
1886,-18.8919
1885,-18.8229
1884,-19.6494
1883,-20.408
1882,-19.0229
1881,-18.8258
1880,-19.9487
1879,-19.3019
1878,-20.2917
1877,-19.6941
1876,-19.3783
1875,-18.2275
1874,-18.0675
1873,-17
1872,-17.1625
1871,-17.936
1870,-18.7281
1869,-20.1286
1868,-17.7258
1867,-18.5919
1866,-19.37
1865,-19.208
1864,-20.164
1863,-17.4661
1862,-19.6911
1861,-17.8686
1860,-18.4443
1859,-20.1244
1858,-19.6927
1857,-19.2678
1856,-18.33
1855,-17.9675
1854,-18.7621
1853,-19.31
1852,-17.7836
1851,-17.6279
1850,-18.9838
1849,-19.721800000000002
1848,-19.1364
1847,-18.2922
1846,-18.6523
1845,-17.7368
1844,-19.28
1843,-19.1192
1842,-20.8918
1841,-18.9839
1840,-18.472
1839,-19
1838,-20.7207
1837,-20.1623
1836,-21.3593
1835,-20.5742
1834,-20.324
1833,-19.285
1832,-19.69
1831,-18.7794
1830,-18.6355
1829,-17.3263
1828,-19.162
1827,-20.2372
1826,-20.3438
1825,-16.9959
1824,-17.62
1823,-19.03
1822,-19.625
1821,-17.8047
1820,-20.0047
1819,-20.9747
1818,-21.5707
1817,-22.2973
1816,-21.9994
1815,-21.9943
1814,-20.162
1813,-18.71
1812,-20.8529
1811,-19.9444
1810,-20.11
1809,-19.1783
1808,-21.701
1807,-19.5169
1806,-18.6208
1805,-19.1
1804,-19.7036
1803,-19.4914
1802,-20.3914
1801,-21.1127
1800,-19.466
1799,-19.1867
1798,-18.4544
1797,-18.1571
1796,-18.1655
1795,-19.9488
1794,-19.67
1793,-20.4258
1792,-21.159
1791,-20.9023
1790,-19.9575
1789,-20.48
1788,-19.6557
1787,-20.7
1786,-21.16
1785,-19.96
1784,-21.4725
1783,-20.6571
1782,-20.5377
1781,-20.6976
1780,-20.8918
1779,-19.1293
1778,-18.03
1777,-19.5746
1776,-20.7092
1775,-20.8444
1774,-20.2226
1773,-19.8345
1772,-21.5111
1771,-19.5175
1770,-21.8718
1769,-22.0209
1768,-22.0118
1767,-18.4071
1766,-19.2938
1765,-21.4311
1764,-19.2342
1763,-19.805
1762,-19.9675
1761,-19.6818
1760,-18.466
1759,-20.0925
1758,-22.147
1757,-19.5106
1756,-19.2318
1755,-19.1847
1754,-20.3657
1753,-18.9127
1752,-16.6347
1751,-17.6506
1750,-18.9627
1749,-17.1444
1748,-19.4956
1747,-19.4764
1746,-16.51
1745,-18.1
1744,-18.1791
1743,-19.2838
1742,-20.141
1741,-18.5192
1740,-19.3956
1739,-19.4167
1738,-20.2615
1737,-21.0383
1736,-19.4621
1735,-17.5657
1734,-18.2593
1733,-20.0271
1732,-19.215
1731,-18.0232
1730,-18.9658
1729,-19.1755
1728,-19.7324
1727,-19.3509
1726,-18.777
1725,-17.8367
1724,-18.7433
1723,-17.585
1722,-19.6367
1721,-18.4183
1720,-19.0876
1719,-20.0742
1718,-20.4955
1717,-18.9833
1716,-18.1254
1715,-18.4164
1714,-17.75
1713,-18.4822
1712,-19.1843
1711,-19.7178
1710,-18.957
1709,-19.6527
1708,-19.7907
1707,-20.8677
1706,-22.6214
1705,-20.4443
1704,-19.601
1703,-18.28
1702,-18.5389
1701,-18.8518
1700,-19.602
1699,-19.9244
1698,-19.813
1697,-19.3777
1696,-18.7522
1695,-18.6933
1694,-19.42
1693,-19.2147
1692,-19.83
1691,-20.0493
1690,-20.7989
1689,-20.7259
1688,-20.5259
1687,-17.8507
1686,-18.4386
1685,-18.3753
1684,-17.1807
1683,-18.3894
1682,-20.6443
1681,-18.895
1680,-17
1679,-17.288
1678,-19.2938
1677,-17.792
1676,-19.8386
1675,-20.0693
1674,-18.9065
1673,-18.8225
1672,-19.0225
1671,-19.6187
1670,-18.71
1669,-20.0756
1668,-21.2344
1667,-20.1943
1666,-18.9838
1665,-18.0027
1664,-21.0333
1663,-18.6707
1662,-21.04
1661,-20.8279
1660,-20.574
1659,-20.175
1658,-21.9545
1657,-17.8382
1656,-18.5212
1655,-18.9467
1654,-19.436
1653,-18.7911
1652,-17.5023
1651,-17.58
1650,-18.1887
1649,-19.3993
1648,-21.3089
1647,-19.6088
1646,-17.2427
1645,-17.9271
1644,-17.9418
1643,-17.9111
1642,-17.5897
1641,-17.9118
1640,-17.9815
1639,-17.6123
1638,-18.8461
1637,-17.4014
1636,-18.1857
1635,-18.6013
1634,-18.7283
1633,-18.6558
1632,-19.3918
1631,-17.3386
1630,-18.1801
1629,-19.8932
1628,-17.3109
1627,-17.2979
1626,-18.0841
1625,-18.2264
1624,-19.3149
1623,-19.0918
1622,-19.5854
1621,-19.8422
1620,-19.4043
1619,-20.4914
1618,-18.2737
1617,-19.2144
1616,-21.2056
1615,-21.5927
1614,-21.5069
1613,-19.5891
1612,-19.5562
1611,-21.5564
1610,-20.5686
1609,-19.8917
1608,-20.4047
1607,-19.535
1606,-19.5542
1605,-18.7993
1604,-20.4591
1603,-20.6691
1602,-20.5357
1601,-19.7178
1600,-18.4118
1599,-18.833
1598,-19.3257
1597,-20.5425
1596,-17.7022
1595,-16.12
1594,-18.83
1593,-20.7857
1592,-19.1318
1591,-18.1144
1590,-18.45
1589,-18.6033
1588,-20.9725
1587,-19.9367
1586,-20.4589
1585,-21.68
1584,-22.34
1583,-19.0736
1582,-18.9307
1581,-21.0188
1580,-21.8536
1579,-22.7408
1578,-20.9509
1577,-19.4335
1576,-17.6008
1575,-17.328
1574,-18.3433
1573,-19.3433
1572,-20.3878
1571,-21.2889
1570,-19.1424
1569,-18.7675
1568,-16.72
1567,-15.3627
1566,-15.44
1565,-17.6156
1564,-18.6308
1563,-19.2644
1562,-18.7387
1561,-17.6858
1560,-18.5482
1559,-18.9744
1558,-20.5413
1557,-20.035
1556,-19.6831
1555,-18.433
1554,-18.62
1553,-19.0179
1552,-19.57
1551,-20.092
1550,-18.6211
1549,-17.8762
1548,-19.5471
1547,-19.5467
1546,-19.4236
1545,-19.5464
1544,-21.3314
1543,-18.3921
1542,-19.0985
1541,-20.0918
1540,-19.4885
1539,-19.0948
1538,-17.5294
1537,-16.894
1536,-17.0538
1535,-18.0256
1534,-18
1533,-18.7633
1532,-18.676
1531,-18.0455
1530,-19.3409
1529,-20.097
1528,-18.56
1527,-20.6038
1526,-20.2075
1525,-19.6462
1524,-19.729
1523,-18.7745
1522,-18.4133
1521,-17.4994
1520,-17.0967
1519,-16.7647
1518,-17.1055
1517,-18.3171
1516,-17.5657
1515,-18.5415
1514,-18.4118
1513,-20.4337
1512,-19.8015
1511,-18.4771
1510,-19.5411
1509,-19.89
1508,-18.76
1507,-18.72
1506,-17.7413
1505,-17.1312
1504,-18.8457
1503,-18.525
1502,-17.9706
1501,-18.3
1500,-17.7246
1499,-17.0718
1498,-19.495
1497,-21.516
1496,-20.13
1495,-20.2409
1494,-20.62
1493,-19.8546
1492,-19.9814
1491,-18.735
1490,-18.4131
1489,-17.9408
1488,-19.5787
1487,-18.1091
1486,-18.8243
1485,-20.1388
1484,-20.4373
1483,-19.4254
1482,-19.3517
1481,-18.6478
1480,-18.635
1479,-17.3421
1478,-18.1929
1477,-20.5133
1476,-19.75
1475,-19.9887
1474,-20.6887
1473,-19.9256
1472,-21.6533
1471,-20.5133
1470,-20.5033
1469,-22.24
1468,-21.7223
1467,-21.3825
1466,-19.3382
1465,-19.7063
1464,-19.178
1463,-20.5782
1462,-19.4692
1461,-18.1962
1460,-17.4267
1459,-18.0677
1458,-19.4333
1457,-19.3
1456,-19.02
1455,-19.28
1454,-20.5936
1453,-20.1611
1452,-20.5543
1451,-21.32
1450,-19.6129
1449,-20.2357
1448,-18.917
1447,-19.3178
1446,-19.7543
1445,-19.1364
1444,-18.4878
1443,-16.0819
1442,-18.0987
1441,-18.8467
1440,-17.3545
1439,-17.5489
1438,-18.4775
1437,-19.03
1436,-20.2667
1435,-20.1193
1434,-20.1075
1433,-19.0208
1432,-18.6407
1431,-20.3575
1430,-15.7214
1429,-16.351
1428,-18.4008
1427,-18.732
1426,-17.029
1425,-17.2744
1424,-17.4731
1423,-18.435
1422,-18.486
1421,-20.515
1420,-18.6709
1419,-17.7037
1418,-19.4089
1417,-18.5243
1416,-20.092
1415,-18.4865
1414,-19.7662
1413,-19.4056
1412,-18.3215
1411,-19.8083
1410,-18.8789
1409,-20.3419
1408,-19.9262
1407,-20.52
1406,-21.7124
1405,-20.7331
1404,-20.9844
1403,-20.4962
1402,-19.691
1401,-19.2011
1400,-19.0736
1399,-19.8517
1398,-22.563
1397,-21.9342
1396,-19.2825
1395,-19.37
1394,-17.5394
1393,-18.012
1392,-19.177
1391,-19.3144
1390,-19.227
1389,-19.18
1388,-20.7411
1387,-20.96
1386,-20.5757
1385,-21.1391
1384,-19.5445
1383,-18.572
1382,-16.9583
1381,-16.045
1380,-16.9467
1379,-17.0572
1378,-18.5386
1377,-18.763
1376,-15.6856
1375,-17.0511
1374,-15.648
1373,-15.4173
1372,-17.263
1371,-19.06
1370,-17.5544
1369,-18.3029
1368,-18.4342
1367,-17.2657
1366,-18.5611
1365,-19.0411
1364,-18.8391
1363,-17.6292
1362,-17.0329
1361,-19.5314
1360,-18.1744
1359,-17.4967
1358,-17.59
1357,-16.2354
1356,-16.971
1355,-17.7233
1354,-16.62
1353,-16.4229
1352,-16.0654
1351,-16.5222
1350,-18.1733
1349,-19.4471
1348,-17.826
1347,-16.9278
1346,-16.426
1345,-17.5347
1344,-18.612
1343,-19.1833
1342,-20.5813
1341,-19.5229
1340,-17.281
1339,-17.7886
1338,-18.5357
1337,-19.404
1336,-18.92
1335,-20.0477
1334,-20.1867
1333,-21.62
1332,-18.71
1331,-18.8743
1330,-18.2437
1329,-18.1383
1328,-17.1657
1327,-18.8878
1326,-19.7044
1325,-21.185
1324,-17.37
1323,-18.87
1322,-19.6036
1321,-19.265
1320,-18.85
1319,-18.985
1318,-19.5264
1317,-19.7423
1316,-20.6167
1315,-21.506
1314,-19.959
1313,-21.4638
1312,-18.9543
1311,-19.3273
1310,-18.6617
1309,-18.0475
1308,-18.6757
1307,-18.24
1306,-18.2862
1305,-19.6543
1304,-20.485
1303,-19.658
1302,-19.2033
1301,-20.9586
1300,-19.2193
1299,-19.7138
1298,-17.01
1297,-18.3188
1296,-18.8011
1295,-17.3856
1294,-17.27
1293,-18.3233
1292,-18.7983
1291,-19.246
1290,-18.79
1289,-19.3087
1288,-19.3564
1287,-17.764
1286,-18.9517
1285,-18.845
1284,-18.2957
1283,-17.9517
1282,-18.0883
1281,-19.7
1280,-19.404
1279,-19.1909
1278,-20.026
1277,-15.3236
1276,-17.3533
1275,-19.4143
1274,-18.6908
1273,-19.9489
1272,-19.9675
1271,-19.8244
1270,-20.0975
1269,-22.1156
1268,-21.6031
1267,-21.494
1266,-19.928
1265,-21.34
1264,-21.0257
1263,-18.0167
1262,-18.58
1261,-18.5662
1260,-18.5333
1259,-19.4775
1258,-20.64
1257,-19.718
1256,-18.0282
1255,-20.185
1254,-20.5125
1253,-18.056
1252,-16.914
1251,-18.5333
1250,-18.0045
1249,-19.5169
1248,-21.3113
1247,-21.0413
1246,-20.965
1245,-18.9812
1244,-18.7254
1243,-19.4343
1242,-19.682
1241,-18.9633
1240,-18.275
1239,-18.3771
1238,-18.6843
1237,-19.9258
1236,-19.9415
1235,-18.4917
1234,-18.6537
1233,-19.998
1232,-17.6277
1231,-18.6429
1230,-20.2963
1229,-20.117
1228,-20.37
1227,-19.2233
1226,-19.9244
1225,-18.7583
