year (AD),depth (m),d18O (permil)
1940,NA,-27.36
1920,NA,-26.99
1900,NA,-27.17
1880,NA,-27.8
1860,NA,-28.49
1840,NA,-27.96
1820,NA,-27.99
1800,NA,-28.07
1780,NA,-27.8
1760,NA,-27.62
1740,NA,-28.34
1720,NA,-27.82
1700,NA,-28.76
1680,NA,-28.6
1660,NA,-27.83
1640,NA,-28.17
1620,NA,-27.7
1600,NA,-28.06
1580,NA,-27.85
1560,NA,-28.34
1540,NA,-27.71
1520,NA,-28.07
1500,NA,-28.19
1480,NA,-27.94
1460,NA,-27.19
1440,NA,-27.49
1420,NA,-27.85
1400,NA,-28.06
1380,NA,-27.75
1360,NA,-27.6
1340,NA,-27.97
1320,NA,-28.43
1300,NA,-27.26
1280,NA,-28.27
1260,NA,-27.91
1240,NA,-27.99
1220,NA,-27.8
1200,NA,-28.18
1180,NA,-27.37
1160,NA,-28.12
1140,NA,-26.74
1120,NA,-27.28
1100,NA,-27.92
1080,NA,-28.25
1060,NA,-27.76
1040,NA,-27.48
1020,NA,-27.69
1000,NA,-27.82
980,NA,-27.61
960,NA,-27.4
940,NA,-27.85
920,NA,-27.03
900,NA,-28
880,NA,-27.32
860,NA,-26.8
840,NA,-27.09
820,NA,-28.03
800,NA,-27.29
780,NA,-26.97
760,NA,-27.76
740,NA,-27.53
720,NA,-28.15
700,NA,-27.55
680,NA,-26.48
660,NA,-26.85
640,NA,-27.67
620,NA,-28.01
600,NA,-27.88
580,NA,-27.58
560,NA,-28.05
540,NA,-27.61
520,NA,-27.86
500,NA,-27.6
480,NA,-27.6
460,NA,-27.25
440,NA,-27.2
420,NA,-27.11
400,NA,-27
380,NA,-27.71
360,NA,-27.46
340,NA,-27.65
320,NA,-27.17
300,NA,-27.41
280,NA,-27.23
260,NA,-27.29
240,NA,-26.51
220,NA,-27.19
200,NA,-26.9
180,NA,-27.08
160,NA,-27.59
140,NA,-28.22
120,NA,-27.56
100,NA,-27.18
80,NA,-27.43
60,NA,-27.74
40,NA,-27.76
20,NA,-29
0,NA,-27.31
-20,NA,-27.56
-40,NA,-26.73
-60,NA,-27.3
-80,NA,-26.54
-100,NA,-27.33
-120,NA,-27.39
-140,NA,-27.75
-160,NA,-27.72
-180,NA,-27
-200,NA,-27.32
-220,NA,-27.79
-240,NA,-27.39
-260,NA,-27.83
-280,NA,-27.94
-300,NA,-28.11
-320,NA,-28.16
-340,NA,-26.51
-360,NA,-26.49
-380,NA,-26.87
-400,NA,-27.08
-420,NA,-27.16
-440,NA,-27.18
-460,NA,-27.22
-480,NA,-27.21
-500,NA,-27.41
-520,NA,-26.78
-540,NA,-27.07
-560,NA,-26.69
-580,NA,-27.26
-600,NA,-27.9
-620,NA,-28.33
-640,NA,-28.72
-660,NA,-27.57
-680,NA,-28.54
-700,NA,-27.25
-720,NA,-27.1
-740,NA,-27.05
-760,NA,-26.56
-780,NA,-26.55
-800,NA,-27.79
-820,NA,-27.17
-840,NA,-27.53
-860,NA,-27.81
-880,NA,-26.95
-900,NA,-26.71
-920,NA,-27.02
-940,NA,-26.53
-960,NA,-26.79
-980,NA,-26.5
-1000,NA,-27.22
-1020,NA,-27.22
-1040,NA,-26.69
-1060,NA,-27.45
-1080,NA,-25.87
-1100,NA,-27.36
-1120,NA,-27.53
-1140,NA,-27.61
-1160,NA,-26.31
-1180,NA,-26.98
-1200,NA,-26.82
-1220,NA,-26.7
-1240,NA,-26.2
-1260,NA,-27.25
-1280,NA,-26.99
-1300,NA,-26.83
-1320,NA,-26.78
