year (AD),dD (permil)
2006,-245.287640449438
2005,-199.6953125
2004,-181.505263157895
2003,-224.039436619718
2002,-202.883333333333
2001,-224.085714285714
2000,-213.227118644068
1999,-225.358974358974
1998,-197.659375
1997,-204.481756756757
1996,-217.39693877551
1995,-221.887755102041
1994,-218.141176470588
1993,-212.395652173913
1992,-173.55
1991,-185.745833333333
1990,-183.019607843137
1989,-212.74224137931
1988,-223.51724137931
1987,-219.392957746479
1986,-216.613333333333
1985,-211.677777777778
1984,-213.512244897959
1983,-210.753125
1982,-173.288888888889
1981,-200.584337349398
1980,-209.275
1979,-179.493617021277
1978,-187.422340425532
1977,-181.036065573771
1976,-206.51
1975,-215.114
1974,-195.661538461539
1973,-210.62987012987
1972,-189.7225
1971,-201.885416666667
1970,-198.575490196078
1969,-196.225373134328
1968,-176.988372093023
1967,-189.170555555556
1966,-197.176595744681
1965,-182.038888888889
1964,-219.488636363636
1963,-219.860377358491
1962,-186.825
1961,-198.488888888889
1960,-189.504347826087
1959,-186.758823529412
1958,-185.943396226415
1957,-210.142666666667
1956,-197.262
1955,-196.294444444444
1954,-203.321428571429
1953,-206.931
1952,-216.991666666667
1951,-195.666666666667
1950,-201.3390625
1949,-226.279310344828
1948,-208.694285714286
1947,-219.432142857143
1946,-206.914705882353
1945,-210.330909090909
1944,-207.048387096774
1943,-180.512
1942,-213.728070175439
1941,-208.962790697674
1940,-192.982
1939,-213.768292682927
1938,-194.065853658537
1937,-196.025531914894
1936,-205.852
1935,-192.132142857143
1934,-225.178571428571
1933,-220.26
1932,-215.079487179487
1931,-193.951428571428
1930,-198.989130434783
1929,-216.955319148936
1928,-232.67
1927,-178.691176470588
1926,-197.961224489796
1925,-212.583333333333
1924,-192.21935483871
1923,-189.326923076923
1922,-179.876470588235
1921,-210.4875
1920,-188.7
1919,-196.466666666667
1918,-203.654
1917,-209.866666666667
1916,-199.9625
1915,-208.728888888889
1914,-221.778260869565
1913,-210.659677419355
1912,-183.987272727273
1911,-209.071428571429
1910,-168.626086956522
1909,-201.112195121951
1908,-192.693548387097
1907,-204.068292682927
1906,-206.225714285714
1905,-216.903703703704
1904,-213.024
1903,-216.04375
1902,-198.649180327869
1901,-179.021052631579
1900,-211.231428571429
1899,-203.373913043478
1898,-198.803225806452
1897,-211.410638297872
1896,-218.961904761905
1895,-206.590322580645
1894,-184.671111111111
1893,-187.191304347826
1892,-210.876451612903
1891,-201.167857142857
1890,-211.565625
1889,-215.670731707317
1888,-205.98275862069
1887,-211.855555555556
1886,-208.134375
1885,-197.143243243243
1884,-177.576470588235
1883,-198.051282051282
1882,-195.947368421053
