year (AD),d18O (permil),depthice (m),depthwe (m),Accumulation rate ice (kg/m2/yr) (kg/m2/yr)
1994,-34.3,0.49,0.16,165
1993,-34.2,0.97,0.33,165
1992,-35.2,1.44,0.49,165
1991,-37.7,1.9,0.66,165
1990,-35.9,2.35,0.82,165
1989,-34.2,2.8,0.99,165
1988,-34.6,3.23,1.15,165
1987,-34.2,3.67,1.32,165
1986,-35.2,4.09,1.48,165
1985,-32.4,4.51,1.65,165
1984,-35.7,4.92,1.81,165
1983,-34.3,5.33,1.98,165
1982,-33.4,5.73,2.14,165
1981,-32.5,6.13,2.31,165
1980,-34.8,6.53,2.47,165
1979,-32.4,6.91,2.64,165
1978,-33.4,7.3,2.8,165
1977,-34.4,7.68,2.97,165
1976,-33.7,8.05,3.13,165
1975,-33.4,8.43,3.3,165
1974,-31.2,8.8,3.46,165
1973,-30,9.16,3.63,165
1972,-32.1,9.52,3.79,165
1971,-30.4,9.88,3.96,165
1970,-34.7,10.24,4.12,165
1969,-31.9,10.59,4.29,165
1968,-33.9,10.94,4.45,165
1967,-36.5,11.29,4.62,165
1966,-33,11.63,4.78,165
1965,-34.9,11.97,4.95,165
1964,-33.5,12.31,5.11,165
1963,-34.6,12.65,5.28,165
1962,-36.4,12.98,5.44,165
1961,-33.9,13.31,5.61,165
1960,-34,13.64,5.77,165
1959,-31.9,13.97,5.94,165
1958,-33.8,14.29,6.1,165
1957,-34.9,14.62,6.27,165
1956,-34.1,14.94,6.43,165
1955,-34.6,15.26,6.6,165
1954,-34,15.57,6.76,165
1953,-34.1,15.89,6.93,165
1952,-33.5,16.2,7.09,165
1951,-32.6,16.51,7.26,165
1950,-34.1,16.82,7.42,165
1949,-35.3,17.13,7.59,165
1948,-34.1,17.43,7.75,165
1947,-32.7,17.74,7.92,165
1946,-35.5,18.04,8.08,165
1945,NA,18.33,8.25,165
1944,NA,18.62,8.41,165
1943,NA,18.9,8.57,165
1942,NA,19.19,8.74,165
1941,NA,19.48,8.9,165
1940,NA,19.77,9.07,165
1939,NA,20.06,9.23,165
1938,NA,20.35,9.4,165
1937,NA,20.64,9.56,165
1936,NA,20.92,9.73,165
1935,NA,21.21,9.89,165
1934,NA,21.5,10.06,165
1933,NA,21.79,10.22,165
1932,NA,22.08,10.39,165
1931,NA,22.37,10.55,165
1930,NA,22.66,10.72,165
1929,NA,22.94,10.88,165
1928,NA,23.23,11.05,165
1927,NA,23.52,11.21,165
1926,NA,23.81,11.38,165
1925,-35.1,24.09,11.54,165
1924,-35.2,24.37,11.71,165
1923,-34.7,24.64,11.87,165
1922,-33.8,24.92,12.04,165
1921,-34,25.19,12.2,165
1920,-36.2,25.46,12.37,165
1919,-33.9,25.73,12.53,165
1918,-33.9,26,12.7,165
1917,-35.2,26.27,12.86,165
1916,-34.4,26.54,13.03,165
1915,-33.7,26.81,13.19,165
1914,-32.9,27.07,13.36,165
1913,-34.2,27.34,13.52,165
1912,-35.3,27.6,13.69,182
1911,-33.6,27.89,13.87,182
1910,-33.1,28.18,14.05,182
1909,-35.1,28.47,14.23,182
1908,-35.9,28.76,14.41,182
1907,-35.4,29.05,14.6,182
1906,-36.1,29.33,14.78,182
1905,-33.7,29.62,14.96,182
1904,-32.1,29.9,15.14,182
1903,-33,30.18,15.32,182
1902,-33.1,30.47,15.5,182
1901,-33.4,30.75,15.69,182
1900,-32.5,31.03,15.87,182
1899,-33.3,31.31,16.05,182
1898,-35.9,31.59,16.23,182
1897,-35.4,31.87,16.41,182
1896,-33,32.14,16.59,182
1895,-32.8,32.42,16.78,182
1894,-33.7,32.7,16.96,182
1893,-32.2,32.97,17.14,182
1892,-30.4,33.25,17.32,182
1891,-32.4,33.52,17.5,182
1890,-34,33.79,17.68,182
1889,-35,34.07,17.87,182
1888,-36.2,34.34,18.05,182
1887,-35.7,34.61,18.23,182
1886,-35,34.88,18.41,182
1885,-34.2,35.15,18.59,182
1884,-35.5,35.42,18.77,182
1883,-33.9,35.69,18.96,182
1882,-33.4,35.96,19.14,182
1881,-32.6,36.22,19.32,182
1880,-31.4,36.49,19.5,182
