year (AD),depth (m),d18O (permil)
1736,NA,-28.2
1737,NA,-32.3
1738,NA,-32.4
1739,NA,-31.9
1740,NA,-31.8
1741,NA,-28.4
1742,NA,-28.8
1743,NA,-33.3
1744,NA,-34
1745,NA,-30.3
1746,NA,-29.9
1747,NA,-28.9
1748,NA,-24.6
1749,NA,-27.5
1750,NA,-28.6
1751,NA,-32.3
1752,NA,-33.5
1753,NA,-34.2
1754,NA,-32.2
1755,NA,-31.2
1756,NA,-32.1
1757,NA,-30.7
1758,NA,-30.7
1759,NA,-32.1
1760,NA,-32.1
1761,NA,-32.6
1762,NA,-30.5
1763,NA,-30
1764,NA,-32.2
1765,NA,-28.8
1766,NA,-28.1
1767,NA,-29.8
1768,NA,-33.1
1769,NA,-35.9
1770,NA,-32.4
1771,NA,-31.7
1772,NA,-31.8
1773,NA,-30.9
1774,NA,-32.1
1775,NA,-28.8
1776,NA,-32.5
1777,NA,-31.5
1778,NA,-33.2
1779,NA,-35.8
1780,NA,-27.2
1781,NA,-30.2
1782,NA,-31.8
1783,NA,-31.2
1784,NA,-29.9
1785,NA,-30.2
1786,NA,-29.5
1787,NA,-30.8
1788,NA,-34.5
1789,NA,-34.5
1790,NA,-34.1
1791,NA,-33.2
1792,NA,-33.9
1793,NA,-30.8
1794,NA,-28.8
1795,NA,-28.8
1796,NA,-28.6
1797,NA,-33.3
1798,NA,-29.4
1799,NA,-31.7
1800,NA,-31.1
1801,NA,-30.5
1802,NA,-30.3
1803,NA,-34.1
1804,NA,-30.6
1805,NA,-32.8
1806,NA,-27.6
1807,NA,-27.5
1808,NA,-25.8
1809,NA,-33
1810,NA,-31.6
1811,NA,-32.4
1812,NA,-31.8
1813,NA,-28.9
1814,NA,-31.6
1815,NA,-31.7
1816,NA,-33.2
1817,NA,-29.7
1818,NA,-32.8
1819,NA,-34.3
1820,NA,-31.7
1821,NA,-25.8
1822,NA,-30.4
1823,NA,-30.9
1824,NA,-31.3
1825,NA,-29.6
1826,NA,-31.5
1827,NA,-30.4
1828,NA,-32.8
1829,NA,-31.4
1830,NA,-30.7
1831,NA,-24.8
1832,NA,-31.5
1833,NA,-30.3
1834,NA,-33.4
1835,NA,-31.2
1836,NA,-30.6
1837,NA,-26.8
1838,NA,-31.1
1839,NA,-29.4
1840,NA,-29.8
1841,NA,-33.5
1842,NA,-32.1
1843,NA,-31.8
1844,NA,-29.8
1845,NA,-29.9
1846,NA,-30.5
1847,NA,-30.7
1848,NA,-30.7
1849,NA,-28.4
1850,NA,-32.7
1851,NA,-32.3
1852,NA,-32.8
1853,NA,-36.9
1854,NA,-34.3
1855,NA,-34.7
1856,NA,-32
1857,NA,-32.2
1858,NA,-28.3
1859,NA,-30.2
1860,NA,-31
1861,NA,-34.9
1862,NA,-33.9
1863,NA,-32.8
1864,NA,-35.1
1865,NA,-33.5
1866,NA,-33.3
1867,NA,-32.6
1868,NA,-36.1
1869,NA,-31.3
1870,NA,-34.4
1871,NA,-31.2
1872,NA,-33
1873,NA,-31.5
1874,NA,-32.4
1875,NA,-32.4
1876,NA,-33.4
1877,NA,-31.6
1878,NA,-33.1
1879,NA,-33.5
1880,NA,-31.6
1881,NA,-37.5
1882,NA,-33.5
1883,NA,-33.2
1884,NA,-32.3
1885,NA,-30.9
1886,NA,-31.2
1887,NA,-32.6
1888,NA,-37.5
1889,NA,-31.7
1890,NA,-32.5
1891,NA,-32.1
1892,NA,-35.3
1893,NA,-32.2
1894,NA,-27.7
1895,NA,-31.5
1896,NA,-33.1
1897,NA,-32.9
1898,NA,-33.5
1899,NA,-32.8
1900,NA,-32.7
1901,NA,-33.8
1902,NA,-33.1
1903,NA,-31.9
1904,NA,-31.6
1905,NA,-36.1
1906,NA,-32.3
1907,NA,-31.3
1908,NA,-32.6
1909,NA,-34.8
1910,NA,-32.1
1911,NA,-33.8
1912,NA,-32.8
1913,NA,-33.4
1914,NA,-34.5
1915,NA,-34.9
1916,NA,-33.3
1917,NA,-36.3
1918,NA,-35.6
1919,NA,-35.4
1920,NA,-33.4
1921,NA,-30.6
1922,NA,-33.6
1923,NA,-34.5
1924,NA,-37.6
1925,NA,-35.8
1926,NA,-32.6
1927,NA,-33.4
1928,NA,-33.5
1929,NA,-33.4
1930,NA,-35.5
1931,NA,-33.5
1932,NA,-29.1
1933,NA,-33.6
1934,NA,-34.2
1935,NA,-34.9
1936,NA,-38.2
1937,NA,-34.5
1938,NA,-33.5
1939,NA,-35.2
1940,NA,-35.9
1941,NA,-32.6
1942,NA,-33.1
1943,NA,-34.3
1944,NA,-34.1
1945,NA,-34.5
1946,NA,-31.8
1947,NA,-34.6
1948,NA,-33.9
1949,NA,-31.2
1950,NA,-34.5
1951,NA,-28
1952,NA,-29.7
1953,NA,-34.2
1954,NA,-33.5
1955,NA,-28.2
1956,NA,-31.9
1957,NA,-35.4
1958,NA,-33.4
1959,NA,-35.4
1960,NA,-31.8
1961,NA,-32.6
1962,NA,-36.1
1963,NA,-33
1964,NA,-34.3
1965,NA,-33.8
1966,NA,-35
1967,NA,-31.6
1968,NA,-34.6
1969,NA,-31.5
1970,NA,-26.3
1971,NA,-27.9
1972,NA,-32.9
1973,NA,-28.2
1974,NA,-35.8
1975,NA,-34.8
1976,NA,-34
1977,NA,-34.5
1978,NA,-31.3
1979,NA,-32.2
1980,NA,-31.3
1981,NA,-25.5
1982,NA,-31.2
1983,NA,-30.7
1984,NA,-33.5
1985,NA,-30.5
1986,NA,-31.1
1987,NA,-33.2
