year (AD) [1-1],depth (m) [1-1],dD (permil) [1-1],year (AD) [1-2],depth (m) [1-2],dD (permil) [1-2]
1985,2.55,-258.06,1986.7942,1.1105,-204.03
1984,3.2,-256.06,1986.7519,1.1435,-212.57
1983,3.88,-282.71,1986.7096,1.1765,-221.11
1982,4.23,-285.05,1986.6673,1.2095,-236.64
1981,4.82,-273.57,1986.625,1.2425,-252.64
1980,5.34,-274.71,1986.5827,1.2755,-264.41
1979,5.67,-292.09,1986.5404,1.3085,-276.17
1978,6.22,-278.6,1986.4981,1.3415,-283.42
1977,6.86,-259.46,1986.4558,1.3745,-289.84
1976,7.26,-272.93,1986.4135,1.4075,-292.31
1975,7.83,-261.7,1986.3712,1.4405,-294.82
1974,8.22,-267.65,1986.3289,1.4735,-300
1973,8.69,-269.29,1986.2866,1.5065,-306.58
1972,9.07,-271.61,1986.2443,1.5395,-318.81
1971,9.53,-277.24,1986.202,1.5725,-326.21
1970,9.98,-265.19,1986.1597,1.6055,-325.7
1969,10.27,-269.06,1986.1174,1.6385,-319.1
1968,10.76,-256.37,1986.0751,1.6715,-307.73
1967,11.25,-265.62,1986.0327,1.7045,-293.27
1966,11.57,-259.34,1985.9851,1.7375,-277.75
1965,11.97,-270.22,1985.9191,1.7705,-269.36
1964,12.52,-262.73,1985.8531,1.8035,-261.05
1963,12.91,-268.3,1985.7871,1.8365,-248.55
1962,13.3,-254.97,1985.7211,1.8694,-239.21
1961,13.72,-253.68,1985.6551,1.9024,-237.67
1960,14.07,-271.76,1985.5891,1.9354,-241.75
1959,14.53,-256.87,1985.5231,1.9684,-252.19
1958,14.98,-267.23,1985.4571,2.0014,-269.12
1957,15.36,-276.36,1985.3911,2.0344,-289.53
1956,15.81,-283.28,1985.3251,2.0674,-304.51
1955,16.29,-269.69,1985.2591,2.1004,-318.1
1954,16.66,-277.43,1985.1931,2.1334,-312.31
1953,17.14,-264.03,1985.1272,2.1664,-303.59
1952,17.61,-263.36,1985.0612,2.1994,-282.98
1951,17.94,-271.32,1984.9964,2.2324,-269.2
1950,18.3,-271.5,1984.9471,2.2654,-258.61
1949,18.62,-276.8,1984.8979,2.2984,-249.39
1948,18.95,-270.26,1984.8486,2.3314,-239.04
1947,19.41,-264.18,1984.7994,2.3644,-226.17
1946,19.84,-267.85,1984.7501,2.3974,-220.69
1945,20.37,-264.67,1984.7009,2.4304,-221.75
1944,20.79,-274.86,1984.6516,2.4634,-234.4
1943,21.07,-284.36,1984.6024,2.4964,-250.77
1942,21.56,-257.09,1984.5531,2.5294,-263.22
1941,21.97,-254.02,1984.5039,2.5624,-272.3
1940,22.25,-261.19,1984.4546,2.5954,-275.84
1939,22.73,-249.26,1984.4054,2.6284,-274.52
1938,23.08,-269.87,1984.3561,2.6614,-272.5
1937,23.45,-277.02,1984.3069,2.6944,-271.76
1936,23.83,-262.21,1984.2576,2.7274,-268.31
1935,24.13,-260.46,1984.2084,2.7604,-262.46
1934,24.57,-252.64,1984.1591,2.7934,-249.55
1933,24.98,-264.86,1984.1099,2.8264,-235.97
1932,25.41,-252.69,1984.0606,2.8594,-231.23
1931,25.75,-268.17,1984.0114,2.8924,-226.95
1930,26.11,-277.52,1983.9648,2.9254,-223.43
1929,26.48,-263.87,1983.9189,2.9584,-223.12
1928,26.88,-257,1983.8731,2.9914,-225.39
1927,27.27,-264.28,1983.8273,3.0244,-231.58
1926,27.5,-279.27,1983.7814,3.0574,-239.95
1925,27.9,-282.55,1983.7356,3.0904,-250.27
1924,28.03,-294.6,1983.6898,3.1234,-261.16
1923,28.42,-281.41,1983.644,3.1564,-272.88
1922,28.75,-283.44,1983.5981,3.1894,-285.42
1921,29.04,-291.07,1983.5523,3.2224,-301.37
1920,29.43,-273.21,1983.5065,3.2553,-315.51
1919,29.7,-277.31,1983.4606,3.2883,-312.62
1918,30.07,-280.22,1983.4148,3.3213,-304.9
1917,30.37,-283.12,1983.369,3.3543,-294.59
1916,30.87,-250.72,1983.3231,3.3873,-285.05
1915,31.2,-278.93,1983.2773,3.4203,-276.66
1914,31.5,-284.62,1983.2315,3.4533,-270.41
1913,31.87,-280.93,1983.1857,3.4863,-259.25
1912,32.2,-275.72,1983.1398,3.5193,-248.64
1911,32.6,-270.82,1983.094,3.5523,-242.37
1910,32.93,-268.8,1983.0482,3.5853,-237.99
