year (AD),d18O (permil)
818,-36.2
819,-35.39
820,-36.77
821,-35.55
822,-35.51
823,-36.52
824,-34.67
825,-34.11
826,-33.98
827,-34.37
828,-33.26
829,-33.54
830,-33.88
831,-35.5
832,-35.46
833,-33.66
834,-35.59
835,-35.13
836,-36.02
837,-35.69
838,-33.57
839,-34.15
840,-35.13
841,-36.35
842,-36.7
843,-34.97
844,-37.65
845,-36.39
846,-33.85
847,-34.19
848,-34.94
849,-34.67
850,-35.79
851,-35.26
852,-34.7
853,-36.39
854,-37.51
855,-36.43
856,-37.33
857,-36.6
858,-34.04
859,-34.79
860,-35.85
861,-35.22
862,-34.31
863,-34.95
864,-35.1
865,-34.91
866,-34.5
867,-35.16
868,-35.71
869,-36.33
870,-34.81
871,-36.24
872,-33.67
873,-33.65
874,-35.34
875,-35.66
876,-36.14
877,-36.07
878,-35.4
879,-35.36
880,-35.6
881,-34.69
882,-35.43
883,-36.05
884,-35.18
885,-35.31
886,-34.3
887,-34.94
888,-36.29
889,-34.59
890,-35.01
891,-34.49
892,-34.35
893,-35.75
894,-34.25
895,-33.52
896,-34.67
897,-33.94
898,-35.63
899,-37.08
900,-35.79
901,-35.94
902,-35.77
903,-35.45
904,-33.15
905,-34.95
906,-34.74
907,-34.98
908,-35.75
909,-33.11
910,-35.51
911,-35.33
912,-33.82
913,-34.31
914,-36.25
915,-35.03
916,-34.88
917,-34.94
918,-35.99
919,-36.48
920,-35.42
921,-35.64
922,-33.93
923,-35.41
924,-35.12
925,-33.72
926,-33.24
927,-35.12
928,-34.51
929,-33.81
930,-35.21
931,-35.28
932,-34.87
933,-34.61
934,-34.53
935,-33.31
936,-34.3
937,-34.36
938,-34.12
939,-33.27
940,-35.37
941,-34.23
942,-33.93
943,-33.88
944,-35.5
945,-35.94
946,-34.68
947,-33.83
948,-34.39
949,-35.7
950,-33.83
951,-34.28
952,-33.03
953,-35.38
954,-33.38
955,-34.19
956,-33.56
957,-33.93
958,-36.44
959,-35.78
960,-34.89
961,-34.84
962,-35.41
963,-36.58
964,-36.01
965,-35.72
966,-33.35
967,-34
968,-35.09
969,-35.14
970,-34.71
971,-35.63
972,-33.92
973,-32.57
974,-31.76
975,-34.43
976,-35.55
977,-35.39
978,-33.88
979,-35.54
980,-35.31
981,-33.26
982,-33.16
983,-33.11
984,-33.8
985,-33.73
986,-35.81
987,-35.65
988,-35.23
989,-33.23
990,-33.35
991,-34.3
992,-33.25
993,-34.65
994,-32.89
995,-33.18
996,-34.77
997,-35.11
998,-34.96
999,-36.07
1000,-35.96
1001,-34.5
1002,-32.85
1003,-35.27
1004,-35.94
1005,-37.3
1006,-35.01
1007,-32.84
1008,-35.52
1009,-35.46
1010,-34.55
1011,-36.35
1012,-32.63
1013,-33.37
1014,-34.47
1015,-36.49
1016,-34.36
1017,-34.45
1018,-33.91
1019,-34.31
1020,-34.03
1021,-35.25
1022,-33.9
1023,-35.07
1024,-35.24
1025,-34.78
1026,-36.51
1027,-36.25
1028,-34.25
1029,-35.81
1030,-37.27
1031,-36.2
1032,-34.2
1033,-35.23
1034,-36.48
1035,-34.6
1036,-35.04
1037,-36.49
1038,-35.03
1039,-33.29
1040,-33.94
1041,-35.02
1042,-36.43
1043,-35.81
1044,-34.36
1045,-34.15
1046,-36
1047,-36.05
1048,-34.71
1049,-33.03
1050,-33.28
1051,-35.09
1052,-36.3
1053,-34.44
1054,-34.33
1055,-35.25
1056,-35.76
1057,-35.02
1058,-35.45
1059,-36.24
1060,-35.9
1061,-34.99
1062,-32.92
1063,-35.5
1064,-36.37
1065,-35.33
1066,-34.37
1067,-33.68
1068,-35.27
1069,-35.57
1070,-34.29
1071,-34.6
1072,-34.69
1073,-34.74
1074,-34.36
1075,-34.72
1076,-35.63
1077,-35.68
1078,-35.95
1079,-35.13
1080,-34.87
1081,-35.28
1082,-33.24
1083,-34.83
1084,-34.4
1085,-34.6
1086,-34.98
1087,-34.12
1088,-35.12
1089,-34.34
1090,-34.91
1091,-34.49
1092,-35.02
1093,-36.18
1094,-35.48
1095,-35.36
1096,-35.17
1097,-34.83
1098,-34.59
1099,-34.85
1100,-36.22
1101,-34.37
1102,-32.93
1103,-33.82
1104,-34.38
1105,-37.11
1106,-35.01
1107,-33.63
1108,-34.69
1109,-34.69
1110,-36.35
1111,-34.51
1112,-36.27
1113,-33.7
1114,-33.68
1115,-34.45
1116,-35
1117,-35.37
1118,-34.71
1119,-35.35
1120,-33.91
1121,-33.6
1122,-31.45
1123,-34.33
1124,-36
1125,-34.57
1126,-33.48
1127,-34.45
1128,-34.99
1129,-34.1
1130,-34.17
1131,-33.89
1132,-34.11
1133,-34.56
1134,-35.06
1135,-33.73
1136,-34.55
1137,-34.77
1138,-35.71
1139,-34.11
1140,-34.92
1141,-33.35
1142,-34.51
1143,-35.7
1144,-34.69
1145,-34.02
1146,-34.44
1147,-35.54
1148,-34.17
1149,-36.1
1150,-34.89
1151,-35.96
1152,-36.44
1153,-36.41
1154,-35.45
1155,-35.81
1156,-36.55
1157,-36.04
1158,-34.7
1159,-34.81
1160,-35.37
1161,-34.49
1162,-37.26
1163,-35.23
1164,-35.29
1165,-36.25
1166,-34.88
1167,-34.81
1168,-35.26
1169,-35.4
1170,-35.93
1171,-36.56
1172,-34.59
1173,-34.22
1174,-34.04
1175,-33.82
1176,-35.55
1177,-35.89
1178,-34.85
1179,-34.47
1180,-36.53
1181,-35.66
1182,-35.03
1183,-35.46
1184,-36.84
1185,-34.89
1186,-35.47
1187,-35.05
1188,-34.72
1189,-35.68
1190,-34.3
1191,-33.42
1192,-33.5
1193,-35.46
1194,-35.83
1195,-35.35
1196,-35.9
1197,-34.76
1198,-34.81
1199,-35.32
1200,-36.02
1201,-35.72
1202,-32.8
1203,-32.62
1204,-31.82
1205,-34.88
1206,-35.53
1207,-35.46
1208,-35.58
1209,-34.51
1210,-34.26
1211,-34.14
1212,-33.82
1213,-35.79
1214,-35.21
1215,-35.55
1216,-35.89
1217,-35.19
1218,-32.42
1219,-34.23
1220,-32.94
1221,-32.84
1222,-32.65
1223,-33.13
1224,-33.56
1225,-35.47
1226,-36.09
1227,-35.97
1228,-35.53
1229,-35.55
1230,-36.7
1231,-34.13
1232,-35.49
1233,-38.09
1234,-37.73
1235,-35.18
1236,-34.82
1237,-35.44
1238,-34.74
1239,-35.18
1240,-35.1
1241,-35.15
1242,-35.37
1243,-34.98
1244,-34.16
1245,-34.71
1246,-35.97
1247,-35.29
1248,-33.93
1249,-33.38
1250,-35.4
1251,-35.25
1252,-37.1
1253,-33.29
1254,-33.41
1255,-33.38
1256,-34.77
1257,-33.78
1258,-35.47
1259,-36.68
1260,-35.44
1261,-34.77
1262,-35.17
1263,-35.46
1264,-35.09
1265,-37.01
1266,-35.51
1267,-36.2
1268,-34.23
1269,-34.33
1270,-35.24
1271,-34.98
1272,-35.45
1273,-35.52
1274,-34.45
1275,-33.51
1276,-34.8
1277,-34.39
1278,-34.77
1279,-34.57
1280,-33.47
1281,-32.24
1282,-32.93
1283,-35.51
1284,-35.9
1285,-35.96
1286,-34.93
1287,-34.8
1288,-35.44
1289,-35.02
1290,-34.31
1291,-36.61
1292,-36.76
1293,-34.59
1294,-36.37
1295,-35.49
1296,-35.85
1297,-35.36
1298,-34.33
1299,-33.78
1300,-33.47
1301,-34.8
1302,-36.08
1303,-35.33
1304,-34.18
1305,-34.12
1306,-34.37
1307,-33.75
1308,-35.3
1309,-36.69
1310,-34.93
1311,-34.24
1312,-36.03
1313,-36.41
1314,-35.21
1315,-34.99
1316,-33.9
1317,-35.1
1318,-33.96
1319,-35.37
1320,-37.22
1321,-35.72
1322,-35.56
1323,-34.67
1324,-34.37
1325,-33.52
1326,-34.58
1327,-35.84
1328,-36.07
1329,-36.81
1330,-37.13
1331,-33.53
1332,-31.84
1333,-34.34
1334,-35.33
1335,-36.16
1336,-35.17
1337,-36.28
1338,-35.9
1339,-35.76
1340,-36.85
1341,-34.69
1342,-35.26
1343,-33.28
1344,-34.72
1345,-35.41
1346,-34.8
1347,-34.23
1348,-34.77
1349,-35.38
1350,-35.73
1351,-34.79
1352,-35.46
1353,-36.05
1354,-35.08
1355,-37.59
1356,-36.8
1357,-34.25
1358,-38.21
1359,-36.62
1360,-35.44
1361,-35.73
1362,-35.16
1363,-35.1
1364,-35.71
1365,-35.98
1366,-34.94
1367,-34.83
1368,-34.92
1369,-35.77
1370,-34.12
1371,-34.64
1372,-35.41
1373,-34.89
1374,-34.53
1375,-34.89
1376,-35.19
1377,-34.94
1378,-34.32
1379,-33.62
1380,-33.49
1381,-37.04
1382,-37.19
1383,-36.03
1384,-36.25
1385,-34.9
1386,-34.02
1387,-35.24
1388,-35.67
1389,-34.77
1390,-34.38
1391,-35.34
1392,-35.06
1393,-35.82
1394,-35.14
1395,-34.04
1396,-32.93
1397,-33.95
1398,-35.61
1399,-34.22
1400,-36.47
1401,-34.75
1402,-34.47
1403,-35.22
1404,-33.87
1405,-35.38
1406,-33.51
1407,-34.1
1408,-33.28
1409,-34.16
1410,-34.95
1411,-34.34
1412,-35.21
1413,-36.05
1414,-34.92
1415,-34.67
1416,-35.59
1417,-34.71
1418,-34.72
1419,-33.77
1420,-32.83
1421,-35.07
1422,-35.87
1423,-34.85
1424,-35.38
1425,-34.63
1426,-34.73
1427,-33.81
1428,-36.03
1429,-34.75
1430,-33.87
1431,-35.6
1432,-35.48
1433,-35.29
1434,-36.24
1435,-35.99
1436,-35.9
1437,-35
1438,-35.92
1439,-35.06
