year (AD),depth (cm),d18O (permil)
2000,NA,-17.06
1900,NA,-17.8
1800,NA,-17.52
1700,NA,-17.22
1600,NA,-17
1500,NA,-16.39
1400,NA,-15.94
1300,NA,-16.19
1200,NA,-15.61
1100,NA,-16.82
1000,NA,-15.42
900,NA,-16.54
800,NA,-16.43
700,NA,-17.9
600,NA,-16.49
500,NA,-16.77
400,NA,-14.23
300,NA,-15.86
200,NA,-16
100,NA,-15.34
-1,NA,-16.53
-101,NA,-16.63
-201,NA,-16.82
-301,NA,-17.44
-401,NA,-14.24
-501,NA,-16.44
-601,NA,-16.36
-701,NA,-17.51
-801,NA,-15.71
-901,NA,-16.87
-1001,NA,-16.67
-1101,NA,-15.65
-1201,NA,-16.31
-1301,NA,-15.86
-1401,NA,-14.32
-1501,NA,-16.18
-1601,NA,-15.72
-1701,NA,-17.04
-1801,NA,-16.11
-1901,NA,-16.14
-2001,NA,-17.1
-2101,NA,-16.47
-2201,NA,-16.87
-2301,NA,-16.71
-2401,NA,-16.12
-2501,NA,-16.48
-2601,NA,-15.48
-2701,NA,-16.05
-2801,NA,-16.13
-2901,NA,-15.85
-3001,NA,-16.81
-3101,NA,-14.9
-3201,NA,-14.01
-3301,NA,-16.42
-3401,NA,-17.07
-3501,NA,-16.71
-3601,NA,-17.06
-3701,NA,-17.05
-3801,NA,-16.86
-3901,NA,-16.85
-4001,NA,-16.26
-4101,NA,-15.89
-4201,NA,-16.4
-4301,NA,-16.49
-4401,NA,-16.91
-4501,NA,-17.41
-4601,NA,-16.23
-4701,NA,-16.24
-4801,NA,-15.66
-4901,NA,-17.08
-5001,NA,-16.65
-5101,NA,-17.05
-5201,NA,-16.4
-5301,NA,-16.81
-5401,NA,-17.42
-5501,NA,-15.9
-5601,NA,-16.76
-5701,NA,-15.87
-5801,NA,-16.18
-5901,NA,-16.78
-6001,NA,-16.93
-6101,NA,-16.4
-6201,NA,-17.12
-6301,NA,-16.7
-6401,NA,-16.44
-6501,NA,-17.15
-6601,NA,-16.57
-6701,NA,-16.37
-6801,NA,-16.58
-6901,NA,-17.24
-7001,NA,-17.51
-7101,NA,-17.12
-7201,NA,-16.9
-7301,NA,-16.61
-7401,NA,-17.11
-7501,NA,-17.05
-7601,NA,-16.47
-7701,NA,-17.04
-7801,NA,-16.55
-7901,NA,-17
-8001,NA,-17
-8101,NA,-17.05
-8201,NA,-16.49
-8301,NA,-16.65
-8401,NA,-17.08
-8501,NA,-16.87
-8601,NA,-16.81
-8701,NA,-17.31
-8801,NA,-17.3
-8901,NA,-17.15
-9001,NA,-17.45
-9101,NA,-17.59
-9201,NA,-17.62
-9301,NA,-17.95
-9401,NA,-17.72
-9501,NA,-17.08
-9601,NA,-18.36
-9701,NA,-20.71
-9801,NA,-21.77
-9901,NA,-21.5
-10001,NA,-21.22
-10101,NA,-20.86
-10201,NA,-20.25
-10301,NA,-20.53
-10401,NA,-21.34
-10501,NA,-21.73
-10601,NA,-21.67
-10701,NA,-21
-10801,NA,-20.64
-10901,NA,-19.3
-11001,NA,-19.97
-11101,NA,-21.99
-11201,NA,-22.23
-11301,NA,-21.4
-11401,NA,-21.24
-11501,NA,-20.48
-11601,NA,-19.49
-11701,NA,-18.51
-11801,NA,-18.77
-11901,NA,-20.13
-12001,NA,-20.47
-12101,NA,-20.23
-12201,NA,-15.91
-12301,NA,-14.32
-12401,NA,-15.3
-12501,NA,-15.93
-12601,NA,-18.16
-12701,NA,-20.13
-12801,NA,-20.98
-12901,NA,-21.09
-13001,NA,-20.78
-13101,NA,-19.07
-13201,NA,-20.14
-13301,NA,-20.58
-13401,NA,-18.76
-13501,NA,-19.74
-13601,NA,-21.32
-13701,NA,-21.97
-13801,NA,-22.34
-13901,NA,-22.86
-14001,NA,-21.88
-14101,NA,-22.14
-14201,NA,-21.9
-14301,NA,-21.87
-14401,NA,-22.13
-14501,NA,-22.6
-14601,NA,-21.84
-14701,NA,-21.79
-14801,NA,-22.04
-14901,NA,-22.17
-15001,NA,-22.52
-15101,NA,-22.56
-15201,NA,-22.36
-15301,NA,-22.28
-15401,NA,-22.01
-15501,NA,-22.1
-15601,NA,-22.38
-15701,NA,-22.33
-15801,NA,-21.92
-15901,NA,-21.6
-16001,NA,-21.64
-16101,NA,-22.15
-16201,NA,-22.8
-16301,NA,-22.7
-16401,NA,-22.82
-16501,NA,-22.78
-16601,NA,-22.74
-16701,NA,-22.8
-16801,NA,-22.82
-16901,NA,-22.49
-17001,NA,-22.02
-17101,NA,-21.72
-17201,NA,-21.72
-17301,NA,-21.73
-17401,NA,-21.82
-17501,NA,-21.99
-17601,NA,-22.14
-17701,NA,-22.18
-17801,NA,-22.4
-17901,NA,-22.61
-18001,NA,-22.44
-18101,NA,-22.19
-18201,NA,-22.04
-18301,NA,-21.84
-18401,NA,-21.61
-18501,NA,-21.52
-18601,NA,-21.53
-18701,NA,-21.68
-18801,NA,-21.8
-18901,NA,-21.88
-19001,NA,-21.91
-19101,NA,-22.02
-19201,NA,-22.22
-19301,NA,-22.29
-19401,NA,-22.37
-19501,NA,-22.29
-19601,NA,-22.35
-19701,NA,-22.4
-19801,NA,-22.32
-19901,NA,-22.21
-20001,NA,-22.15
-20101,NA,-22.13
-20201,NA,-22.13
-20301,NA,-22.03
-20401,NA,-21.86
-20501,NA,-21.69
-20601,NA,-21.61
-20701,NA,-21.52
-20801,NA,-21.44
-20901,NA,-21.41
-21001,NA,-21.3
-21101,NA,-21.28
-21201,NA,-21.11
-21301,NA,-21.08
-21401,NA,-20.89
-21501,NA,-20.78
-21601,NA,-20.71
-21701,NA,-20.72
-21801,NA,-20.66
-21901,NA,-20.57
-22001,NA,-20.62
-22101,NA,-20.61
-22201,NA,-20.57
-22301,NA,-20.61
-22401,NA,-20.65
-22501,NA,-20.69
-22601,NA,-20.66
-22701,NA,-20.74
-22801,NA,-20.71
-22901,NA,-20.84
-23001,NA,-20.66
-23101,NA,NA
