year (AD),d18O (permil)
1995,NA
1994,NA
1993,-40.36
1992,-42.84
1991,-44.08
1990,-46.09
1989,-44.18
1988,-45.1
1987,-44.54
1986,NA
1985,-44.37
1984,-44.63
1983,-44.54
1982,-44.34
1981,-43.49
1980,-42.7
1979,-44.19
1978,-44.07
1977,-43.7
1976,-43.59
1975,-43.05
1974,-43.24
1973,-43.5
1972,-44.38
1971,-45.01
1970,-45.33
1969,NA
1968,-44.86
1967,-44.68
1966,-42.83
1965,-41.34
1964,-39.46
1963,-41.93
1962,-40.63
1961,-40.35
1960,-41.5
1959,-42.7
1958,-43.44
1957,-42.53
1956,-41.93
1955,-42.43
1954,-44.42
1953,-46.37
1952,-46.83
1951,-45.01
1950,-44.84
1949,-44.28
1948,-44.45
1947,-44.6
1946,-43.45
1945,-43.92
1944,-44.06
1943,-43.43
1942,-43.47
1941,-43.06
1940,-41.76
1939,-45.94
1938,-47.1
1937,-48.48
1936,-46.33
1935,-42.57
1934,-42.05
1933,-42.51
1932,-43.48
1931,-44.06
1930,-45.07
1929,-44.74
1928,-43.98
1927,-43.96
1926,-44.97
1925,-44.65
1924,-44.29
1923,-44.33
1922,-43.01
1921,-41.35
1920,-43.13
1919,-43.81
1918,-44.16
1917,-45.7
1916,-47.03
1915,-45.51
1914,-43.09
1913,-43.15
1912,-44.98
1911,-45.48
1910,-44.97
1909,-43.34
1908,-43.34
1907,-43.47
1906,-44.01
1905,-43.33
1904,-41.42
1903,-40.77
1902,-41.63
1901,-42.13
1900,-43.22
1899,-44.31
1898,-45.18
1897,-46.39
1896,-46.71
1895,-46.07
