year (BP),depth (cm),d18O (permil)
1899.2,4.5,-14.7
1786.4,14.5,-15.9
1643,25,-16
1405.6,40,-16.5
1247.4,50,-15.5
1089.1,60,-15.1
982.4,70,-15.9
927.3,80,-14
872.2,90,-15
817.1,100,-13.6
762,110,-12.4
687.2,120,-12.2
555.3,135,-12.1
467.4,145,-11.7
379.5,155,-11.7
291.6,165,-11.3
93.8,175,-12.2
-361.3,185,-13
-815.4,195,-12.2
-1269.5,205,-11.6
-2495.6,232,-13.5
-2754.4,240,-12.9
-3059.3,250,-12.5
-3364.2,260,-11.3
-3669.1,270,-13.4
-3974,280,-14.1
-4278.9,290,-12.1
-4583.8,300,-13.4
-4888.7,310,-15
-5193.6,320,-14.3
-5559.5,332,-14
-5819.4,340,-12.5
-6156.3,350,-13.3
-6493.1,360,-13.6
-6954,375,-10.8
-7068.8,385,-12.4
-7183.6,395,-15.1
-7413.2,415,-14.7
