year (AD),depth (cm),d18O (permil)
1950,0,1.85
1888.75,4.9,2.14
1880,5.6,2.38
1867.5,6.6,2.52
1854.375,7.65,1.95
1841.875,8.65,2.74
1829.375,9.65,2.26
1766.885,10.55,2.54
1603.67,12.1,2.89
1514.165,12.95,2.84
1419.395,13.85,2.76
1319.36,14.8,2.48
1208.795,15.85,2.66
1157.18,17.05,2.64
1072.34,19.15,2.29
993.56,21.1,2.7
900.64,23.4,2.51
825.9,25.25,2.03
759.3,27,2.19
680.61,29.15,2.16
611.07,31.05,1.99
552.51,32.65,2.08
519.57,33.55,2.12
375,37.5,2.29
281.67,40.05,2.69
261.54,40.6,1.66
118.8,44.5,1.74
65.73,45.95,1.99
36.45,46.75,1.89
1.68,47.7,1.94
-89.82,50.2,2.05
-313.08,56.3,1.9
-386.28,58.3,2.04
-459.48,60.3,1.95
-532.68,62.3,1.61
-558.3,63,1.75
-618.69,64.65,1.13
-666.27,65.95,1.92
-765.09,68.65,1.81
-790.71,69.35,1.66
-843.78,70.8,1.5
-880.38,71.8,1.42
-913.32,72.7,1.92
-982.86,74.6,1.95
-1056.06,76.6,1.89
-1129.26,78.6,1.8
-1162.2,79.5,1.85
-1182.33,80.05,1.47
-1213.44,80.9,1.35
-1237.55,81.65,1.62
-1397.15,89.25,1.47
-1416.05,90.15,1.43
-1460.15,92.25,1.46
-1478,93.1,1.57
-1501.1,94.2,1.52
-1543.1,96.2,1.37
-1553.6,96.7,1.84
-1591.4,98.5,1.54
-1662.8,101.9,1.8
-1733,104,1.51
-1817.28,106.45,1.34
-1863.72,107.8,1.7
-1985.84,111.35,1.44
-2051.2,113.25,1.62
-2097.64,114.6,0.95
-2224.92,118.3,1.18
-2247.28,118.95,1.06
-2267.92,119.55,1.03
-2288.56,120.15,0.98
-2307.48,120.7,1.25
-2371.12,122.55,0.88
-2398.64,123.35,1.21
-2543.12,127.55,0.96
-2572.36,128.4,1.09
-2606.76,129.4,1.15
-2759.84,133.85,0.92
-2978.28,140.2,0.58
-3004.65,141.25,0.62
-3035.4,145,0.43
-3046.88,146.4,0.65
-3065.33,148.65,0.53
-3075.17,149.85,0.54
-3083.78,150.9,0.36
-3094.03,152.15,0.64
-3121.5,155.5,0.26
-3138.31,157.55,0.53
-3155.53,159.65,0.24
-3189.56,163.8,0.2
-3224.41,168.05,0.35
-3233.43,169.15,0.15
-3311.74,178.7,0.7
-3324.45,180.25,0.21
-3363.96,184.6,0.17
