year (AD),depth (cm),dD (permil),dD (permil),dD (permil),dD (permil)
1642,5,-203.0685,-193.5882,-198.2727,-190.7049
1121,10,-200.0563,-198.5624,-201.5602,-197.1082
600,15,-204.5818,-199.4738,-204.5722,-195.9983
184,20,-204.5443,-197.4611,-205.1769,-194.3896
56,55,-207.8046,-195.8706,-206.214,-211.7475
-242,60,-205.3189,-198.6054,-207.3659,-195.9483
-553,65,-205.3541,-197.7627,-204.587,-207.4306
-876,70,-203.0985,-196.1535,-202.5826,-192.1129
-1187,75,-205.8565,-199.2988,-206.4161,-200.5707
-1466,80,-202.3275,-198.0071,-204.6989,-199.6886
-1714,85,-202.982,-193.4177,-199.6103,-194.2672
-1953,90,-207.1327,-196.9919,-211.6766,-194.0369
-2207,95,-205.1255,-194.1003,-206.114,-192.5077
-2498,100,-202.8339,-195.8045,-202.6926,-189.9578
-2850,105,-208.5681,-197.6241,-204.0085,-185.9047
-3261,110,-205.7105,-193.1814,-204.7344,-187.4958
-3707,115,-202.589,-192.0905,-203.9345,-186.3516
-4164,120,-207.1607,-192.6502,-204.203,-182.2117
-4606,125,-204.0277,-193.6455,-204.9581,-187.5834
-5021,130,-200.4293,-193.1602,-200.3943,-184.3085
-5757,140,-202.6802,-189.8049,-203.3039,-180.8443
-6070,145,-208.2796,-185.9147,-199.8578,-178.5357
-6346,150,-213.8393,-189.4078,-203.3661,-180.3186
-6610,155,-203.4959,-183.6667,-203.7767,-172.4595
