year (AD),depth (cm),year (AD),depth (cm),d18O (permil),d18O (permil)
1849.7,5,1877,4,-1.51,0.74
1753.5,8,1796.2,8,-0.3,0.98
1689.4,10,1724.8,12,-0.56,-0.21
1625.3,12,1653.3,16,-1.81,-2.42
1561.2,14,1581.8,20,-1.07,-3.77
1497.1,16,1510.3,24,-0.59,-0.72
1433,18,1438.9,28,-0.82,-3.78
1336.8,21,1367.4,32,-3.83,-0.47
1240.6,24,1294.1,36,-2.26,0.69
1144.5,27,1258.4,38,-1.17,-6.4
1048.3,30,1186.9,42,-1.07,0.56
952.1,33,1079.7,48,-1.29,-5.21
856,36,1026.1,51,-0.54,-5.08
759.8,39,901,58,1.61,-2.85
663.6,42,829.6,62,-1.66,-0.64
567.5,45,758.1,66,-2.28,0.02
471.3,48,686.6,70,-1.39,-0.36
375.1,51,611.7,75,-2.22,0.73
291.7,54,579.7,78,-1.6,0.92
233.7,57,515.8,84,-1.28,0.48
175.7,60,483.9,87,-0.4,-3.3
117.7,63,420,93,-1.14,-1.45
59.7,66,366.7,98,-1.55,-2.52
1.7,69,324.1,102,-2.7,-3.92
-56.3,72,281.5,106,-1.99,-3.25
-114.3,75,238.9,110,-1.69,-1.27
-172.3,78,196.3,114,-0.58,-0.09
-230.3,81,153.7,118,0.01,-0.3
-288.3,84,111.1,122,-1.43,-2.35
-346.3,87,68.5,126,-0.6,-4.17
-404.3,90,4.5,132,-0.15,-3.09
-462.3,93,-38.1,136,-0.09,-2.41
-520.3,96,-102,142,0.82,-2.56
-578.3,99,-144.6,146,1.05,-0.62
-636.3,102,-187.2,150,-0.09,-1.83
-694.3,105,-229.8,154,-2.33,0.3
-752.3,108,-283.1,159,-2.06,0.08
-822.5,111,-347,165,-2.74,-1.73
-917,114,-400.2,170,-3.28,-2.64
-1011.4,117,-442.8,174,-0.27,-0.17
-1105.9,120,-474.8,177,1.97,-0.49
-1200.4,123,-538.7,183,-2.99,-0.29
-1294.9,126,-634.6,192,-0.21,-0.76
-1389.3,129,NA,NA,-1.05,NA
-1483.8,132,NA,NA,-0.55,NA
-1578.3,135,NA,NA,0.22,NA
-1672.7,138,NA,NA,-0.54,NA
-1767.2,141,NA,NA,0.41,NA
-1861.7,144,NA,NA,-1.11,NA
-1956.2,147,NA,NA,0.79,NA
-2050.6,150,NA,NA,0.2,NA
-2145.1,153,NA,NA,0.76,NA
-2239.6,156,NA,NA,-0.89,NA
-2334.1,159,NA,NA,-0.46,NA
-2428.5,162,NA,NA,-0.29,NA
-2523,165,NA,NA,0,NA
-2600.2,168,NA,NA,-1.86,NA
-2677.5,171,NA,NA,-2.04,NA
-2754.7,174,NA,NA,-2.46,NA
-2832,177,NA,NA,-2.14,NA
-2909.2,180,NA,NA,-0.91,NA
-2986.5,183,NA,NA,-2.87,NA
-3063.7,186,NA,NA,-2.2,NA
-3141,189,NA,NA,-0.47,NA
-3218.2,192,NA,NA,-0.62,NA
-3295.5,195,NA,NA,1.38,NA
-3372.7,198,NA,NA,0.86,NA
-3450,201,NA,NA,-1.69,NA
-3527.2,204,NA,NA,-0.74,NA
-3604.5,207,NA,NA,-0.33,NA
-3681.7,210,NA,NA,0.52,NA
-3759,213,NA,NA,-0.48,NA
-3836.2,216,NA,NA,0.03,NA
-3913.5,219,NA,NA,-0.62,NA
-4005.2,222,NA,NA,-3.87,NA
-4126,225,NA,NA,-2.43,NA
-4246.7,228,NA,NA,-0.55,NA
-4367.4,231,NA,NA,-0.31,NA
-4488.1,234,NA,NA,0.46,NA
-4608.8,237,NA,NA,0.37,NA
-4729.5,240,NA,NA,-0.08,NA
-4850.2,243,NA,NA,1.89,NA
-4971,246,NA,NA,1.62,NA
-5091.7,249,NA,NA,0.64,NA
-5212.4,252,NA,NA,2.08,NA
-5333.1,255,NA,NA,0.16,NA
-5453.8,258,NA,NA,0.85,NA
-5614.8,262,NA,NA,2.02,NA
-5735.5,265,NA,NA,4.88,NA
-5976.9,271,NA,NA,3.93,NA
-6097.6,274,NA,NA,1.04,NA
-6218.3,277,NA,NA,3.46,NA
-6258.6,278,NA,NA,2.54,NA
-6379.3,281,NA,NA,1.29,NA
-6540.2,285,NA,NA,1.73,NA
-6620.7,287,NA,NA,1.91,NA
-6741.4,290,NA,NA,0.84,NA
-6830,293,NA,NA,1.32,NA
