year (AD),depth (cm),dD (permil),dD (permil),dD (permil)
1391,0,-134,-104,-147
1362,5,-129,-115,-154
1306,15,-113,-87,-133
1279,20,-116,-90,-127
1252,25,-108,-93,-129
1223,31,-108,-93,-127
1204,35,-121,-101,-128
1182,40,-115,-81,-124
1162,45,-107,-87,-120
1144,50,-116,-80,-123
1138,52,-125,-84,-133
1123,57,-133,-109,-140
1115,60,-100,-83,-118
1108,63,-126,-119,-106
1101,66,-136,-114,-138
1093,69,-112,-74,-116
1086,72,-118,-86,-122
1077,75,-130,-90,-126
1062,80,-115,-88,-125
1045,85,-126,-51,-107
1023,90,-123,-74,-112
997,95,-127,-118,-125
965,100,-103,-77,-105
951,102,-124,-86,-126
935,104,-135,-112,-140
927,105,-133,-104,-140
919,106,-109,-71,-111
910,107,-131,-106,-142
901,108,-134,-105,-138
892,109,-119,-82,-122
883,110,-137,-110,-147
874,111,-141,-106,-141
864,112,-116,-92,-123
855,113,-136,-96,-138
845,114,-134,-97,-137
835,115,-121,-77,-116
826,116,-127,-95,-134
816,117,-135,-119,-142
806,118,-119,-89,-121
796,119,-118,-93,-117
786,120,-135,-126,-149
776,121,-143,-99,-125
766,122,-125,-114,-138
747,124,-122,-103,-128
717,127,-104,-102,-131
686,130,-113,-111,-133
654,133,-118,-100,-129
621,136,-118,-114,-137
586,139,-119,-106,-133
548,142,-118,-97,-134
507,145,-118,-112,-140
493,146,-121,-104,-138
463,148,-136,-102,-134
432,150,-134,-111,-138
415,151,-120,-92,-128
382,153,-133,-107,-150
365,154,-125,-101,-131
330,156,-124,-112,-143
313,157,-128,-95,-135
276,159,-138,-106,-153
258,160,-139,-86,-131
221,162,-137,-99,-144
202,163,-136,-104,-141
165,165,-132,-93,-139
146,166,-133,-97,-138
108,168,-135,-112,-146
89,169,-141,-113,-139
32,172,-124,-87,-128
-24,175,-122,-89,-129
-80,178,-146,-114,-157
-136,181,-138,-115,-151
-193,184,-137,-106,-146
-249,187,-139,-120,-139
-306,190,-141,-117,-148
-364,193,-134,-110,-135
-423,196,-130,-74,-108
-503,200,-122,-105,-146
-606,205,-123,-91,-133
-711,210,-116,-113,-151
-797,214,-124,-109,-145
-818,215,-117,-100,-138
-927,220,-136,-107,-154
-1038,225,-118,-106,-145
-1150,230,-125,-121,-153
-1262,235,-117,-118,-146
-1375,240,-123,-94,-135
-1466,244,-122,-103,-143
-1489,245,-134,-113,-155
NA,255,-141,-118,-159
NA,260,-129,-113,-152
NA,265,-116,-90,-140
NA,270,-117,-100,-140
NA,275,-117,-90,-140
NA,280,-134,-84,-148
NA,285,-119,-92,-138
