year (AD),Depth (cm),d18O (per mil)
1025,34,-17.23
998,35,-17.59
834,41,-17.75
413,57.5,-17.07
295,62.5,-17.91
237,65,-17.73
215,66,-17.66
181,67.5,-18.04
137,69.5,-18.46
52,73.5,-17.41
10,75.5,-17.29
-20,77,-17.21
-40,78,-17.43
-69,79.5,-17.38
-98,81,-17.18
-117,82,-16.49
-182,85.5,-16.99
-243,89,-18.04
-260,90,-17.41
-309,93,-17.03
-325,94,-18.13
-348,95.5,-17.61
-385,98,-16.23
-406,99.5,-16.35
-427,101,-17.33
-447,102.5,-17.07
-467,104,-17.57
-491,106,-17.47
-532,109.5,-18.04
-548,111,-18.03
-587,115,-17.47
-613,118,-17.85
-655,124,-18.01
-669,126.5,-17.44
-705,135,-17.43
-726,141.5,-17.51
-742,146.5,-17.47
-767,153,-17.26
-786,157,-18.41
-800,159.5,-17.22
-843,165.5,-17.62
-876,169,-17.71
-891,170.5,-17.63
-920,173,-18.7
-973,177,-18.18
-988,178,-17.77
-1004,179,-17.53
-1037,181,-18.27
-1074,183,-17.73
-1113,185,-17.78
-1134,186,-17.67
-1155,187,-17.82
-1201,189,-18.24
-1225,190,-17.61
-1250,191,-17.94
-1276,192,-17.32
-1331,194,-17.81
-1360,195,-17.78
-1390,196,-17.66
-1421,197,-17.95
-1453,198,-18.05
-1485,199,-17.86
-1519,200,-18
