year (AD),depth (cm),d18O (permil)
1836,114,6.032
1820,130,6.824
1805,145,NA
1789,161,NA
1772,178,NA
1756,194,NA
1739,211,NA
1722,228,NA
1705,245,NA
1687,263,NA
1670,280,6.134
1652,298,6.519
1634,316,NA
1615,335,NA
1597,353,6.424
1578,372,5.88
1559,391,5.684
1540,410,5.219
1520,430,5.218
1500,450,6.193
1480,470,7.133
1460,490,6.897
1440,510,NA
1419,531,6.973
1398,552,6.812
1377,573,5.635
1356,594,5.606
1335,615,6.171
1313,637,6.986
1291,659,6.809
1269,681,7.267
1247,703,6.803
1224,726,5.939
1202,748,4.786
1179,771,6.781
1155,795,6.285
1132,818,5.343
1109,841,5.164
1085,865,5.55
1061,889,5.289
1037,913,6.59
1013,937,7.235
988,962,6.307
963,987,6.414
938,1012,7.37
913,1037,6.8
888,1062,6.978
863,1087,7.258
837,1113,7.296
811,1139,6.499
785,1165,5.907
759,1191,6.036
732,1218,5.888
706,1244,6.029
679,1271,6.694
652,1298,6.045
625,1325,4.872
598,1352,6.224
570,1380,6.253
543,1407,5.361
515,1435,4.609
487,1463,3.497
459,1491,3.703
430,1520,3.865
402,1548,3.994
373,1577,4.257
344,1606,3.961
286,1664,4.643
257,1693,4.106
227,1723,4.306
198,1752,4.27
168,1782,4.641
138,1812,4.564
108,1842,NA
77,1873,4.06
47,1903,4.53
16,1934,4.61
-14,1964,4.553
-45,1995,4.166
-76,2026,4.085
-107,2057,4.268
-139,2089,3.809
-170,2120,3.85
-202,2152,3.731
-234,2184,3.646
-265,2215,3.04
-298,2248,2.717
-330,2280,2.618
-362,2312,3.888
-394,2344,2.763
-427,2377,3.342
-460,2410,2.316
-493,2443,3.085
-526,2476,3.278
-559,2509,3.528
-592,2542,NA
-625,2575,NA
-659,2609,NA
-693,2643,3.722
-726,2676,3.302
-760,2710,4.55
-794,2744,4.746
-828,2778,4.594
-863,2813,4.415
-897,2847,4.899
-932,2882,4.716
-966,2916,4.242
-1001,2951,NA
-1036,2986,4.202
-1071,3021,NA
-1106,3056,NA
-1141,3091,4.093
-1176,3126,3.636
-1212,3162,NA
-1247,3197,NA
-1283,3233,NA
-1319,3269,NA
-1354,3304,2.194
-1390,3340,3.824
-1426,3376,NA
-1462,3412,NA
-1499,3449,NA
-1535,3485,NA
-1571,3521,2.604
-1608,3558,NA
-1645,3595,2.669
