year (AD),depth (cm),d18O (permil)
1996,1,0.32
1987,3,0.31
1979,5,0.39
1970,7,0.37
1962,9,0.22
1953,11,0.47
1945,13,0.35
1936,15,0.43
1928,17,0.33
1919,19,0.52
1910,21,0.38
1902,23,0.37
1893,25,0.43
1885,27,0.51
1876,29,0.6
1868,31,0.65
1859,33,0.61
1851,35,0.68
1842,37,0.6
1834,39,0.31
1825,41,0.56
1817,43,0.47
1808,45,0.66
1800,47,0.73
1791,49,0.51
1783,51,0.55
1778,53,0.6
1774,55,0.5
1770,57,0.36
1765,59,0.51
1761,61,0.42
1757,63,0.59
1753,65,0.44
1748,67,0.45
1744,69,0.66
1740,71,0.5
1736,73,0.33
1731,75,0.23
1727,77,0.38
1718,81,0.36
1714,83,0.33
1710,85,0.43
1706,87,0.44
1701,89,0.59
1697,91,0.48
1693,93,0.63
1689,95,0.34
1684,97,0.66
1680,99,0.43
1676,101,0.51
1671,103,0.39
1667,105,0.41
1663,107,0.53
1659,109,0.68
1654,111,0.57
1650,113,0.5
1642,117,0.54
1637,119,0.47
1633,121,0.52
1629,123,0.48
1625,125,0.48
1620,127,0.48
1616,129,0.33
1612,131,0.4
1607,133,0.35
1603,135,0.53
1599,137,0.46
1595,139,0.54
1591,141,0.44
1588,143,0.55
1585,145,0.49
1583,147,0.58
1580,149,0.44
1577,151,0.47
1574,153,0.55
1571,155,0.45
1568,157,0.46
1565,159,0.48
1563,161,0.3
1560,163,0.39
1557,165,0.49
1554,167,0.51
1551,169,0.32
1548,171,0.45
1545,173,0.47
1541,175,0.71
1537,177,0.52
1532,179,0.61
1528,181,0.41
1524,183,0.33
1520,185,0.61
1516,187,0.44
1511,189,0.34
1507,191,0.52
1503,193,0.49
1499,195,0.53
1495,197,0.48
1490,199,0.44
1485,201,0.35
1480,203,0.33
1475,205,0.29
1471,207,0.41
1466,209,0.57
1461,211,0.43
1456,213,0.53
1451,215,0.48
1446,217,0.38
1441,219,0.38
1437,221,0.48
1432,223,0.53
1427,225,0.22
1422,227,0.41
1417,229,0.45
1412,231,0.53
1407,233,0.45
1398,237,0.39
1393,239,0.59
1388,241,0.55
1383,243,0.4
1378,245,0.29
1373,247,0.38
1363,249,0.44
1348,251,0.4
1333,253,0.42
1318,255,0.45
1303,257,0.51
1288,259,0.49
1273,261,0.42
1258,263,0.37
1243,265,0.44
1228,267,0.55
1213,269,0.44
1198,271,0.27
1183,273,0.38
1168,275,0.44
1153,277,0.44
1138,279,0.54
1122,281,0.54
1107,283,0.4
1092,285,0.54
1077,287,0.44
1062,289,0.52
1047,291,0.44
1032,293,0.45
1017,295,0.55
1002,297,0.59
987,299,0.49
972,301,0.52
957,303,0.41
942,305,0.26
927,307,0.38
912,309,0.47
897,311,0.4
882,313,0.29
866,315,0.45
851,317,0.44
836,319,0.24
821,321,0.38
806,323,0.44
791,325,0.39
776,327,0.43
761,329,0.58
746,331,0.46
731,333,0.36
724,335,0.43
718,337,0.24
711,339,0.64
705,341,0.5
698,343,0.46
692,345,0.36
685,347,0.53
679,349,0.34
672,351,0.62
666,353,0.37
659,355,0.43
653,357,0.38
646,359,0.45
640,361,0.43
633,363,0.53
627,365,0.53
620,367,0.44
614,369,0.34
607,371,0.38
601,373,0.38
594,375,0.4
588,377,0.42
581,379,0.46
575,381,0.41
568,383,0.49
562,385,0.56
555,387,0.51
549,389,0.27
542,391,0.26
536,393,0.32
529,395,0.31
523,397,0.51
516,399,0.33
510,401,0.5
503,403,0.55
497,405,0.39
490,407,0.39
484,409,0.5
477,411,0.51
471,413,0.53
445,415,0.32
419,417,0.55
393,419,0.34
367,421,0.52
316,425,0.39
290,427,0.21
264,429,0.48
238,431,0.57
212,433,0.39
186,435,0.68
160,437,0.69
135,439,0.46
109,441,0.58
83,443,0.43
57,445,0.54
31,447,0.58
5,449,0.41
-21,451,0.44
-46,453,0.51
-72,455,0.44
-98,457,0.24
-124,459,0.38
-150,461,0.48
-176,463,0.58
-202,465,0.43
-228,467,0.35
-253,469,0.53
-279,471,0.34
-305,473,0.42
-331,475,0.44
-357,477,0.52
-383,479,0.43
-409,481,0.24
-435,483,0.34
-460,485,0.44
-486,487,0.3
-512,489,0.38
-538,491,0.38
-564,493,0.46
-590,495,0.32
-616,497,0.38
-642,499,0.44
-667,501,0.56
-693,503,0.4
-719,505,0.35
-745,507,0.4
-771,509,0.41
-797,511,0.41
-823,513,0.31
-848,515,0.36
-874,517,0.29
-926,521,0.42
-952,523,0.5
-978,525,0.31
-1004,527,0.48
-1030,529,0.4
-1055,531,0.36
-1081,533,0.43
-1107,535,0.53
-1159,539,0.4
