year (AD),depth (cm),d18O (permil),temperature (degC),d18O (permil),Mg_Ca (mmol/mol),core ()
1986.64,2.5,NA,NA,-3.09,NA,MC31
1982.09,3.5,-0.4,28.71,-3.21,5.03,MC31
1977.55,4.5,-0.24,28.79,-3.06,5.07,MC31
1973,5.5,-0.19,28.25,-2.9,4.83,MC31
1968.45,6.5,-0.05,29.16,-2.96,5.24,MC31
1963.91,7.5,-0.39,28.44,-3.15,4.91,MC31
1959.36,8.5,-0.18,29.05,-3.07,5.19,MC31
1954.82,9.5,-0.36,28.3,-3.09,4.85,MC31
1950.27,10.5,-0.06,28.52,-2.84,4.95,MC31
1950,4,NA,28.04,NA,4.74,32GGC
1945.73,11.5,-0.3,28.39,-3.05,4.89,MC31
1942.67,5,NA,NA,-3.08,NA,32GGC
1941.18,12.5,-0.27,27.76,-2.88,4.62,MC31
1936.64,13.5,-0.33,27.78,-2.95,4.63,MC31
1934.99,6,-0.5,28.06,-3.18,4.75,32GGC
1932.09,14.5,-0.37,28.15,-3.07,4.79,MC31
1927.55,15.5,-0.56,27.24,-3.06,4.41,MC31
1927.48,7,-0.48,28.49,-3.25,4.94,32GGC
1923,16.5,-0.52,27.76,-3.14,4.62,MC31
1919.97,8,-0.09,28.19,-2.79,4.81,32GGC
1918.5,NA,NA,NA,-3.09,NA,MC31
1913.91,18.5,-0.37,28.35,-3.11,4.87,MC31
1912.46,9,-0.16,27.98,-2.82,4.71,32GGC
1909.36,19.5,-0.45,27.85,-3.09,4.66,MC31
1904.96,10,-0.37,28.1,-3.06,4.77,32GGC
1904.82,20.5,-0.61,28.12,-3.3,4.77,MC31
1900.53,10.75,NA,NA,-2.85,NA,32GGC
1900.27,21.5,-0.38,27.2,-2.88,4.4,MC31
1897.45,11,-0.27,27.59,-2.85,4.55,32GGC
1895.73,22.5,-0.17,28.92,-3.03,5.13,MC31
1893.21,11.75,NA,NA,-3,NA,32GGC
1891.18,23.5,-0.03,28.07,-2.71,4.75,MC31
1885.88,12.75,NA,NA,-3.02,NA,32GGC
1884.27,24.5,-0.19,29,-3.06,5.17,MC31
1883.02,13.14,NA,NA,-3.04,NA,32GGC
1877.36,25.5,-0.19,28.17,-2.89,4.79,MC31
1876.8,13.75,-0.28,28.39,-3.02,4.89,32GGC
1871.22,14.75,NA,NA,-3.03,NA,32GGC
1870.45,26.5,-0.37,28.85,-3.21,5.1,MC31
1863.54,27.5,-0.61,27.76,-3.22,4.62,MC31
1861.79,15.75,-0.23,27.73,-2.84,4.61,32GGC
1856.63,28.5,-0.61,27.8,-3.23,4.64,MC31
1854.28,16.75,-0.53,27.6,-3.11,4.56,32GGC
1849.72,29.5,-0.57,27.3,-3.09,4.44,MC31
1846.77,17.75,-0.63,27.03,-3.09,4.33,32GGC
1842.81,30.5,-0.39,27.99,-3.05,4.72,MC31
1839.26,18.75,0.09,29.01,-2.79,5.17,32GGC
1835.9,31.5,-0.35,27.71,-2.95,4.6,MC31
1834.58,19.75,NA,NA,-2.8,NA,32GGC
1828.98,32.5,-0.58,27.45,-3.13,4.49,MC31
1824.25,20.75,-0.14,27.24,-2.65,4.41,32GGC
1822.07,33.5,-0.7,27.05,-3.17,4.34,MC31
1815.16,34.5,-0.3,27.51,-2.87,4.52,MC31
1808.25,35.5,-0.25,27.5,-2.82,4.52,MC31
1801.34,36.5,-0.1,28.93,-2.96,5.13,MC31
1794.43,37.5,-0.53,27.3,-3.05,4.44,MC31
1788.78,26,NA,NA,-2.92,NA,32GGC
1787.52,38.5,-0.49,27.84,-3.13,4.65,MC31
1786.71,25.75,-0.39,27.38,-2.92,4.47,32GGC
1780.61,39.5,-0.41,27.28,-2.93,4.42,MC31
1773.7,40.5,-0.39,28.02,-3.06,4.73,MC31
1766.79,41.5,-0.52,27.83,-3.15,4.65,MC31
1759.88,42.5,-0.69,28.39,-3.44,4.89,MC31
1752.96,43.5,-0.42,27.59,-3,4.55,MC31
1752.13,31,NA,NA,-3.14,NA,32GGC
1749.18,30.75,-0.58,27.49,-3.14,4.51,32GGC
1746.05,44.5,-0.43,27.82,-3.06,4.65,MC31
1739.14,45.5,-0.61,27.08,-3.08,4.35,MC31
1732.23,46.5,-0.43,27.75,-3.05,4.62,MC31
1725.32,47.5,NA,NA,-3.09,NA,MC31
1718.41,48.5,-0.55,26.93,-2.99,4.29,MC31
1711.64,35.75,-0.6,27.43,-3.15,4.49,32GGC
1711.5,49.5,-0.42,28.06,-3.1,4.75,MC31
1674.1,40.75,-0.57,27.5,-3.13,4.51,32GGC
1636.56,45.75,-0.35,27.92,-3,4.69,32GGC
1622.47,0.5,-0.7,27.21,-3.2,4.15,34GGC
1618.41,1.5,-0.32,28.44,-3.08,4.67,34GGC
1614.34,2.5,-0.29,28.68,-3.1,4.77,34GGC
1610.28,3.5,-0.46,28.68,-3.27,4.77,34GGC
1606.22,4.5,-0.23,28.52,-3,4.7,34GGC
1599.03,50.75,-0.53,27.32,-3.05,4.44,32GGC
1581.84,10.5,-1.02,27.56,-3.59,4.29,34GGC
1577.78,11.5,-0.51,27.5,-3.07,4.27,34GGC
1570.76,55.75,NA,NA,-3,NA,32GGC
1569.66,13.5,-0.46,27.72,-3.07,4.36,34GGC
1561.53,15.5,-0.67,27.76,-3.29,4.37,34GGC
1559.61,56,-0.24,28.45,-3,4.92,32GGC
1557.47,16.5,-0.19,28.22,-2.9,4.57,34GGC
1545.28,19.5,-0.36,27.54,-2.93,4.28,34GGC
1541.22,20.5,NA,NA,-2.98,NA,34GGC
1537.16,21.5,NA,27.43,NA,4.24,34GGC
1533.09,22.5,-0.39,27.86,-3.03,4.42,34GGC
1532.28,61,NA,NA,-3.06,NA,32GGC
1520.91,25.5,-0.73,27.54,-3.3,4.28,34GGC
1516.84,26.5,-0.56,28.24,-3.28,4.58,34GGC
1512.78,27.5,-0.9,27.34,-3.43,4.2,34GGC
1508.72,28.5,-0.47,28.34,-3.21,4.62,34GGC
