year (AD),depth (cm),dD (permil),core (NaN)
1998,0.5,-171.9,MC31
1987,2.5,-174.5,MC31
1978,4.5,-171.9,MC31
1969,6.5,-175.1,MC31
1959,8.5,-176,MC31
1950,10.5,-175.8,MC31
1941,12.5,-177.9,MC31
1932,14.5,-176.5,MC31
1923,16.5,-177.4,MC31
1914,18.5,-176.3,MC31
1905,20.5,-176.1,MC31
1896,22.5,-176.7,MC31
1884,24.5,-178.6,MC31
1870,26.5,-177.3,MC31
1857,28.5,-177.4,MC31
1843,30.5,-178.4,MC31
1829,32.5,-178.1,MC31
1815,34.5,-178,MC31
1801,36.5,-176.9,MC31
1788,38.5,-178.5,MC31
1774,40.5,-175.4,MC31
1760,42.5,-176.2,MC31
1746,44.5,-176,MC31
1732,46.5,-176.5,MC31
1718,48.5,-175.7,MC31
1619,1.25,-177.2,34GGC
1588,9,-179.7,34GGC
1555,17,-178.4,34GGC
1490,33,-179.5,34GGC
1458,41,-172.4,34GGC
1425,49,-177.1,34GGC
1393,57,-177.8,34GGC
1360,65,-178.9,34GGC
1328,73,-179,34GGC
1295,81,-174.8,34GGC
1263,89,-174.7,34GGC
1230,97,-173.5,34GGC
1196,105,-174.2,34GGC
1148,113,-172.6,34GGC
1101,121,-171.9,34GGC
1053,129,-174.8,34GGC
1005,137,-174.8,34GGC
958,145,-178,34GGC
910,153,-178.3,34GGC
862,161,-174.2,34GGC
815,169,-179,34GGC
767,177,-174.7,34GGC
719,185,-177.5,34GGC
672,193,-175.1,34GGC
626,201,-176.2,34GGC
595,209,-174,34GGC
565,217,-177,34GGC
534,225,-177,34GGC
503,233,-175.6,34GGC
473,241,-175.2,34GGC
442,249,-173.9,34GGC
411,257,-172.6,34GGC
381,265,-175,34GGC
350,273,-174.8,34GGC
319,281,-174.7,34GGC
289,289,-169.9,34GGC
258,297,-174.9,34GGC
222,305,-173.3,34GGC
162,313,-170.5,34GGC
100,321,-173.9,34GGC
39,329,-175.4,34GGC
-23,337,-176.1,34GGC
-85,345,-175.2,34GGC
-146,353,-173.9,34GGC
-208,361,-174.6,34GGC
-269,369,-174.3,34GGC
-331,377,-174.2,34GGC
