year (AD),depth (cm),d18O (permil),Mg_Ca (mmol/mol),temperature (degC),Mg_Ca_sd (mmol/mol),d18OUncertainty (permil),d18O (permil)
1950,1,1.404306996,4.88,25.61495078,0.02,0.39,-1.46
1857,2.5,0.9629921403,4.33,24.46516542,0.13,NA,-1.64
1795,3.5,1.406821611,4.71,25.27401509,0.09,0.03,-1.38
1733,4.5,1.48727183,4.82,25.49599605,NA,0.02,-1.35
1670,5.5,0.761574102,4.21,24.19492605,NA,0.22,-1.78
1608,6.5,1.231931063,4.23,24.24049668,0.01,0.13,-1.32
1546,7.5,1.166487486,4.54,24.92054494,0.03,0.08,-1.54
1484,8.5,1.226377156,4.2,24.17205949,0.17,NA,-1.31
1422,9.5,0.8722866327,4.49,24.81406118,0.16,0.21,-1.81
1353,10.5,1.038033238,4.34,24.48734625,0.06,NA,-1.57
1336,11.5,1.231668708,4.53,24.89934232,0.43,0.23,-1.47
1319,12.5,1.09299214,4.33,24.46516542,NA,NA,-1.51
1302,13.5,1.177148291,4.5,24.83545248,0,0.07,-1.51
1285,14.5,1.205657036,4.58,25.00489096,0.14,0.06,-1.52
1269,15.5,1.09609328,4.56,24.96281043,0.1,0,-1.62
1252,16.5,0.8080380295,4.4,24.61936733,0.09,NA,-1.83
1235,17.5,0.8764874856,4.54,24.92054494,0.31,0.25,-1.83
1218,18.5,1.111456427,4.72,25.29440828,0.2,0.2,-1.68
1201,19.5,1.044099711,4.64,25.13003873,0.01,0.11,-1.71
1184,20.5,0.942887337,4.43,24.68470428,NA,NA,-1.71
1167,21.5,1.053062733,4.35,24.50947602,0.22,0.28,-1.56
1151,22.5,1.01299214,4.33,24.46516542,0.01,0.09,-1.59
1134,23.5,0.9819991584,4.51,24.8567963,NA,0.22,-1.71
1117,24.5,1.146487486,4.54,24.92054494,0.14,0.2,-1.56
1100,25.5,0.8428749246,4.31,24.42064967,0.08,0.21,-1.75
1083,26.5,0.9929921403,4.33,24.46516542,0.13,0.11,-1.61
1066,27.5,0.9143505785,4.12,23.98714255,0.21,0.02,-1.58
1049,28.5,0.892887337,4.43,24.68470428,0.07,NA,-1.76
1032,29.5,1.018185269,4.8,25.45601519,0.23,0.09,-1.81
1016,30.5,NA,NA,NA,NA,NA,-1.54
999,31.5,0.8727106519,4.29,24.37592687,0.17,0.05,-1.71
982,32.5,0.9229921403,4.33,24.46516542,0.18,0.36,-1.68
965,33.5,0.9574141342,4.48,24.79262219,0,0.13,-1.72
948,34.5,1.357798698,4.3,24.39831427,NA,0.13,-1.23
931,35.5,1.107375047,4.26,24.30845021,NA,0.04,-1.46
914,36.5,1.311456427,4.72,25.29440828,0.01,0.02,-1.48
898,37.5,0.9446598918,4.62,25.08850352,NA,0.09,-1.8
881,38.5,1.21818342,4.67,25.19200705,NA,0.12,-1.55
864,39.5,1.255179119,4.6,25.04678812,NA,NA,-1.48
847,40.5,0.9624988825,4.27,24.33099508,0.32,0.14,-1.61
830,41.5,1.016839282,4.52,24.87809284,0.1,0.28,-1.68
813,42.5,1.318082137,4.38,24.5755614,NA,NA,-1.31
796,43.5,0.9630871295,4.37,24.55358337,NA,0.06,-1.66
780,44.5,NA,NA,NA,NA,0.2,-1.44
763,45.5,1.102286633,4.49,24.81406118,NA,0.25,-1.58
746,46.5,1.017148291,4.5,24.83545248,NA,0.15,-1.67
729,47.5,NA,NA,NA,NA,NA,-1.8
712,48.5,1.152857892,4.68,25.21257472,0.1,0.32,-1.62
695,49.5,0.9930871295,4.37,24.55358337,NA,0.06,-1.63
678,50.5,1.02594604,4.18,24.12616258,0.08,NA,-1.5
661,51.5,0.9867587181,4.22,24.21773836,NA,NA,-1.56
645,52.5,0.7777986977,4.3,24.39831427,0.13,NA,-1.81
628,53.5,0.7068392815,4.52,24.87809284,0.05,0.01,-1.99
611,54.5,0.8222391703,4.25,24.28585235,0.07,NA,-1.74
594,55.5,1.181574102,4.21,24.19492605,0.05,0.34,-1.36
577,56.5,1.303065753,4.39,24.59748931,0.15,0.11,-1.33
560,57.5,1.112530747,4.47,24.77113529,0.26,0.13,-1.56
543,58.5,1.208080679,4.36,24.53155499,0.05,0.05,-1.41
527,59.5,1.30223917,4.25,24.28585235,0.22,0.1,-1.26
510,60.5,1.092999018,4.41,24.64119568,0.11,0.02,-1.55
493,61.5,1.127948771,4.42,24.66297459,0.02,0.14,-1.52
476,62.5,1.097814768,4.44,24.70638498,0.32,0.24,-1.56
459,63.5,1.36299214,4.33,24.46516542,0.17,0.06,-1.24
442,64.5,1.38308713,4.37,24.55358337,0.35,0.11,-1.24
425,65.5,1.122731114,4.45,24.7280169,0.25,0.24,-1.54
409,66.5,0.9896483137,4.13,24.01045258,0.2,NA,-1.51
392,67.5,1.263030266,4.08,23.89333317,0.18,0.01,-1.21
375,68.5,NA,4.46,24.74960026,0.08,NA,NA
358,69.5,0.941499898,4.04,23.79859955,NA,0.38,-1.51
