year (AD),depth (cm),d18O (permil),temperature (degC),d18O (permil),Mg_Ca (mol_mol)
1294.17,1.01,0.4676214449,24.86,-1.55,4.33
1288.26,1.02,0.3192596405,24.49,-1.62,4.22
1282.29,1.03,0.8499389987,25.44,-1.29,4.51
1276.24,1.04,0.6998719022,25.63,-1.48,4.57
1270.13,1.05,0.5573146631,25.38,-1.57,4.49
1263.94,1.06,0.4736169249,25.22,-1.62,4.44
1257.69,1.07,0.8201565757,26.3,-1.5,4.79
1251.36,1.08,0.4898719022,25.63,-1.69,4.57
1244.96,1.09,0.4836276692,25.41,-1.65,4.5
1238.5,1.1,0.3528161674,24.79,-1.65,4.31
1231.96,1.11,0.653963727,24.89,-1.37,4.34
1225.36,1.12,0.8662486528,25.47,-1.28,4.52
1218.69,1.13,0.1989965553,23.55,-1.54,3.95
1211.94,1.14,0.742679316,26.36,-1.59,4.81
1205.13,1.15,0.5851850088,25.18,-1.5,4.43
1198.24,1.16,0.4928161674,24.79,-1.51,4.31
1191.29,1.17,0.742679316,26.36,-1.59,4.81
1184.26,1.18,0.6491624217,24.82,-1.36,4.32
1177.17,1.19,0.3825777876,25.31,-1.73,4.47
1170,1.2,0.6125315104,25.12,-1.46,4.41
1162.77,1.21,0.8488210412,26.15,-1.44,4.74
1155.46,1.22,0.8460264923,25.85,-1.38,4.64
1148.09,1.23,0.4580016089,24.72,-1.53,4.29
1140.64,1.24,0.7876413928,25.81,-1.43,4.63
1133.13,1.25,0.5125315104,25.12,-1.56,4.41
1125.54,1.26,0.7339575727,26.51,-1.63,4.86
1117.89,1.27,0.4925777876,25.31,-1.62,4.47
1110.16,1.28,0.8738927495,26.27,-1.44,4.78
1102.37,1.29,0.5348821987,25.94,-1.71,4.67
1094.5,1.3,0.7625777876,25.31,-1.35,4.47
1086.57,1.31,0.2672111679,24.01,-1.57,4.08
1078.56,1.32,0.8698719022,25.63,-1.31,4.57
1070.48,1.33,0.4752960159,24.66,-1.5,4.27
1062.34,1.34,0.7925777876,25.31,-1.32,4.47
1054.13,1.35,0.6036169249,25.22,-1.49,4.44
1045.84,1.36,0.3368218199,24.62,-1.63,4.26
1037.48,1.37,0.6625315104,25.12,-1.41,4.41
1029.05,1.38,NA,NA,-1.49,NA
1020.57,1.39,0.2385078283,24.11,-1.62,4.11
