year (AD),depth (cm),d18O (permil),d18O (permil)
1529,10.5,1.66,3.47
1462,11.5,2.78,3.25
1394,12.5,3.26,3.31
1326,13.5,NA,3.06
1258,14.5,NA,3.28
1190,15.5,NA,3.5
1122,16.5,NA,2.99
1054,17.5,NA,3.43
986,18.5,3.57,3.51
918,19.5,NA,3.02
850,20.5,2.67,3.05
787,21.5,NA,3.2
729,22.5,2.71,3.28
671,23.5,NA,3.17
613,24.5,2.41,3.1
555,25.5,NA,3.3
497,26.5,2.63,3.42
439,27.5,NA,3.41
384,28.5,1.33,3.25
331,29.5,2.22,3.47
277,30.5,2.65,3.19
224,31.5,NA,3.12
171,32.5,2.55,3.41
117,33.5,NA,3.2
64,34.5,2.78,3.28
11,35.5,2.85,3.18
-43,36.5,NA,3.13
-96,37.5,2.76,3.14
-149,38.5,NA,3.21
-203,39.5,NA,3.26
-256,40.5,2.09,3.24
-308,41.5,NA,3.39
-360,42.5,2.96,3.38
-411,43.5,NA,3.21
-463,44.5,2.71,3.25
-514,45.5,NA,3.24
-565,46.5,2.81,3.24
-668,48.5,2.3,3.18
-720,49.5,NA,3.15
-771,50.5,1.88,3.07
-823,51.5,NA,3.33
-874,52.5,NA,3.05
-925,53.5,NA,3.25
-977,54.5,NA,3.13
-1028,55.5,2.66,3.28
-1080,56.5,NA,3.38
-1131,57.5,NA,3.14
-1183,58.5,NA,3.37
-1234,59.5,NA,3.06
-1286,60.5,2.82,3.11
-1344,61.5,NA,3.26
-1402,62.5,2.75,3.24
-1460,63.5,NA,3.16
-1518,64.5,NA,3.18
-1576,65.5,NA,3.28
-1635,66.5,NA,3.53
-1693,67.5,3.69,3.37
-1751,68.5,NA,3.41
-1809,69.5,NA,3.4
-1867,70.5,NA,3.26
-1926,71.5,NA,3.52
-1984,72.5,2.56,3.38
-2042,73.5,NA,3.33
-2100,74.5,NA,3.45
-2158,75.5,NA,3.38
-2217,76.5,NA,3.57
-2275,77.5,1.87,3.28
-2333,78.5,NA,3.4
-2391,79.5,NA,3.52
-2449,80.5,NA,3.25
-2508,81.5,NA,3.3
-2566,82.5,2.9,3.42
-2624,83.5,NA,3.05
-2682,84.5,NA,3.34
-2740,85.5,2.48,3.21
-2798,86.5,NA,3.26
-2857,87.5,3.19,3.04
-2915,88.5,NA,3.28
-2973,89.5,NA,3.25
-3031,90.5,2.54,3.3
-3089,91.5,2.56,3.39
-3148,92.5,2.81,3.27
-3264,94.5,2.53,3.19
-3302,95.5,2.16,3.19
-3341,96.5,2.48,3.14
-3379,97.5,2.91,3.38
-3418,98.5,2.41,3.07
-3456,99.5,3.28,3.38
-3495,100.5,2.54,3.58
-3533,101.5,2.73,3.4
-3572,102.5,1.59,2.96
-3610,103.5,2.53,3.2
-3649,104.5,2.31,3.11
-3687,105.5,2.42,3.19
-3726,106.5,2.59,2.92
-3764,107.5,2.41,3.25
-3803,108.5,2.34,2.99
-3860,110,2.51,3.19
