year (AD),depth (cm),d18O (permil),d18O (permil),core ()
2001,0,1.3,-0.01,POS287_26-1B
1998,1,NA,-0.15,POS287_26-1B
1995,2,0.67,-0.43,POS287_26-1B
1992,3,NA,-0.22,POS287_26-1B
1988,4,0.74,-0.17,POS287_26-1B
1985,5,NA,0.08,POS287_26-1B
1982,6,0.56,0.05,POS287_26-1B
1979,7,NA,-0.04,POS287_26-1B
1976,8,0.54,-0.12,POS287_26-1B
1973,9,NA,-0.09,POS287_26-1B
1969,10,NA,0.01,POS287_26-1B
1966,11,NA,-0.06,POS287_26-1B
1963,12,0.67,0.1,POS287_26-1B
1960,13,NA,0.2,POS287_26-1B
1957,14,NA,0.06,POS287_26-1B
1954,15,0.91,0.31,POS287_26-1B
1950,16,NA,0.12,POS287_26-1B
1947,17,NA,0.38,POS287_26-1B
1944,18,NA,0.14,POS287_26-1B
1941,19,NA,-0.1,POS287_26-1B
1938,20,0.48,0.04,POS287_26-1B
1935,21,NA,-0.12,POS287_26-1B
1932,22,0.59,-0.07,POS287_26-1B
1928,23,NA,0.12,POS287_26-1B
1925,24,NA,0.15,POS287_26-1B
1922,25,NA,-0.28,POS287_26-1B
1919,26,0.7,0.15,POS287_26-1B
1916,27,NA,0.03,POS287_26-1B
1913,28,NA,0.26,POS287_26-1B
1909,29,0.84,0.08,POS287_26-1B
1906,30,NA,0.03,POS287_26-1B
1903,31,NA,-0.02,POS287_26-1B
1900,32,0.32,0.07,POS287_26-1B
1903,18,0.78,-0.24,POS287_26-3G
1897,20,0.74,0.05,POS287_26-3G
1894,21,NA,0.19,POS287_26-3G
1891,22,NA,0.18,POS287_26-3G
1888,23,NA,0.09,POS287_26-3G
1885,24,NA,-0.13,POS287_26-3G
1882,25,NA,0.4,POS287_26-3G
1879,26,NA,0.19,POS287_26-3G
1876,27,NA,0.32,POS287_26-3G
1873,28,NA,0.22,POS287_26-3G
1871,29,NA,0.22,POS287_26-3G
1868,30,NA,0.05,POS287_26-3G
1865,31,0.74,0.07,POS287_26-3G
1862,32,NA,0.24,POS287_26-3G
1859,33,NA,-0.04,POS287_26-3G
1856,34,NA,0.23,POS287_26-3G
1853,35,NA,0.16,POS287_26-3G
1850,36,NA,0.35,POS287_26-3G
1847,37,NA,0.3,POS287_26-3G
1844,38,NA,0.3,POS287_26-3G
1841,39,NA,0.39,POS287_26-3G
