year (AD),d18O (permil),d13C (permil)
1995,-6.58207,-10.98
1995,-6.58207,-10.81
1977,-6.72757,-10.92
1951,-6.68877,-9.81
1922,-7.60058,-10.22
1907,-7.34837,-10.31
1880,-7.87218,-10.14
1866,-7.20287,-9.73
1844,-6.72757,-9.74
1810,-6.64027,-9.88
1791,-6.64027,-10.95
1774,-7.30957,-9.92
1754,-7.06707,-10.46
1716,-6.78577,-9.67
1688,-6.88277,-9.87
1668,-6.99917,-10.36
1642,-6.92157,-10.84
1618,-7.38717,-11.08
1595,-6.95067,-11.17
1576,-6.45596,-11.63
1554,-6.05826,-11.49
1537,-6.83427,-11.61
1520,-6.74697,-11.72
1507,-6.55297,-11.76
1482,-6.32986,-11.73
1456,-6.46566,-12.36
1435,-6.94097,-12.24
1417,-6.94097,-12.25
1398,-6.80517,-11.75
1378,-6.73727,-11.73
1361,-7.31927,-11.78
1342,-7.30957,-12.24
1319,-6.52387,-11.83
1303,-7.14467,-11.9
1286,-6.99917,-11.92
1265,-6.69847,-11.62
1247,-7.02827,-11.6
1230,-7.15437,-12
1210,-6.53357,-12.09
1192,-7.85278,-12.1
1174,-6.92157,-11.89
1162,-6.59177,-11.47
1140,-7.18347,-11.94
1123,-7.85278,-12.23
1108,-7.61028,-12.03
1088,-7.64908,-11.69
1071,-7.02827,-11.77
1053,-6.86337,-11.95
1032,-7.27077,-11.7
1015,-5.99036,-11.78
991,-7.33867,-11.92
928,-6.55297,-11.54
881,-7.08647,-11.64
857,-6.43656,-11.66
831,-6.45596,-11.42
823,-7.27077,-11.5
793,-7.86248,-11.88
752,-7.04767,-11.78
716,-7.60058,-11.48
702,-6.73727,-11.8
676,-7.72668,-11.54
668,-7.22227,-11.46
648,-6.70817,-11.42
627,-7.19317,-11.43
614,-7.11557,-11.4
584,-6.47536,-10.44
565,-7.22227,-11.94
526,-6.06796,-10.91
466,-6.50447,-11.01
446,-7.36777,-11.73
423,-6.56267,-11.9
400,-6.51417,-11.73
379,-6.69847,-11.35
362,-6.77607,-11.85
347,-6.55297,-11.22
325,-7.37747,-11.83
289,-6.47536,-11.63
263,-6.65967,-12.03
213,-6.84397,-12.23
187,-6.85367,-11.43
163,-6.61117,-12.02
134,-6.65967,-11.72
109,-6.86337,-11.19
81,-6.23286,-9.43
61,-6.21346,-9.43
38,-6.01946,-8.41
18,-6.49477,-7.31
0,-6.86337,-11.6
-24,-7.73638,-11.16
-44,-7.89158,-11.46
-60,-6.87307,-11.61
-78,-7.25137,-11.87
-113,-7.87218,-11.66
-140,-8.10498,-11.73
-164,-7.45507,-11.72
-180,-7.22227,-11.33
-205,-7.05737,-11.42
-225,-7.02827,-11.56
-238,-6.22316,-11.91
-264,-7.19317,-11.9
-302,-6.88277,-11.68
-318,-7.17377,-11.78
-356,-6.77607,-12.09
-370,-7.08647,-11.85
-387,-6.93127,-11.76
-406,-7.21257,-11.74
-426,-7.79458,-11.74
-449,-6.72757,-11.84
-469,-7.06707,-11.77
-488,-6.42686,-11.78
-502,-7.38717,-12.34
-523,-7.55208,-12.13
-541,-7.21257,-11.49
-561,-7.40657,-11.99
-584,-6.76637,-12.72
-637,-7.26107,-11.93
-657,-7.02827,-12.06
-682,-7.64908,-11.49
-745,-7.61028,-11.95
-794,-6.67907,-11.35
-822,-7.60058,-11.67
-844,-6.54327,-11.28
-868,-6.53357,-11.03
-898,-6.20376,-8.95
-911,-6.27166,-8.49
