year (AD),depth (cm),d18O (permil)
1642,NA,-0.2
1618,NA,-0.59
1608,NA,-0.58
1597,NA,-0.73
1584,NA,-1.26
1571,NA,-1.19
1552,NA,-0.69
1537,NA,-0.89
1523,NA,-1.26
1505,NA,-1.17
1489,NA,-1.39
1473,NA,-1.49
1455,NA,-0.74
1436,NA,-0.76
1423,NA,-0.78
1402,NA,-0.54
1384,NA,-0.26
1371,NA,-0.41
1352,NA,-0.7
1331,NA,-0.92
1297,NA,-0.89
1273,NA,-0.64
1255,NA,-0.76
1239,NA,-0.54
1223,NA,-0.48
1197,NA,-0.5
1181,NA,-0.63
1162,NA,-0.5
1144,NA,-0.6
1125,NA,-0.53
1102,NA,-0.61
1086,NA,-0.25
1070,NA,-0.72
1049,NA,-0.49
1028,NA,-0.12
1004,NA,0.03
988,NA,-0.28
962,NA,-0.54
949,NA,-1.13
933,NA,-1.05
915,NA,-0.98
899,NA,-0.17
883,NA,-0.64
865,NA,-0.25
843,NA,-0.34
820,NA,-0.74
804,NA,-0.29
780,NA,-0.58
764,NA,-0.62
746,NA,-0.24
728,NA,-0.25
709,NA,0.11
696,NA,0.07
677,NA,-0.25
656,NA,-0.57
638,NA,-0.53
-750,NA,-0.85
-755,NA,-0.99
-761,NA,-1.08
-766,NA,-1.01
-772,NA,-0.9
-777,NA,-1.06
-782,NA,-1.28
-788,NA,-1.16
-793,NA,-1.06
-799,NA,-0.98
-804,NA,-1.47
-809,NA,-1
-815,NA,-1.21
-820,NA,-1.35
-826,NA,-1.39
-831,NA,-1.2
-836,NA,-1.36
-842,NA,-1.3
-847,NA,-1.08
-853,NA,-1.05
-858,NA,-1.04
-863,NA,-0.97
-869,NA,-1.04
-874,NA,-1.18
-880,NA,-1.15
-885,NA,-1.11
-890,NA,-1.02
-896,NA,-0.97
-901,NA,-0.72
-907,NA,-0.84
-912,NA,-0.54
-917,NA,-0.68
-923,NA,-0.54
-928,NA,-0.89
-934,NA,-0.78
-939,NA,-0.93
-944,NA,-0.83
-950,NA,-0.9
-955,NA,-0.87
-961,NA,-0.75
-966,NA,-0.84
-971,NA,-0.85
-977,NA,-0.98
-982,NA,-0.91
-988,NA,-0.71
-993,NA,-0.94
-998,NA,-0.99
-1004,NA,-1.03
-1009,NA,-1.16
-1015,NA,-1.14
-1023,NA,-1.13
-1029,NA,-1.19
-1043,NA,-1.13
-1050,NA,-1.2
-1056,NA,-1.15
-1062,NA,-1.01
-1071,NA,-1
-1077,NA,-0.96
-1083,NA,-0.88
-1091,NA,-0.59
-1096,NA,-1.03
-1105,NA,-0.76
-1111,NA,-0.72
-1122,NA,-1.04
-1129,NA,-0.99
-1133,NA,-0.79
-1139,NA,-0.98
-1145,NA,-0.75
-1151,NA,-1
-1155,NA,-1.05
-1162,NA,-0.95
-1166,NA,-0.63
-1172,NA,-0.83
-1174,NA,-1.29
-1177,NA,-0.98
-1178,NA,-0.96
-1185,NA,-1.17
-1192,NA,-1.16
-1197,NA,-1.1
-1203,NA,-1
-1207,NA,-1.18
-1209,NA,-0.99
-1213,NA,-1.1
-1217,NA,-0.9
-1219,NA,-0.98
-1226,NA,-1.08
-1232,NA,-1.1
-1239,NA,-1.13
-1244,NA,-1.22
-1250,NA,-1.28
-1256,NA,-1.1
-1263,NA,-1.06
-1270,NA,-1.24
-1283,NA,-1.32
-1290,NA,-1.19
-1295,NA,-1.17
-1301,NA,-1.02
-1306,NA,-1.34
-1312,NA,-1.38
-1317,NA,-1.04
-1322,NA,-1.28
-1328,NA,-1.15
-1333,NA,-0.8
-1338,NA,-0.88
-1343,NA,-1
-1348,NA,-1.23
-1353,NA,-0.92
-1359,NA,-0.68
-1366,NA,-1.9
-1372,NA,-0.91
-1377,NA,-1.09
-1382,NA,-1.12
-1386,NA,-1
-1390,NA,-1.12
-1396,NA,-1.13
-1400,NA,-1.23
-1404,NA,-0.85
-1409,NA,-0.75
-1415,NA,-0.82
-1420,NA,-0.49
-1425,NA,-0.66
-1431,NA,-0.81
-1437,NA,-0.77
-1441,NA,-0.8
-1447,NA,-0.92
-1452,NA,-1.03
-1458,NA,-0.93
-1462,NA,-1.01
-1468,NA,-1.11
-1472,NA,-1.26
-1477,NA,-1.2
-1483,NA,-1.12
-1489,NA,-1.12
-1496,NA,-1.25
-1500,NA,-1.81
-1505,NA,-0.87
-1510,NA,-0.99
-1516,NA,-1.08
-1520,NA,-1.16
-1527,NA,-1.17
-1531,NA,-0.74
-1537,NA,-0.99
-1540,NA,-0.82
-1545,NA,-0.77
-1550,NA,-0.97
-1554,NA,-0.81
-1559,NA,-0.81
-1565,NA,-0.95
-1568,NA,-1.07
-1572,NA,-1.13
-1577,NA,-1.04
-1581,NA,-1.14
-1584,NA,-1.09
-1597,NA,-0.94
-1601,NA,-0.82
-1605,NA,-0.86
-1609,NA,-0.69
-1613,NA,-0.71
-1617,NA,-0.58
-1621,NA,-0.72
-1626,NA,-0.83
-1629,NA,-0.68
-1635,NA,-0.5
-1638,NA,-0.74
-1642,NA,-0.68
-1646,NA,-0.82
-1649,NA,-1.13
-1653,NA,-1.11
-1657,NA,-1.16
-1659,NA,-0.84
-1663,NA,-1.11
-1667,NA,-0.67
-1672,NA,-0.79
-1673,NA,-0.73
-1677,NA,-0.71
-1681,NA,-0.65
-1685,NA,-0.5
-1688,NA,-0.58
-1691,NA,-0.71
-1694,NA,-0.71
-1699,NA,-0.66
-1702,NA,-1.08
-1707,NA,-1.05
-1710,NA,-1.18
-1713,NA,-1.23
-1718,NA,-0.93
-1722,NA,-1.05
-1725,NA,-1.26
-1728,NA,-1.17
-1732,NA,-1.36
-1737,NA,-1.09
-1740,NA,-1.21
-1744,NA,-1.22
-1746,NA,-1.15
-1749,NA,-0.89
-1752,NA,-1.16
-1754,NA,-1.13
-1758,NA,-1.27
-1762,NA,-1.4
-1765,NA,-1.28
-1768,NA,-1.24
-1772,NA,-1.17
-1775,NA,-1.23
-1777,NA,-0.73
-1781,NA,-1.01
-1783,NA,-1
-1787,NA,-1.21
-1789,NA,-1.13
-1792,NA,-1.38
-1795,NA,-1.14
-1797,NA,-0.93
-1801,NA,-1.49
-1804,NA,-1.16
