year (AD),depth (cm),d18O (permil)
NA,19.64468,-5.863
NA,19.59392,-8.56
NA,19.54316,-8.376
NA,19.4924,-8.65
NA,19.44164,-8.854
NA,19.34012,-7.862
NA,19.26398,-8.638
NA,19.18784,-8.257
NA,19.08632,-8.546
NA,18.95942,-8.555
NA,18.731,-8.563
NA,18.70562,-8.514
NA,18.50258,-7.971
NA,18.32492,-8.297
NA,18.14726,-8.313
NA,17.9696,-7.98
NA,17.76656,-8.001
NA,17.5889,-8.337
NA,17.41124,-8.16
NA,17.25896,-8.258
NA,16.92902,-8.564
NA,16.75136,-8.598
NA,16.59908,-8.769
NA,16.47218,-8.668
NA,16.37066,-8.815
NA,16.24376,-8.505
NA,16.11686,-8.556
NA,16.01534,-8.454
NA,15.88844,-8.486
NA,15.73616,-8.749
NA,15.58388,-8.975
NA,15.27932,-9.14
NA,15.07628,-9.096
NA,14.7971,-9.075
NA,14.59406,-9.216
NA,14.36564,-9.121
NA,14.18798,-9.491
NA,14.08646,-9.468
NA,13.95956,-9.486
NA,13.80728,-9.382
NA,13.68038,-9.483
NA,13.55348,-9.339
NA,13.37582,-9.465
NA,13.17278,-8.991
NA,12.96974,-9.037
NA,12.74132,-9.125
NA,12.53828,-9.068
NA,12.386,-9.084
NA,12.20834,-9.085
NA,12.0053,-8.916
NA,11.82764,-8.949
NA,11.67536,-8.979
NA,11.4977,-9.129
NA,11.29466,-9.315
NA,11.09162,-9.493
NA,10.8632,-9.224
NA,10.68554,-9.162
NA,10.53326,-9.113
NA,10.38098,-9.05
NA,10.2287,-9.082
NA,10.1018,-9.16
NA,9.9749,-9.414
NA,9.848,-9.434
NA,9.67034,-9.369
NA,9.44192,-9.371
NA,9.23888,-9.411
NA,9.06122,-9.371
NA,8.88356,-9.245
NA,8.73128,-9.102
NA,8.579,-9.148
NA,8.4521,-9.002
NA,8.35058,-9.153
NA,8.1983,-9.219
NA,8.02064,-9.511
NA,7.86836,-9.367
NA,7.74146,-9.318
NA,7.61456,-9.191
NA,7.48766,-9.122
NA,7.38614,-9.052
NA,7.25924,-8.871
NA,7.13234,-8.862
NA,7.03082,-8.864
NA,6.90392,-8.876
NA,6.77702,-8.966
NA,6.65012,-8.99
NA,6.52322,-9.051
NA,6.4217,-9.162
NA,6.32018,-9.132
NA,6.21866,-9.108
NA,6.11714,-8.91
NA,5.99024,-8.937
NA,5.86334,-9.021
NA,5.71106,-9.256
NA,5.55878,-9.187
NA,5.43188,-9.281
NA,5.2796,-9.394
NA,5.12732,-9.318
NA,4.97504,-9.456
NA,4.84814,-9.491
NA,4.74662,-9.444
NA,4.67048,-9.439
NA,4.59434,-9.442
NA,4.5182,-9.291
NA,4.36592,-9.128
NA,4.16288,-8.93
NA,4.03598,-8.834
NA,3.90908,-8.831
NA,3.7568,-8.728
NA,3.57914,-9.059
NA,3.3761,-8.981
NA,3.19844,-9.027
NA,3.07154,-9.001
NA,2.94464,-8.728
NA,2.79236,-8.915
NA,2.64008,-8.69
NA,2.4878,-8.472
NA,2.31014,-8.59
NA,2.13248,-8.504
NA,1.9802,-8.621
NA,1.80254,-8.792
NA,1.5995,-8.886
NA,1.44722,-8.73
NA,1.32032,-8.549
NA,1.16804,-8.408
NA,1.01576,-8.386
NA,0.88886,-8.362
NA,0.76196,-8.363
NA,0.63506,-8.003
NA,0.50816,-8.027
NA,0.38126,-8.247
NA,0.25436,-8.385
NA,0.12746,-8.272
NA,0.05132,-8.19
NA,NA,-8.9
