year (AD) [1-1],d13C (permil) [1-1],d18O (permil) [1-1],year (AD) [1-2],d18O (permil) [1-2],d13C (permil) [1-2],year (AD) [1-3],d18O (permil) [1-3],d13C (permil) [1-3]
2040,-7.55,-6.30076,904,-5.98066,-8.21,23,-5.47625,-6.78
1988,-7.74,-5.76726,808,-6.01946,-7.89,-11,-5.56356,-6.97
1936,-8.03,-5.45685,712,-5.87396,-7.62,-34,-5.19495,-6.65
1885,-6.9,-5.21435,584,-5.84486,-7.84,-57,-5.66056,-6.72
1833,-7.83,-5.64116,504,-5.90306,-7.99,-80,-5.50535,-6.58
1781,-8,-5.67996,392,-5.96126,-7.9,-103,-5.51505,-6.78
1729,-7.71,-5.52476,264,-5.90306,-7.74,-126,-5.32105,-6.42
1626,-7.51,-5.60236,-56,-5.91276,-8.05,-149,-5.32105,-6.67
1574,-7.6,-5.32105,-248,-5.68966,-7.75,-172,-5.29195,-6.78
1523,-7.59,-5.68966,-632,-5.98066,-7.43,-194,-5.50535,-6.67
1471,-7.89,-5.71876,-776,-5.91276,-7.45,-217,-5.39865,-5.87
1419,-7.42,-5.63146,-1017,-5.75756,-7.64,-240,-5.30165,-6.37
1367,-7.31,-5.49565,-1145,-5.77696,-6.55,-263,-5.62176,-6.49
1316,-7.51,-5.41805,-1177,-5.92246,-7.3,-309,-5.33075,-6.12
1264,-7.2,-5.22405,-1305,-6.15526,-6.37,-332,-5.29195,-6.22
1212,-7.21,-5.35985,-1465,-6.09706,-6.33,-355,-5.33075,-6.02
1160,-7.53,-5.45685,-1577,-6.03886,-5.98,-377,-5.14645,-5.81
1109,-7.26,-5.47625,-1657,-6.28136,-5.78,-400,-5.45685,-6.08
1057,-7.59,-5.53446,-1945,-6.36866,-5.88,-423,-5.49565,-6.5
1005,-7.55,-5.65086,-2167,-6.38806,-5.75,-446,-5.69936,-6.45
953,-7.6,-5.58296,-2433,-6.82457,-6.27,-469,-5.75756,-6.31
902,-7.51,-5.68966,-2655,-6.96037,-6.72,-492,-5.36955,-5.98
850,-7.61,-5.68966,-2876,-6.97977,-6.36,-515,-5.12705,-6.29
850,-7.46,-5.73816,-3098,-6.05826,-6.29,-538,-5.76726,-6.04
770,-7.48,-5.8060600000000004,-3146,-6.61117,-6.19,-560,-5.43745,-6.15
690,-7.19,-5.59266,-3203,-6.54327,-6.8,-583,-5.55386,-6.19
610,-7.36,-5.98066,-3259,-6.58207,-6.87,-618,-5.58296,-5.98
530,-7.24,-5.94186,-3291,-6.13586,-6.3,-629,-5.35985,-6.25
410,-7.23,-5.78666,-3348,-5.81576,-5.74,-652,-5.35985,-6
330,-6.97,-5.51505,-3400,-5.63146,-6.74,-686,-5.66056,-6.02
250,-7.96,-6.39776,-3461,-5.67996,-6.7,-698,-5.40835,-6.29
210,-7.2,-5.74786,-3509,-5.95156,-7.45,-721,-5.53446,-5.86
170,-7.43,-6.02916,-3573,-6.07766,-7.42,-743,-5.26285,-6.08
