year (AD),d18O (permil)
1998,26.3
1997,25.69
1996,27.24
1995,27.74
1994,25.76
1993,27.32
1992,29.73
1991,30.86
1990,29.64
1989,29.68
1988,27.9
1987,29.21
1986,29.11
1985,28.96
1984,29.92
1983,29.36
1982,28.41
1981,28.38
1980,29.53
1979,29.39
1978,29.54
1977,30.24
1976,30.84
1975,30.49
1974,30.33
1973,29.14
1972,30.18
1971,30.47
1970,31.42
1969,29.22
1968,30.03
1967,29.7
1966,28.95
1965,29.89
1964,30.19
1963,30.49
1962,30.65
1961,29.51
1960,29.26
1959,25.34
1958,27.94
1957,27.71
1956,28.66
1955,28.9
1954,30.07
1953,31.74
1952,31.43
1951,29.96
1950,30.62
1949,30.81
1948,30.09
1947,32.67
1946,31.98
1945,30.07
1944,29.58
1943,29.05
1942,29.96
1941,31.1
1940,31.26
1939,31.47
1938,31.06
1937,31.91
1936,30.6
1935,29.74
1934,29.24
1933,30.25
1932,29.4
1931,28.14
1930,27.02
1929,26.33
1928,29.63
1927,29.97
1926,27.87
1925,28.73
1924,29.17
1923,29.56
1922,30.82
1921,29.59
1920,30.03
1919,29.84
1918,30.8
1917,31.49
1916,31.77
1915,30.59
1914,27.52
1913,29.59
1912,29.85
1911,31.24
1910,29.34
1909,29.89
1908,28.25
1907,29.87
1906,28.23
1905,31.31
1904,29.96
1903,30.31
1902,30.24
1901,28.95
1900,29.97
1899,32.26
1898,31.13
1897,29.39
1896,29.3
1895,30.02
1894,29.01
1893,28.68
1892,30.77
1891,29.77
1890,28.93
1889,28.26
1888,28.84
1887,30.8
1886,29.94
1885,29.18
1884,29.61
1883,27.37
1882,28
1881,30.63
1880,29.45
1879,27.14
1878,29.44
1877,29.12
1876,28.14
1875,28.11
1874,28.38
1873,29.98
1872,29.36
1871,29.33
1870,27.34
1869,26.93
1868,28.42
1867,28.63
1866,29.6
1865,31.86
1864,30.96
1863,30.38
1862,30.32
1861,31.31
1860,30.54
1859,31.39
1858,30.97
1857,29.1
1856,30.07
1855,29.98
1854,30.42
1853,28.89
1852,29.02
1851,29.89
1850,30.27
1849,30.65
1848,31.72
1847,31.4
1846,31.91
1845,31.99
1844,30.94
1843,30.05
1842,31.26
1841,31.59
1840,32.04
1839,31.88
1838,29.95
1837,29.95
1836,30.71
1835,31.35
1834,31.02
1833,31.61
1832,29.6
1831,32.12
1830,30.39
1829,30.44
1828,29.38
1827,29.07
1826,28.87
1825,28.77
1824,31.09
1823,30.03
1822,30.51
1821,30.18
1820,30.46
1819,30.02
1818,28.71
1817,30.21
1816,30.26
1815,30.33
1814,28.99
1813,32.5
1812,33.53
1811,30.48
1810,31.08
1809,31.54
1808,32.8
1807,30.99
1806,30.74
1805,29.88
1804,30.06
1803,31.72
1802,32.85
1801,31.6
1800,30.02
1799,29.67
1798,29.89
1797,32.29
1796,31.3
1795,29.68
1794,30.97
1793,30.38
1792,28.66
1791,33.89
1790,32.03
1789,30.33
1788,29.11
1787,31.67
1786,31.94
1785,32.22
1784,31.42
1783,30.83
1782,31.65
1781,31.42
1780,31.2
1779,29.91
1778,30.68
1777,29.97
1776,30.39
1775,30.6
1774,31.23
1773,30.7
1772,28.7
1771,29
1770,27.55
1769,29.71
1768,30.41
1767,30.54
1766,29.41
1765,30.52
1764,31.28
1763,31.17
1762,31.06
1761,30.21
1760,29.9
1759,30.39
1758,30.08
1757,30.08
1756,29.06
1755,29.61
1754,29.76
1753,29.61
1752,30.53
1751,29.78
1750,30.33
1749,28.83
1748,29.52
1747,29.08
1746,30.58
1745,31.15
1744,32.67
1743,28.43
1742,32.89
1741,31.05
1740,32.68
1739,32.93
1738,32.81
1737,32.07
1736,30.85
1735,31.94
1734,31.21
1733,30.22
1732,29.62
1731,32.58
1730,31.71
1729,31.14
1728,30.69
1727,29.58
1726,31
1725,31.3
1724,29.68
1723,29.88
1722,28.78
1721,30.13
1720,30.38
1719,30.44
1718,32.79
1717,32.49
1716,32.92
1715,31.13
1714,29.34
1713,30.18
1712,30.64
1711,29.82
1710,30.38
1709,30.63
1708,30.28
1707,29.7
1706,30.23
1705,30.17
1704,30
1703,28.77
1702,30.94
1701,32.26
1700,29.5
1699,32.57
1698,32.62
1697,33.72
1696,33.13
1695,32.36
1694,31
1693,29.96
1692,29.04
1691,29.3
1690,29.05
1689,28.77
1688,28.72
1687,30.09
1686,31.45
1685,32.87
1684,30.06
1683,29.55
1682,30.47
1681,30.18
1680,32.08
1679,32.15
1678,32.25
1677,31.42
1676,30.46
1675,28.95
1674,29.01
1673,29.32
1672,30.02
1671,30.66
1670,31.46
1669,32.81
1668,31.76
1667,29.96
1666,30.25
1665,28.14
1664,29.24
1663,29.56
1662,29.16
1661,28.33
1660,30.76
1659,32.31
1658,31.62
1657,30.96
1656,30.09
1655,27.54
1654,27.17
1653,29.38
1652,28.23
1651,27.73
1650,31.02
1649,29.91
1648,29.91
1647,30.36
1646,30.1
1645,30.79
1644,30.38
1643,29.92
1642,30.32
1641,31.14
1640,29.02
1639,31.88
1638,31.98
1637,32.09
1636,30.53
1635,30.11
1634,30.63
1633,29.52
1632,30.6
1631,31.04
1630,30.94
1629,26.55
1628,29.03
1627,28.84
1626,30.11
1625,28.98
1624,31.25
1623,30.38
1622,32.29
1621,30.71
1620,30.28
1619,30.82
1618,29.25
1617,29.33
1616,29.82
1615,30.55
1614,30.33
1613,27.72
1612,30.61
1611,29.21
1610,29.57
1609,30.19
1608,30.45
1607,27.96
1606,29.32
1605,31.65
1604,32.71
1603,34.17
1602,33.39
1601,31.39
1600,33.49
1599,30.76
1598,30.21
1597,29.67
1596,31.58
1595,31.17
1594,30.23
1593,29.43
1592,29.34
1591,30.85
1590,29.61
1589,28.67
1588,28.34
1587,31
1586,29.29
1585,28.98
1584,29.67
1583,29.92
1582,29.36
1581,29.19
1580,29.45
1579,31.55
1578,31.36
1577,29.87
1576,29.77
1575,30.32
1574,31.37
1573,31.8
1572,30.7
1571,31.12
1570,28.29
1569,30.04
1568,29.88
1567,28.73
1566,29.55
1565,30.18
1564,28.77
1563,30.32
1562,30.17
1561,30.69
1560,30.01
1559,30.86
1558,29.77
1557,29.4
1556,27.62
1555,28.81
1554,29.86
1553,29.1
1552,31.02
1551,30.05
1550,28
1549,30.73
1548,30.96
1547,31.38
1546,31.16
1545,30.18
1544,31.65
1543,30.68
1542,30.56
1541,30.31
1540,31.35
1539,28.92
1538,31.86
1537,30.94
1536,30.37
1535,29.68
1534,29.6
1533,29.47
1532,29.4
1531,28.59
1530,30.16
1529,30.7
1528,29.72
1527,30.1
1526,29.27
1525,29.41
1524,29.5
1523,30.97
1522,30.99
1521,30.75
1520,29.48
1519,29.07
1518,29.01
1517,28.01
1516,29.35
1515,28.76
1514,29.19
1513,31.85
1512,30.31
1511,29.9
1510,30.45
1509,28.82
1508,29.52
1507,30.03
1506,29.8
1505,28.11
1504,30.08
1503,28.08
1502,30.64
1501,29.61
1500,29.99
1499,30.66
1498,30.02
1497,29.87
1496,27.87
1495,30.19
1494,30.66
1493,30
1492,32.24
1491,31.17
1490,30.47
1489,29.51
1488,30.91
1487,31.01
1486,31.58
1485,32.03
1484,32.16
1483,33.37
1482,31.63
1481,29.95
1480,29.63
1479,29.64
1478,24.83
1477,27.4
1476,30.06
1475,30.09
1474,31.37
1473,31.42
1472,31.19
1471,31.45
1470,29.15
1469,29.63
1468,30.69
1467,29.07
1466,30.66
1465,32.43
1464,32.11
1463,32.72
1462,32.24
1461,32.02
1460,30.13
1459,30.61
1458,30.42
1457,28.02
1456,29.76
1455,31.13
1454,30.43
1453,31.32
1452,32
1451,31.25
1450,29.41
1449,31
1448,30.57
1447,28.9
1446,29.53
1445,30.02
1444,30.41
1443,28.35
1442,28.15
1441,28.6
1440,28.72
1439,30.62
1438,30.51
