year (AD),d18O (permil),d18O (permil)
1877,31.22,31.24
1878,30.08,31.02
1879,29.93,29.08
1880,31.62,27.07
1881,31.08,30.3
1882,19.36,29.34
1883,28.28,27.26
1884,28,29.09
1885,25.88,28.45
1886,27.65,28.75
1887,28.71,28.35
1888,31.84,28.95
1889,30.51,29.62
1890,30.57,25.96
1891,31.41,29.6
1892,30.18,27.19
1893,31.02,27.33
1894,32.05,30.69
1895,29.87,32.51
1896,31.02,31.8
1897,29.02,29.98
1898,30.79,28.23
1899,31.28,27.51
1900,32.83,30.09
1901,30.39,31.82
1902,32.49,31.7
1903,32.78,33.63
1904,31.08,32.69
1905,29.64,32.14
1906,28.27,30.23
1907,28.68,30.25
1908,29.55,29.35
1909,27.72,29.4
1910,26.52,28.45
1911,28.54,30.75
1912,30.3,31.44
1913,27.76,31.63
1914,30.4,32.44
1915,29,31.29
1916,27.68,28.59
1917,27.98,28.06
1918,28.6,30.22
1919,28.58,30.48
1920,31.09,31.59
1921,29.07,30.61
1922,29.26,29.96
1923,30.21,30.88
1924,29.13,30.23
1925,30.73,32.6
1926,30.42,30.42
1927,27.87,31.49
1928,28.74,30.67
1929,26.97,31.74
1930,28.28,30.14
1931,26.57,28.72
1932,29.24,28.46
1933,29.83,31.07
1934,30.52,32.79
1935,29.45,33.27
1936,30.02,33.11
1937,30.61,30.42
1938,31.04,30.37
1939,30.16,30.84
1940,30.84,28.86
1941,30.79,30.1
1942,31.54,30.16
1943,31.32,31.26
1944,29.33,31.93
1945,30.42,31.9
1946,30.13,31.62
1947,29.92,30.78
1948,29.7,29.82
1949,30.67,30.67
1950,30.86,31.31
1951,30.16,32.3
1952,31.37,30.29
1953,30.72,31.3
1954,28.75,29.91
1955,30.57,29.14
1956,32.08,30.62
1957,32.44,31.8
1958,32.57,31.77
1959,30.05,31.45
1960,31.78,32.14
1961,32.03,30.77
1962,31.18,30.08
1963,31.52,31.98
1964,31.84,29.55
1965,33.67,32.77
1966,32.28,30.92
1967,30.48,31.67
1968,30.75,32.59
1969,30.94,33.66
1970,31.61,33.13
1971,33,32.02
1972,31.18,33.15
1973,32.9,32.07
1974,31.97,28.96
1975,30.12,27.74
1976,29.08,31.25
1977,28.99,29.3
1978,30,30.08
1979,30.17,31.45
1980,30.14,30.65
1981,32.3,31.18
1982,31.93,32.64
1983,30.79,30.58
1984,32.41,28.85
1985,27.79,28.6
1986,29.18,29.66
1987,28.14,29.9
1988,28.47,31.43
1989,31.29,31.49
1990,30.72,31.49
1991,31.8,31.91
1992,30.82,30.3
1993,29.57,32.66
1994,28.25,32.87
1995,29.95,33.83
1996,31.28,31.8
1997,30.89,34
1998,31.69,31.31
