year (AD),year (AD),d18O (permil)
1743,1743,26.8
1744,1744,28.4
1745,1745,27.1
1746,1746,30
1747,1747,28.7
1748,1748,29.8
1749,1749,27.2
1750,1750,27.5
1751,1751,27.5
1752,1752,29.2
1753,1753,28.6
1754,1754,28.4
1755,1755,28.8
1756,1756,27.1
1757,1757,27.2
1758,1758,29.1
1759,1759,28.3
1760,1760,28.2
1761,1761,28.4
1762,1762,28.7
1763,1763,28.2
1764,1764,28.5
1765,1765,29
1766,1766,28.2
1767,1767,26.7
1768,1768,28.2
1769,1769,29.5
1770,1770,28.5
1771,1771,26.7
1772,1772,27.4
1773,1773,28
1774,1774,28.8
1775,1775,28.6
1776,1776,28.5
1777,1777,27.2
1778,1778,27.8
1779,1779,27.6
1780,1780,28.8
1781,1781,28.7
1782,1782,27.5
1783,1783,28.1
1784,1784,28.4
1785,1785,28.6
1786,1786,28.8
1787,1787,28.3
1788,1788,27.9
1789,1789,26.5
1790,1790,28.8
1791,1791,29
1792,1792,27.6
1793,1793,28.9
1794,1794,28.5
1795,1795,27.6
1796,1796,27.8
1797,1797,28.5
1798,1798,28.5
1799,1799,29
1800,1800,26.6
1801,1801,27
1802,1802,28.3
1803,1803,27.5
1804,1804,28
1805,1805,27.4
1806,1806,27.8
1807,1807,28.4
1808,1808,26.5
1809,1809,27.7
1810,1810,27.3
1811,1811,26.6
1812,1812,29.7
1813,1813,28.7
1814,1814,28.8
1815,1815,26.8
1816,1816,29.3
1817,1817,28.5
1818,1818,27.8
1819,1819,28.2
1820,1820,27
1821,1821,27.6
1822,1822,28
1823,1823,28.2
1824,1824,29
1825,1825,27.6
1826,1826,30
1827,1827,28.3
1828,1828,28.3
1829,1829,26.4
1830,1830,28.6
1831,1831,27.5
1832,1832,30.6
1833,1833,30.7
1834,1834,29.4
1835,1835,28.8
1836,1836,30.6
1837,1837,29
1838,1838,30.4
1839,1839,29.8
1840,1840,31.3
1841,1841,29.6
1842,1842,27.1
1843,1843,28.6
1844,1844,28.7
1845,1845,29
1846,1846,29.1
1847,1847,30.3
1848,1848,28.7
1849,1849,27.2
1850,1850,28.4
1851,1851,28.3
1852,1852,27.8
1853,1853,28.8
1854,1854,27.7
1855,1855,29.3
1856,1856,29
1857,1857,28.7
1858,1858,27.7
1859,1859,27.4
1860,1860,28.1
1861,1861,28.5
1862,1862,28
1863,1863,26.9
1864,1864,28.8
1865,1865,28.4
1866,1866,30
1867,1867,29.2
1868,1868,29.3
1869,1869,27.7
1870,1870,27.2
1871,1871,28.1
1872,1872,28.5
1873,1873,28.3
1874,1874,29.2
1875,1875,29.4
1876,1876,29.8
1877,1877,28.1
1878,1878,26.9
1879,1879,28
1880,1880,29.4
1881,1881,29.4
1882,1882,29.1
1883,1883,29.1
1884,1884,29.9
1885,1885,28.5
1886,1886,28.4
1887,1887,29.1
1888,1888,29.5
1889,1889,29.7
1890,1890,29.1
1891,1891,29.2
1893,1892,28.5
1894,1894,29.4
1895,1895,27.4
1897,1896,30.1
1898,1898,28.9
1899,1899,30.2
1900,1900,29
1901,1901,28.8
1902,1902,28.3
1903,1903,28.4
1904,1904,29.5
1905,1905,29.8
1906,1906,28.2
1907,1907,29.1
1908,1908,29.6
1909,1909,28.9
1910,1910,27.9
1911,1911,29
1912,1912,30
1913,1913,30.5
1914,1914,29.1
1915,1915,28.9
1916,1916,27.9
1917,1917,27.8
1918,1918,29.1
1919,1919,28.1
1920,1920,29.4
1921,1921,29.2
1922,1922,28.1
1923,1923,28.5
1924,1924,28.4
1925,1925,29
1926,1926,29
1927,1927,28.8
1928,1928,29.1
1929,1929,29.3
1930,1930,28.9
1931,1931,26.9
1932,1932,27.4
1933,1933,26.2
1934,1934,28.3
1935,1935,26.9
1936,1936,28.9
1937,1937,29.4
1938,1938,28.5
1939,1939,29
1940,1940,28.5
1941,1941,28.7
1942,1942,28
1943,1943,27.6
1944,1944,29.2
1945,1945,28.1
1946,1946,28.2
1947,1947,27.6
1948,1948,27.8
1949,1949,27.3
1950,1950,29.1
1951,1951,28.5
1952,1952,29.3
1955,1953,27.8
1956,1956,27.6
1957,1957,27.8
1958,1958,26.5
1959,1959,27.4
1960,1960,27.1
1961,1961,27.4
1962,1962,26.9
1963,1963,28.8
1964,1964,26
1965,1965,29.1
1967,1966,29.3
1970,1968,28.2
1971,1971,27.6
1972,1972,27.9
1974,1973,29
1975,1975,29.4
1976,1976,29.6
1977,1977,28.6
1978,1978,29.9
1979,1979,28
1981,1980,28.8
1982,1982,31.1
1983,1983,29.2
1985,1984,28.8
1987,1986,27.8
1988,1988,28.9
