year (ad),d18O (permil)
1485,31.818
1486,31.026
1487,30.587
1488,31.012
1489,32.645
1490,31.544
1491,30.705
1492,31.26
1493,30.74
1494,30.561
1495,31.355
1496,30.989
1497,30.473
1498,30.689
1499,31.622
1500,31.508
1501,31.901
1502,31.757
1503,30.591
1504,30.449
1505,30.708
1506,30.568
1507,30.565
1508,31.774
1509,31.397
1510,31.206
1511,31.419
1512,31.631
1513,31.844
1514,31.19
1515,31.192
1516,31.794
1517,31.349
1518,31.828
1519,31.782
1520,31.739
1521,32.008
1522,32.706
1523,31.827
1524,31.607
1525,30.915
1526,30.791
1527,30.956
1528,31.645
1529,31.914
1530,31.745
1531,31.864
1532,31.909
1533,31.723
1534,32.108
1535,31.723
1536,31.087
1537,32.416
1538,31.8
1539,31.096
1540,31.978
1541,32.464
1542,33.32
1543,32.75
1544,31.541
1545,32.004
1546,30.959
1547,30.696
1548,29.852
1549,31.325
1550,32.218
1551,32.04
1552,31.209
1553,31.566
1554,31.924
1555,30.198
1556,30.804
1557,30.378
1558,31.833
1559,31.557
1560,31.697
1561,32.126
1562,31.671
1563,31.526
1564,31.092
1565,28.983
1566,30.29
1567,32.663
1568,32.376
1569,31.685
1570,31.578
1571,31.808
1572,32.382
1573,32.771
1574,33.161
1575,33.55
1576,33.088
1577,32.87
1578,32.371
1579,32.84
1580,31.99
1581,31.451
1582,32.047
1583,32.766
1584,32.891
1585,32.071
1586,31.944
1587,32.363
1588,30.141
1589,31.013
1590,31.247
1591,31.636
1592,31.752
1593,31.094
1594,31.063
1595,32.111
1596,32.691
1597,32.387
1598,32.994
1599,32.777
1600,32.396
1601,31.567
1602,33.032
1603,31.53
1604,31.925
1605,32.025
1606,30.17
1607,29.083
1608,31.521
1609,31.941
1610,31.208
1611,30.949
1612,30.524
1613,31.09
1614,31.587
1615,30.287
1616,30.113
1617,30.996
1618,31.455
1619,31.7
1620,32.245
1621,31.689
1622,31.769
1623,30.964
1624,31.801
1625,32.34
1626,32.28
1627,31.523
1628,31.894
1629,32.188
1630,32.482
1632,32.491
1633,32.274
1634,32.799
1635,32.79
1636,32.305
1637,31.041
1638,31.383
1639,31.47
1640,31.557
1641,31.395
1642,31.245
1643,30.985
1644,32.125
1645,32.218
1646,32.454
1647,31.059
1648,31.507
1649,31.353
1650,32.282
1651,32.633
1652,30.517
1653,33.051
1654,33.419
1655,31.43
1656,31.45
1657,31.546
1658,31.645
1659,31.926
1660,31.508
1661,31.729
1662,30.275
1663,31.272
1664,30.878
1665,31.169
1666,31.348
1667,31.142
1668,30.936
1669,30.84
1670,31.151
1671,30.995
1672,31.353
1673,31.801
1674,32.164
1675,32.36
1676,32.07
1677,31.789
1678,32.235
1679,31.17
1680,30.947
1681,31.441
1682,31.475
1683,31.509
1684,31.507
1685,31.506
1686,32.536
1687,31.539
1688,30.321
1689,31.296
1690,31.959
1691,31.058
1692,31.683
1693,32.309
1694,31.715
1695,32.217
1696,32.615
1697,32.272
1698,31.647
1699,33.282
1700,31.968
1701,30.956
1702,29.944
1703,30.855
1704,31.052
1705,31.787
1706,32.522
1707,31.594
1708,31.978
1709,31.098
1710,32.269
1711,31.52
1712,30.183
1713,29.728
1714,29.835
1715,31.098
1716,31.963
1717,32.262
1718,32.562
1719,32.861
1720,30.521
1721,31.851
1722,32.05
1723,31.592
1724,30.1
1725,29.754
1726,30.33
1727,31.052
1728,32.459
1729,32.339
1730,30.33
1731,31.123
1732,30.59
1733,30.552
1734,30.864
1735,32.116
1736,31.824
1737,32.303
1738,31.57
1739,33.165
1740,32.21
1741,32.676
1742,32.932
1743,31.55
1744,31.57
1745,31.47
1746,30.93
1747,34.52
1748,29.66
1749,30.89
1750,30.413
1751,29.937
1752,29.46
1753,32.79
1754,32.58
1755,34.49
1756,35.47
1757,33.58
1758,32.14
1759,31.04
1760,29.762
1761,29.31
1762,30.77
1763,31.32
1764,30.97
1765,29.87
1766,30.21
1767,30.55
1768,30.35
1769,30.19
1770,32.345
1771,34.5
1772,32.586
1773,32.14
1774,31.05
1775,31.33
1776,32.25
1777,32.999
1778,33.38
1779,31.47
1780,32.05
1781,30.322
1782,32.11
1783,30.3
1784,32.85
1785,31.36
1786,31.24
1787,30.5
1788,31.585
1789,31.93
1790,33.78
1791,31.87
1792,32.245
1793,32.62
1794,31.21
1795,31.45
1796,31.501
1797,30.812
1798,33.14
1799,31.74
1800,31.43
1801,31.59
1802,32.112
1803,32.06
1804,33.47
1805,33.05
1806,33.008
1807,32.965
1808,31.81
1809,30.57
1810,32.45
1811,31.31
1812,30.98
1813,31.72
1814,32.67
1815,32.31
1816,31.85
1817,30.92
1818,32.22
1819,30.88
1820,31.17
1821,31.64
1822,30.82
1823,31.49
1824,32.14
1825,31.5
1826,32.06
1827,31.853
1828,31.646
1829,31.439
1830,31.231
1831,31.024
1832,30.817
1833,30.61
1834,30.97
1835,30.93
1836,30.62
1837,30.94
1838,31.14
1839,30.44
1840,30.58
1841,30.595
1842,30.61
1843,30.17
1844,30.073
1845,29.975
1846,29.878
1847,29.78
1848,30.787
1849,31.793
1850,32.8
1851,30.66
1852,31
1853,31.34
1854,31.355
1855,31.37
1856,32.33
1857,31.39
1858,30.8
1859,32.57
1860,33.814
1861,30.62
1862,30.745
1863,30.87
1864,30.97
1865,29.35
1866,30.439
1867,28.27
1868,28.18
1869,30.41
1870,31.21
1871,30.56
1872,31.9
1873,33.687
1874,31.58
1875,32.24
1876,31.28
1877,31.9
1878,32.01
1879,31.43
1880,33.34
1881,33.07
1882,32.06
1883,32.27
1884,31.47
1885,31.5
1886,32.24
1887,31.6
1888,32.62
1889,30.25
1890,30.57
1891,29.27
1892,33.341
1893,31.41
1894,30.93
1895,30.41
1896,30.81
1897,31.21
1898,31.42
1899,31.6
1900,32.07
1901,31.25
1902,30.82
1903,29.85
1904,29.75
1905,29.12
1906,29.99
1907,29.19
1908,30.12
1909,32.355
1910,30.62
1911,30.67
1912,28.08
1913,29.28
1914,29.803
1915,30.11
1916,29.33
1917,29.47
1918,29.61
1919,29.928
1920,31.26
1921,32.626
1922,33.992
1923,29.44
1924,28.75
1925,29.7
1926,29.7
1927,29.85
1928,30.65
1929,29.2
1930,30.2
1931,30.92
1932,31.89
1933,33.37
1934,32.08
1935,30.79
1936,29.5
1937,29.291
1938,30.78
1939,30.44
1940,29.59
1941,29.23
1942,30.521
1943,30.84
1944,29.68
1945,30.535
1946,31.39
1947,31.05
1948,31.453
1949,31.41
1950,31.58
1951,31.04
1952,31.98
1953,32.92
1954,33.86
1955,33.066
1956,30.05
1957,31.86
1958,30.52
1959,31.02
1960,30.58
1961,31.05
1962,31.52
1963,31.31
1964,30.87
1965,31.768
1966,31.15
1967,30.523
1968,30.637
1969,30.489
1970,31.36
1971,32.2
1972,31.94
1973,31.695
1974,31.45
1975,31.59
1976,31.73
1977,31.11
1978,31.16
1979,29.879
1980,30.05
1981,29.85
1982,29.45
1983,29.57
1984,30.732
1985,30.3
1986,30.93
1987,30.18
1988,30.71
1989,30.899
1990,30.15
1991,30.539
1992,30.677
1993,32.1
1994,31.93
1995,31.2
1996,30.35
1997,29.67
1998,29.58
1999,30.33
2000,30.64
2001,31.71
2002,31.597
2003,31.485
2004,31.26
2005,30.185
