year (ad),d18O (permil)
2012,24.3
2011,25
2010,24.6
2009,24.7
2008,23.4
2007,24.4
2006,26
2005,25
2004,22.8
2003,23.8
2002,25.1
2001,25.4
2000,23.7
1999,24.7
1998,24.4
1997,23
1996,22.3
1995,23.6
1994,24.6
1993,23.2
1992,22.7
1991,21.7
1990,23.4
1989,24
1988,23.7
1987,23.6
1986,25.7
1985,23.8
1984,23
1983,25.4
1982,25.4
1981,23.6
1980,21.5
1979,23.1
1978,22
1977,24.9
1976,25.1
1975,24.8
1974,22.6
1973,23.5
1972,25.5
1971,23.9
1970,23.3
1969,24.1
1968,23.4
1967,24
1966,23.3
1965,23.5
1964,24.1
1963,21.9
1962,23
1961,23.5
1960,24.4
1959,24.6
1958,25.7
1957,25.2
1956,24.1
1955,22.9
1954,23.9
1953,24.1
1952,24.4
1951,23.9
1950,24.2
1949,23.2
1948,23.3
1947,25.2
1946,23.7
1945,23.8
1944,25.5
1943,23.9
1942,21.9
1941,23.3
1940,23
1939,23.5
1938,23.2
1937,25.3
1936,24.8
1935,24.5
1934,23
1933,23.5
1932,23.6
1931,23.4
1930,22.7
1929,21.8
1928,23.5
1927,23.5
1926,24.1
1925,23.5
1924,22.1
1923,24.3
1922,24.1
1921,25.7
1920,24.3
1919,24.6
1918,22.8
1917,22.2
1916,23.2
1915,24.1
1914,25.8
1913,26.7
1912,25.1
1911,25.1
1910,25.1
1909,24
1908,27.2
1907,25.8
1906,26
1905,24.5
1904,22.5
1903,23.9
1902,22.9
1901,24.3
1900,23.9
1899,24.3
1898,25.3
1897,25.1
1896,25.3
1895,24.8
1894,24.9
1893,24.3
1892,25.1
1891,25.4
1890,24.6
1889,25.5
1888,24.3
1887,25.5
1886,25
1885,25.4
1884,24.4
1883,23.2
1882,23.3
1881,24.2
1880,23.8
1879,23.9
1878,24.3
1877,24.7
1876,24.7
1875,24.3
1874,24.7
1873,23.9
1872,24.5
1871,24.2
1870,24.6
1869,24.9
1868,23.9
1867,24.5
1866,24
1865,23
1864,23.1
1863,21.8
1862,23.2
1861,23.2
1860,23.4
1859,23.7
1858,23.1
1857,23.8
1856,23.6
1855,23.8
1854,23.5
1853,23.6
1852,23.5
1851,22.9
1850,22.8
1849,22.3
1848,21.9
1847,22.6
1846,22.7
1845,24
1844,23.9
1843,23.1
1842,23.3
1841,22.8
1840,22.4
1839,23.2
1838,22.1
1837,23.1
1836,23
1835,22.5
1834,23.9
1833,22.6
1832,23.1
1831,22.2
1830,22.2
1829,23
1828,21.9
1827,21.9
1826,21.9
1825,21.5
1824,22.9
1823,22
1822,23.8
1821,23.8
1820,23.3
1819,23.1
1818,23.4
1817,25
1816,25
1815,24.2
1814,23.8
1813,23.1
1812,24.2
1811,24.3
1810,23.2
1809,24
1808,23.4
1807,23.5
1806,23.8
1805,23.3
1804,22.8
1803,22.4
1802,24.2
1801,23.9
1800,23.4
1799,23.1
1798,22.5
1797,23.7
1796,23.9
1795,23.3
1794,22.9
1793,22.1
1792,23.1
1791,23.2
1790,22.4
1789,23.8
1788,23.1
1787,24.1
1786,24.9
1785,23.9
1784,23.8
1783,22.2
1782,24
1781,23.8
1780,22.6
1779,22
1778,21.3
1777,23.7
1776,23.6
1775,23.2
1774,23.7
1773,22.7
1772,24.4
1771,24.2
1770,23.7
1769,24
1768,23
1767,24.9
1766,24.3
1765,22.7
1764,23.2
1763,22.2
1762,23.6
1761,23.9
1760,23.1
1759,23.5
1758,22.9
1757,24.2
1756,24.9
1755,23.2
1754,23.9
1753,23.6
1752,24.7
1751,23.5
1750,23.1
1749,22
1748,21.6
1747,22.8
1746,21.2
1745,21.2
1744,21.7
1743,21.8
1742,22.2
1741,23.7
1740,22.6
1739,22.9
1738,22.8
1737,24.6
1736,22.9
1735,23.4
1734,22.3
1733,21.8
1732,23.4
1731,23.6
1730,22.1
1729,23.1
1728,22.4
1727,23.8
1726,24.5
1725,24.3
1724,26.2
1723,24.4
1722,24.7
1721,23
1720,23
1719,23.1
1718,20.9
1717,22.2
1716,21.8
1715,22.8
1714,23.5
1713,22.9
1712,23.2
1711,22.8
1710,22.9
1709,24.2
1708,23.1
1707,23.8
1706,24.2
1705,25.4
1704,26.1
1703,24.2
1702,24.8
1701,23
1700,23
1699,24.1
1698,22.6
1697,22.8
1696,23.3
1695,24.2
1694,24.7
1693,24.4
1692,24.5
1691,24
1690,24
1689,24.5
1688,23.1
1687,23.5
1686,23.3
1685,24.2
1684,23.5
1683,24
1682,25.4
1681,24.2
1680,24.9
1679,23.7
1678,23.5
1677,23.4
1676,23
1675,23.9
1674,23.8
1673,23.4
1672,24.1
1671,23
1670,23.9
1669,23.5
1668,23.6
1667,23.4
1666,22.3
1665,24
1664,23.6
1663,23.1
1662,23.9
1661,22.9
1660,23.6
1659,23.4
1658,22.9
1657,23.8
1656,23.9
1655,25.2
1654,24.8
1653,25
1652,25.8
1651,25.1
1650,25.4
1649,24.7
1648,24.1
1647,24
1646,23.4
1645,24
1644,24
1643,23.8
1642,25.2
1641,24.6
1640,24.2
1639,25.5
1638,23.5
1637,24.5
1636,24.3
1635,25.2
1634,24.8
1633,25.2
1632,25.3
1631,24.7
1630,24.7
1629,23.6
1628,21.9
1627,22.6
1626,22.4
1625,22.1
1624,23.4
1623,23.5
1622,24.2
1621,24.1
1620,23.9
1619,24.8
1618,24.1
1617,24.6
1616,25.1
1615,23.8
1614,23.8
1613,22.8
1612,23
1611,22.8
1610,22.8
1609,23.8
1608,23.2
1607,24.1
1606,23.7
1605,22.6
1604,23.5
1603,22.9
1602,23
1601,22.1
1600,21.7
1599,23.4
1598,23.2
1597,24.6
1596,24.7
1595,24.3
1594,25
1593,24.5
1592,24.1
1591,24.2
1590,24.6
1589,25.3
1588,24.7
1587,24.3
1586,23.5
1585,24
1584,23.1
1583,23.4
1582,24.3
1581,24.2
1580,23.6
1579,24.8
1578,24.1
1577,24.6
1576,24.6
1575,24.5
1574,24.7
1573,24.1
1572,24.9
1571,24.5
1570,24.4
1569,24.8
1568,24.1
1567,23.7
1566,23.2
1565,22.7
1564,22.4
1563,21.9
1562,23.3
1561,23.5
