year (ad),d18O (permil)
1950,29.6
1951,29.42
1952,30.48
1953,31.37
1954,31.51
1955,31.4
1956,30.58
1957,30.04
1958,29.01
1959,29.52
1960,30.11
1961,30.08
1962,29.94
1963,31.44
1964,30.7
1965,30.05
1966,32.37
1967,29.54
1968,29.59
1969,29.85
1970,29.85
1971,31.09
1972,32.7
1973,29.5
1974,30.27
1975,29.85
1976,30.03
1977,31.74
1978,29.75
1979,28.76
1980,29.9
1981,28.06
1982,28.85
1983,30.14
1984,30.8
1985,30.57
1986,29.49
1987,29.84
1988,32.98
1989,28.52
1990,31.17
1991,29.56
1992,29.01
1993,29.36
1994,29.9
1995,30.47
1996,29.48
1997,29.69
1998,29.95
1999,29.17
2000,30.19
2001,30.76
2002,29.78
2003,29.1
2004,28.29
2005,30.69
2006,31.44
2007,29.18
2008,29.8
2009,30.63
2010,29.03
2011,31.81
2012,31.87
2013,29.52
2014,28.58
2015,28.82
