age (bp),depth (cm),depth_bot (mm),depth_top (mm),age14C (bp),age_error (years),cal_age_range_old (bp),cal_age_range_young (2_s),thickness (mm),age_type (),lab_id (),material_dated (),rejected_dates (),note ()
-50,0,0,0,NA,1,NA,NA,0,3,NA,NA,NA,NA
64,10,100,100,NA,5,NA,NA,0,2,NA,NA,NA,2
NA,24.5,240,250,320,35,470,300,10,1,2,1,NA,NA
NA,29.5,290,300,370,35,525,395,10,1,6,3,NA,NA
NA,35,340,360,1030,40,1010,900,20,1,1,5,1,1
NA,40.5,400,410,600,45,660,530,10,1,3,6,NA,NA
NA,51.5,510,520,1575,35,1536,1386,10,1,4,4,NA,NA
NA,55.5,550,560,1730,40,1717,1545,10,1,9,6,NA,NA
NA,78.5,780,790,2970,50,3367,2863,10,1,5,2,NA,NA
NA,110.5,1100,1110,3485,40,3872,3640,10,1,10,4,NA,NA
NA,130.5,1300,1310,4005,45,4655,4301,10,1,7,6,NA,NA
NA,168.5,1680,1690,5250,40,6084,5924,10,1,8,6,NA,NA
