year (AD),age (yr BP),Temp (degC),precip (mm),age14C (yr BP14C)
1598,352,11.7,293,288
1508,442,2.86666666666667,316.333333333333,385
1434,516,5.9,264,481
1371,579,6.83333333333333,221.333333333333,577
1309,641,2.86666666666667,316.333333333333,673
1244,706,2.86666666666667,316.333333333333,769
1167,783,5.9,264,865
1076,874,2.86666666666667,316.333333333333,962
980,970,2.86666666666667,316.333333333333,1058
876,1074,7.3,423,1154
821,1129,5.9,264,1202
769,1181,5.9,264,1250
673,1277,5.9,264,1354
445,1505,5.9,264,1616
130,1820,2.86666666666667,316.333333333333,1877
-172,2122,5.9,264,2138
-468,2418,5.9,264,2399
-817,2767,5.9,264,2637
-1008,2958,5.9,264,2851
-1336,3286,5.9,264,3065
-1554,3504,5.9,264,3279
-1818,3768,5.9,264,3493
-2072,4022,5.9,264,3688
-2338,4288,5.9,264,3863
-2562,4512,7.3,423,4038
-2841,4791,5.9,264,4213
-3005,4955,5.9,264,4388
-3327,5277,5.9,264,4563
-3534,5484,5.9,264,4738
-3700,5650,5.9,264,4913
-3886,5836,5.9,264,5088
-4080,6030,5.9,264,5263
-4299,6249,5.9,264,5438
-4448,6398,5.9,264,5613
-4569,6519,5.9,264,5730
-4644,6594,2.86666666666667,316.333333333333,5790
-5024,6974,5.8,220.666666666667,6105
-5601,7551,4.33333333333333,63.3333333333333,6675
-5896,7846,4.86666666666667,94.3333333333333,7013
-5994,7944,4.96666666666667,137.666666666667,7119
-6085,8035,4.86666666666667,94.3333333333333,7224
-6194,8144,5.8,220.666666666667,7330
-6312,8262,5.9,264,7436
-6409,8359,7,399.333333333333,7541
-6609,8559,5.5,179.333333333333,7785
-6858,8808,6.76666666666667,291.333333333333,7955
-7369,9319,4.86666666666667,94.3333333333333,8295
-7523,9473,6.43333333333333,85.6666666666667,8465
-7592,9542,5.9,264,8567
-7922,9872,6.43333333333333,85.6666666666667,8830
-8252,10202,5.9,54.6666666666667,9023
-8392,10342,18.1,454.666666666667,9188
-8599,10549,16.0666666666667,571.333333333333,9330
-9202,11152,15.6,381,9700
-10313,12263,16.4,394.666666666667,10400
-10617,12567,18.4666666666667,469.666666666667,10540
